,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,SSAFB,Aflatoxin B1-lysine result (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,SSAFBLC,Aflatoxin B1-lysine result comment code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,WTSPH4YR,Phthalate Subsample 4 year Mec,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,WTSPH2YR,Phthalate Subsample 2 year Mec Weight,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,WTSPH01,Phthalate Mec Weight Jack Knife Rep 01,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,WTSPH02,Phthalate Mec Weight Jack Knife Rep 02,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,WTSPH03,Phthalate Mec Weight Jack Knife Rep 03,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,WTSPH04,Phthalate Mec Weight Jack Knife Rep 04,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,WTSPH05,Phthalate Mec Weight Jack Knife Rep 05,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,WTSPH06,Phthalate Mec Weight Jack Knife Rep 06,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,WTSPH07,Phthalate Mec Weight Jack Knife Rep 07,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,WTSPH08,Phthalate Mec Weight Jack Knife Rep 08,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,WTSPH09,Phthalate Mec Weight Jack Knife Rep 09,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,WTSPH10,Phthalate Mec Weight Jack Knife Rep 10,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,WTSPH11,Phthalate Mec Weight Jack Knife Rep 11,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,WTSPH12,Phthalate Mec Weight Jack Knife Rep 12,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,WTSPH13,Phthalate Mec Weight Jack Knife Rep 13,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,WTSPH14,Phthalate Mec Weight Jack Knife Rep 14,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
19,WTSPH15,Phthalate Mec Weight Jack Knife Rep 15,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
20,WTSPH16,Phthalate Mec Weight Jack Knife Rep 16,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
21,WTSPH17,Phthalate Mec Weight Jack Knife Rep 17,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
22,WTSPH18,Phthalate Mec Weight Jack Knife Rep 18,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
23,WTSPH19,Phthalate Mec Weight Jack Knife Rep 19,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
24,WTSPH20,Phthalate Mec Weight Jack Knife Rep 20,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
25,WTSPH21,Phthalate Mec Weight Jack Knife Rep 21,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
26,WTSPH22,Phthalate Mec Weight Jack Knife Rep 22,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
27,WTSPH23,Phthalate Mec Weight Jack Knife Rep 23,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
28,WTSPH24,Phthalate Mec Weight Jack Knife Rep 24,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
29,WTSPH25,Phthalate Mec Weight Jack Knife Rep 25,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
30,WTSPH26,Phthalate Mec Weight Jack Knife Rep 26,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
31,WTSPH27,Phthalate Mec Weight Jack Knife Rep 27,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
32,WTSPH28,Phthalate Mec Weight Jack Knife Rep 28,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
33,WTSPH29,Phthalate Mec Weight Jack Knife Rep 29,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
34,WTSPH30,Phthalate Mec Weight Jack Knife Rep 30,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
35,WTSPH31,Phthalate Mec Weight Jack Knife Rep 31,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
36,WTSPH32,Phthalate Mec Weight Jack Knife Rep 32,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
37,WTSPH33,Phthalate Mec Weight Jack Knife Rep 33,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
38,WTSPH34,Phthalate Mec Weight Jack Knife Rep 34,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
39,WTSPH35,Phthalate Mec Weight Jack Knife Rep 35,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
40,WTSPH36,Phthalate Mec Weight Jack Knife Rep 36,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
41,WTSPH37,Phthalate Mec Weight Jack Knife Rep 37,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
42,WTSPH38,Phthalate Mec Weight Jack Knife Rep 38,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
43,WTSPH39,Phthalate Mec Weight Jack Knife Rep 39,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
