,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTANA6YR,,,,,,,,,,,,
2,SSCYT,,,,,,,,,,,,
3,SSNUC,,,,,,,,,,,,
4,SSTOT,,,,,,,,,,,,
5,SS80,,,,,,,,,,,,
6,SS160,,,,,,,,,,,,
7,SS320,,,,,,,,,,,,
8,SS640,,,,,,,,,,,,
9,SS1280,,,,,,,,,,,,
10,SSNUCPOS,,,,,,,,,,,,
11,SSNUCSIG,,,,,,,,,,,,
12,SSNUHOMP,,,,,,,,,,,,
13,SSNUHOMS,,,,,,,,,,,,
14,SSNUSPP,,,,,,,,,,,,
15,SSNUSPS,,,,,,,,,,,,
16,SSNUCENP,,,,,,,,,,,,
17,SSNUCENS,,,,,,,,,,,,
18,SSNUDOTP,,,,,,,,,,,,
19,SSNUDOTS,,,,,,,,,,,,
20,SSNUENVP,,,,,,,,,,,,
21,SSNUENVS,,,,,,,,,,,,
22,SSCYHOMP,,,,,,,,,,,,
23,SSCYHOMS,,,,,,,,,,,,
24,SSCYSPP,,,,,,,,,,,,
25,SSCYSPS,,,,,,,,,,,,
26,SSCYMIP,,,,,,,,,,,,
27,SSCYMIS,,,,,,,,,,,,
28,SSCYGOP,,,,,,,,,,,,
29,SSCYGOS,,,,,,,,,,,,
30,SSCYCEP,,,,,,,,,,,,
31,SSCYCES,,,,,,,,,,,,
32,SSCYGWP,,,,,,,,,,,,
33,SSCYGWS,,,,,,,,,,,,
34,SSCYCFP,,,,,,,,,,,,
35,SSCYCFS,,,,,,,,,,,,
36,SSCYRRP,,,,,,,,,,,,
37,SSCYRRS,,,,,,,,,,,,
38,SSCYLYP,,,,,,,,,,,,
39,SSCYLYS,,,,,,,,,,,,
40,SSMIHOMP,,,,,,,,,,,,
41,SSMIHOMS,,,,,,,,,,,,
42,SSMISPP,,,,,,,,,,,,
43,SSMISPS,,,,,,,,,,,,
44,SSMISAP,,,,,,,,,,,,
45,SSMISAS,,,,,,,,,,,,
46,SSMIMBP,,,,,,,,,,,,
47,SSMIMBS,,,,,,,,,,,,
48,SSMICHP,,,,,,,,,,,,
49,SSMICHS,,,,,,,,,,,,
50,SSU1RNP,,,,,,,,,,,,
51,SSSM,,,,,,,,,,,,
52,SSRIBOP,,,,,,,,,,,,
53,SSROSSA,,,,,,,,,,,,
54,SSLASSB,,,,,,,,,,,,
55,SSSUAR2,,,,,,,,,,,,
56,SSRPA,,,,,,,,,,,,
57,SSJO_1,,,,,,,,,,,,
58,SSPL_7,,,,,,,,,,,,
59,SSPL_12,,,,,,,,,,,,
60,SSEJ,,,,,,,,,,,,
61,SSOJ,,,,,,,,,,,,
62,SSSRP,,,,,,,,,,,,
63,SSKU,,,,,,,,,,,,
64,SSPM_SCL,,,,,,,,,,,,
65,SSMI_2,,,,,,,,,,,,
66,SSTOPOI,,,,,,,,,,,,
67,SSRNAPOL,,,,,,,,,,,,
68,SSU3RNP,,,,,,,,,,,,
69,SSNOR_90,,,,,,,,,,,,
