,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,LBXMS1,,,,,,,,,,,,
2,LBXM1,,,,,,,,,,,,
3,LBXMT1,,,,,,,,,,,,
4,LBXMZ1,,,,,,,,,,,,
5,LBXMC1,,,,,,,,,,,,
6,LBXME1,,,,,,,,,,,,
7,LBXMP1,,,,,,,,,,,,
8,LBXMI1,,,,,,,,,,,,
9,LBXMV1,,,,,,,,,,,,
10,LBXMF1,,,,,,,,,,,,
11,LBXMO1,,,,,,,,,,,,
12,LBXMG1,,,,,,,,,,,,
13,LBXMD1,,,,,,,,,,,,
14,LBXML1,,,,,,,,,,,,
15,LBXMR1,,,,,,,,,,,,
16,LBXMY1,,,,,,,,,,,,
17,LBAMMT1,,,,,,,,,,,,
18,LBXMS2,,,,,,,,,,,,
19,LBXMT2,,,,,,,,,,,,
20,LBXMZ2,,,,,,,,,,,,
21,LBXMC2,,,,,,,,,,,,
22,LBXME2,,,,,,,,,,,,
23,LBXMP2,,,,,,,,,,,,
24,LBXMI2,,,,,,,,,,,,
25,LBXMV2,,,,,,,,,,,,
26,LBXMF2,,,,,,,,,,,,
27,LBXMO2,,,,,,,,,,,,
28,LBXMG2,,,,,,,,,,,,
29,LBXMD2,,,,,,,,,,,,
30,LBXML2,,,,,,,,,,,,
31,LBXMR2,,,,,,,,,,,,
32,LBXMY2,,,,,,,,,,,,
33,LBAMMT2,,,,,,,,,,,,
34,LBXETA,,,,,,,,,,,,
35,LBXETB,,,,,,,,,,,,
36,LBXETC,,,,,,,,,,,,
37,LBXETD,,,,,,,,,,,,
38,LBXETE,,,,,,,,,,,,
39,LBXETH,,,,,,,,,,,,
40,LBXTSS,,,,,,,,,,,,
41,LBXPVL,,,,,,,,,,,,
42,LBXSCC,,,,,,,,,,,,
