,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSPH2YR,,,,,,,,,,,,
2,WTSPH4YR,,,,,,,,,,,,
3,URXMBP,,,,,,,,,,,,
4,URXMCP,,,,,,,,,,,,
5,URXMEP,,,,,,,,,,,,
6,URXMHP,,,,,,,,,,,,
7,URXMNP,,,,,,,,,,,,
8,URXMOP,,,,,,,,,,,,
9,URXMZP,,,,,,,,,,,,
10,URXMNM,,,,,,,,,,,,
11,URXMC1,,,,,,,,,,,,
12,URXMHH,,,,,,,,,,,,
13,URXMOH,,,,,,,,,,,,
14,URXMIB,,,,,,,,,,,,
15,URXDAZ,,,,,,,,,,,,
16,URXDMA,,,,,,,,,,,,
17,URXEQU,,,,,,,,,,,,
18,URXETD,,,,,,,,,,,,
19,URXETL,,,,,,,,,,,,
20,URXGNS,,,,,,,,,,,,
21,URXP01,,,,,,,,,,,,
22,URXP02,,,,,,,,,,,,
23,URXP03,,,,,,,,,,,,
24,URXP04,,,,,,,,,,,,
25,URXP05,,,,,,,,,,,,
26,URXP06,,,,,,,,,,,,
27,URXP07,,,,,,,,,,,,
28,URXP09,,,,,,,,,,,,
29,URXP10,,,,,,,,,,,,
30,URXUCR,,,,,,,,,,,,
