,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSB2YR,,,,,,,,,,,,
2,LBXHCB,,,,,,,,,,,,
3,LBXHCBLA,,,,,,,,,,,,
4,LBDHCBLC,,,,,,,,,,,,
5,LBXBHC,,,,,,,,,,,,
6,LBXBHCLA,,,,,,,,,,,,
7,LBDBHCLC,,,,,,,,,,,,
8,LBXGHC,,,,,,,,,,,,
9,LBXGHCLA,,,,,,,,,,,,
10,LBDGHCLC,,,,,,,,,,,,
11,LBXPDE,,,,,,,,,,,,
12,LBXPDELA,,,,,,,,,,,,
13,LBDPDELC,,,,,,,,,,,,
14,LBXPDT,,,,,,,,,,,,
15,LBXPDTLA,,,,,,,,,,,,
16,LBDPDTLC,,,,,,,,,,,,
17,LBXODT,,,,,,,,,,,,
18,LBXODTLA,,,,,,,,,,,,
19,LBDODTLC,,,,,,,,,,,,
20,LBXOXY,,,,,,,,,,,,
21,LBXOXYLA,,,,,,,,,,,,
22,LBDOXYLC,,,,,,,,,,,,
23,LBXTNA,,,,,,,,,,,,
24,LBXTNALA,,,,,,,,,,,,
25,LBDTNALC,,,,,,,,,,,,
26,LBXHPE,,,,,,,,,,,,
27,LBXHPELA,,,,,,,,,,,,
28,LBDHPELC,,,,,,,,,,,,
29,LBXMIR,,,,,,,,,,,,
30,LBXMIRLA,,,,,,,,,,,,
31,LBDMIRLC,,,,,,,,,,,,
32,LBXALD,,,,,,,,,,,,
33,LBXALDLA,,,,,,,,,,,,
34,LBDALDLC,,,,,,,,,,,,
35,LBXDIE,,,,,,,,,,,,
36,LBXDIELA,,,,,,,,,,,,
37,LBDDIELC,,,,,,,,,,,,
38,LBXEND,,,,,,,,,,,,
39,LBXENDLA,,,,,,,,,,,,
40,LBDENDLC,,,,,,,,,,,,
