,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
1,LBXPV6,,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
2,LBXPV11,HPV11 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
3,LBXPV16,HPV16 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
4,LBXPV18,HPV18 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
5,LBXPV31,HPV31 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
6,LBXPV33,HPV33 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
7,LBXPV45,HPV45 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
8,LBXPV52,HPV52 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
9,LBXPV58,HPV58 9-plex coded result,Both males and females 18 YEARS - 59 YEARS,,,,,,,,,,,,,
