,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSB2YR,Environmental B 2 year weights,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
2,URXP01,1-hydroxynaphthalene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
3,URDP01LC,1-hydroxynaphthalene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
4,URXP02,2-hydroxynaphthalene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
5,URDP02LC,2-hydroxynaphthalene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
6,URXP03,3-hydroxyfluorene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
7,URDP03LC,3-hydroxyfluorene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
8,URXP04,2-hydroxyfluorene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
9,URDP04LC,2-hydroxyfluorene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
10,URXP05,3-hydroxyphenanthrene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
11,URDP05LC,3-hydroxyphenanthrene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
12,URXP06,1-hydroxyphenanthrene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
13,URDP06LC,1-hydroxyphenanthrene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
14,URXP07,2-hydroxyphenanthrene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
15,URDP07LC,2-hydroxyphenanthrene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
16,URXP10,1-hydroxypyrene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
17,URDP10LC,1-hydroxypyrene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
18,URXP17,9-hydroxyfluorene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
19,URDP17LC,9-hydroxyfluorene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
20,URXP19,4-hydroxyphenanthrene (ng/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
21,URDP19LC,4-hydroxyphenanthrene comment code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
22,URXUCR,Urinary creatinine,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
