,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SAMPLEID,,,,,,,,,,,,
1,RIAGENDR,,,,,,,,,,,,
2,ETHNICTY,,,,,,,,,,,,
3,RIDAGGRP,,,,,,,,,,,,
4,RIANSMP,,,,,,,,,,,,
5,WTSMSMPA,,,,,,,,,,,,
6,LBC028,,,,,,,,,,,,
7,LBC028LA,,,,,,,,,,,,
8,LBD028LC,,,,,,,,,,,,
9,LBC044,,,,,,,,,,,,
10,LBC044LA,,,,,,,,,,,,
11,LBD044LC,,,,,,,,,,,,
12,LBC049,,,,,,,,,,,,
13,LBC049LA,,,,,,,,,,,,
14,LBD049LC,,,,,,,,,,,,
15,LBC052,,,,,,,,,,,,
16,LBC052LA,,,,,,,,,,,,
17,LBD052LC,,,,,,,,,,,,
18,LBC066,,,,,,,,,,,,
19,LBC066LA,,,,,,,,,,,,
20,LBD066LC,,,,,,,,,,,,
21,LBC074,,,,,,,,,,,,
22,LBC074LA,,,,,,,,,,,,
23,LBD074LC,,,,,,,,,,,,
24,LBC087,,,,,,,,,,,,
25,LBC087LA,,,,,,,,,,,,
26,LBD087LC,,,,,,,,,,,,
27,LBC099,,,,,,,,,,,,
28,LBC099LA,,,,,,,,,,,,
29,LBD099LC,,,,,,,,,,,,
30,LBC101,,,,,,,,,,,,
31,LBC101LA,,,,,,,,,,,,
32,LBD101LC,,,,,,,,,,,,
33,LBC105,,,,,,,,,,,,
34,LBC105LA,,,,,,,,,,,,
35,LBD105LC,,,,,,,,,,,,
36,LBC110,,,,,,,,,,,,
37,LBC110LA,,,,,,,,,,,,
38,LBD110LC,,,,,,,,,,,,
39,LBC114,,,,,,,,,,,,
40,LBC114LA,,,,,,,,,,,,
41,LBD114LC,,,,,,,,,,,,
42,LBC118,,,,,,,,,,,,
43,LBC118LA,,,,,,,,,,,,
44,LBD118LC,,,,,,,,,,,,
45,LBC123,,,,,,,,,,,,
46,LBC123LA,,,,,,,,,,,,
47,LBD123LC,,,,,,,,,,,,
48,LBC128,,,,,,,,,,,,
49,LBC128LA,,,,,,,,,,,,
50,LBD128LC,,,,,,,,,,,,
51,LBC138,,,,,,,,,,,,
52,LBC138LA,,,,,,,,,,,,
53,LBD138LC,,,,,,,,,,,,
54,LBC146,,,,,,,,,,,,
55,LBC146LA,,,,,,,,,,,,
56,LBD146LC,,,,,,,,,,,,
57,LBC149,,,,,,,,,,,,
58,LBC149LA,,,,,,,,,,,,
59,LBD149LC,,,,,,,,,,,,
60,LBC151,,,,,,,,,,,,
61,LBC151LA,,,,,,,,,,,,
62,LBD151LC,,,,,,,,,,,,
63,LBC153,,,,,,,,,,,,
64,LBC153LA,,,,,,,,,,,,
65,LBD153LC,,,,,,,,,,,,
66,LBC156,,,,,,,,,,,,
67,LBC156LA,,,,,,,,,,,,
68,LBD156LC,,,,,,,,,,,,
69,LBC157,,,,,,,,,,,,
70,LBC157LA,,,,,,,,,,,,
71,LBD157LC,,,,,,,,,,,,
72,LBC167,,,,,,,,,,,,
73,LBC167LA,,,,,,,,,,,,
74,LBD167LC,,,,,,,,,,,,
75,LBC170,,,,,,,,,,,,
76,LBC170LA,,,,,,,,,,,,
77,LBD170LC,,,,,,,,,,,,
78,LBC172,,,,,,,,,,,,
79,LBC172LA,,,,,,,,,,,,
80,LBD172LC,,,,,,,,,,,,
81,LBC177,,,,,,,,,,,,
82,LBC177LA,,,,,,,,,,,,
83,LBD177LC,,,,,,,,,,,,
84,LBC178,,,,,,,,,,,,
85,LBC178LA,,,,,,,,,,,,
86,LBD178LC,,,,,,,,,,,,
87,LBC180,,,,,,,,,,,,
88,LBC180LA,,,,,,,,,,,,
89,LBD180LC,,,,,,,,,,,,
90,LBC183,,,,,,,,,,,,
91,LBC183LA,,,,,,,,,,,,
92,LBD183LC,,,,,,,,,,,,
93,LBC187,,,,,,,,,,,,
94,LBC187LA,,,,,,,,,,,,
95,LBD187LC,,,,,,,,,,,,
96,LBC189,,,,,,,,,,,,
97,LBC189LA,,,,,,,,,,,,
98,LBD189LC,,,,,,,,,,,,
99,LBC194,,,,,,,,,,,,
100,LBC194LA,,,,,,,,,,,,
101,LBD194LC,,,,,,,,,,,,
102,LBC195,,,,,,,,,,,,
103,LBC195LA,,,,,,,,,,,,
104,LBD195LC,,,,,,,,,,,,
105,LBC196,,,,,,,,,,,,
106,LBC196LA,,,,,,,,,,,,
107,LBD196LC,,,,,,,,,,,,
108,LBC199,,,,,,,,,,,,
109,LBC199LA,,,,,,,,,,,,
110,LBD199LC,,,,,,,,,,,,
111,LBC206,,,,,,,,,,,,
112,LBC206LA,,,,,,,,,,,,
113,LBD206LC,,,,,,,,,,,,
114,LBC209,,,,,,,,,,,,
115,LBC209LA,,,,,,,,,,,,
116,LBD209LC,,,,,,,,,,,,
