,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSB2YR,,,,,,,,,,,,
2,URXCNP,,,,,,,,,,,,
3,URDCNPLC,,,,,,,,,,,,
4,URXCOP,,,,,,,,,,,,
5,URDCOPLC,,,,,,,,,,,,
6,URXECP,,,,,,,,,,,,
7,URDECPLC,,,,,,,,,,,,
8,URXMBP,,,,,,,,,,,,
9,URDMBPLC,,,,,,,,,,,,
10,URXMC1,,,,,,,,,,,,
11,URDMC1LC,,,,,,,,,,,,
12,URXMCP,,,,,,,,,,,,
13,URDMCPLC,,,,,,,,,,,,
14,URXMEP,,,,,,,,,,,,
15,URDMEPLC,,,,,,,,,,,,
16,URXMHH,,,,,,,,,,,,
17,URDMHHLC,,,,,,,,,,,,
18,URXMHP,,,,,,,,,,,,
19,URDMHPLC,,,,,,,,,,,,
20,URXMNM,,,,,,,,,,,,
21,URDMNMLC,,,,,,,,,,,,
22,URXMNP,,,,,,,,,,,,
23,URDMNPLC,,,,,,,,,,,,
24,URXMOH,,,,,,,,,,,,
25,URDMOHLC,,,,,,,,,,,,
26,URXMOP,,,,,,,,,,,,
27,URDMOPLC,,,,,,,,,,,,
28,URXMZP,,,,,,,,,,,,
29,URDMZPLC,,,,,,,,,,,,
30,URXMIB,,,,,,,,,,,,
31,URDMIBLC,,,,,,,,,,,,
32,URXUCR,,,,,,,,,,,,
