,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSVOC2Y,VOC Subsample Weight,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LBXV1A,Blood 11-Dichloroethane (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LBDV1ALC,Blood 11-Dichloroethane Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,LBXV1D,Blood 12-Dichlorobenzene (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,LBDV1DLC,Blood 12-Dichlorobenzene Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,LBXV1E,Blood 11-Dichloroethene (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,LBDV1ELC,Blood 11-Dichloroethene Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,LBXV2A,Blood 12-Dichloroethane (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,LBDV2ALC,Blood 12-Dichloroethane Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,LBXV2C,Blood cis-12-Dichloroethene (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,LBDV2CLC,Blood cis-12-Dichloroethene Comt Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,LBXV2E,Blood 112-Trichloroethane(ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,LBDV2ELC,Blood 112-Trichloroethane Comt Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,LBXV2P,Blood 12-Dibromo-3-chloropropane(ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,LBDV2PLC,Blood 12-Dibromo-3-chloropropane Comt,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,LBXV2T,Blood trans-12-Dichloroethene (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,LBDV2TLC,Blood trans-12-Dichloroethene Comt Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,LBXV3B,Blood 13-Dichlorobenzene (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
19,LBDV3BLC,Blood 13-Dichlorobenzene Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
20,LBXV4E,Blood 1122-Tetrachloroethane (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
