,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSC2YR,,,,,,,,,,,,
2,URXMU1,,,,,,,,,,,,
3,URDMU1LC,,,,,,,,,,,,
4,URXMU2,,,,,,,,,,,,
5,URDMU2LC,,,,,,,,,,,,
6,URXMU3,,,,,,,,,,,,
7,URDMU3LC,,,,,,,,,,,,
8,URXMU4,,,,,,,,,,,,
9,URDMU4LC,,,,,,,,,,,,
10,URXMU5,,,,,,,,,,,,
11,URDMU5LC,,,,,,,,,,,,
12,URXMU6,,,,,,,,,,,,
13,URDMU6LC,,,,,,,,,,,,
14,URXMU7,,,,,,,,,,,,
15,URDMU7LC,,,,,,,,,,,,
16,URXMX1,,,,,,,,,,,,
17,URDMX1LC,,,,,,,,,,,,
18,URXMX2,,,,,,,,,,,,
19,URDMX2LC,,,,,,,,,,,,
20,URXMX3,,,,,,,,,,,,
21,URDMX3LC,,,,,,,,,,,,
22,URXMX4,,,,,,,,,,,,
23,URDMX4LC,,,,,,,,,,,,
24,URXMX5,,,,,,,,,,,,
25,URDMX5LC,,,,,,,,,,,,
26,URXMX6,,,,,,,,,,,,
27,URDMX6LC,,,,,,,,,,,,
28,URXMX7,,,,,,,,,,,,
29,URDMX7LC,,,,,,,,,,,,
30,URXAMU,,,,,,,,,,,,
31,URDAMULC,,,,,,,,,,,,
