,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSA2YR,,,,,,,,,,,,
2,URXCNP,,,,,,,,,,,,
3,URDCNPLC,,,,,,,,,,,,
4,URXCOP,,,,,,,,,,,,
5,URDCOPLC,,,,,,,,,,,,
6,URXECP,,,,,,,,,,,,
7,URDECPLC,,,,,,,,,,,,
8,URXMBP,,,,,,,,,,,,
9,URDMBPLC,,,,,,,,,,,,
10,URXMC1,,,,,,,,,,,,
11,URDMC1LC,,,,,,,,,,,,
12,URXMEP,,,,,,,,,,,,
13,URDMEPLC,,,,,,,,,,,,
14,URXMHH,,,,,,,,,,,,
15,URDMHHLC,,,,,,,,,,,,
16,URXMHP,,,,,,,,,,,,
17,URDMHPLC,,,,,,,,,,,,
18,URXMNM,,,,,,,,,,,,
19,URDMNMLC,,,,,,,,,,,,
20,URXMNP,,,,,,,,,,,,
21,URDMNPLC,,,,,,,,,,,,
22,URXMOH,,,,,,,,,,,,
23,URDMOHLC,,,,,,,,,,,,
24,URXMZP,,,,,,,,,,,,
25,URDMZPLC,,,,,,,,,,,,
26,URXMIB,,,,,,,,,,,,
27,URDMIBLC,,,,,,,,,,,,
28,URXMHNC,,,,,,,,,,,,
29,URDMCHLC,,,,,,,,,,,,
30,URXUCR,,,,,,,,,,,,
