,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSSBG2Y,Surplus specimen 2 year weights B for 2011-2012,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
2,SSDPHP,Diphenyl phosphate (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
3,SSDPHPL,Diphenyl phosphate cmt code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
4,SSBDCPP,Bis(13-dichloro-2-propyl) phos (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
5,SSBDCPPL,Bis(13-dichloro-2-propyl) phos cmt cd,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
6,SSBCPP,Bis(1-chloro-2-propyl) phosphate (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
7,SSBCPPL,Bis(1-chloro-2-propyl) phosphate cmt cd,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
8,SSBCEP,Bis(2-chloroethyl) phosphate (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
9,SSBCEPL,Bis(2-chloroethyl) phosphate(µg/L)cmt cd,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
10,SSDCP,Di-cresyl phosphates (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
11,SSDCPL,Di-cresyl phosphates (µg/L) cmt code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
12,SSDBUP,Dibutyl phosphate (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
13,SSDBUPL,Dibutyl phosphate cmt code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
14,SSDBZP,Dibenzyl phosphate (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
15,SSDBZPL,Dibenzyl phosphate cmt code,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
16,SSTBBA,2345-tetrabromobenzoic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
17,SSTBBAL,2345-tetrabromobenzoic acid cmt cd,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
