,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSOG2YR,OGTT Subsample 2 Year MEC Weight,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LBXGLT,Two Hour Glucose(OGTT) (mg/dL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LBDGLTSI,Two Hour Glucose(OGTT) (mmol/L),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,GTDSCMMN,Glucose challenge Administer Time in minutes,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,GTDDR1MN,Time from fast glucose & challenge(min),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,GTDBL2MN,Time from fasting glucose & OGTT (min),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,GTDDR2MN,Time from glucose challenge & OGTT(min),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,GTXDRANK,Amount of glucose challenge drank,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,PHAFSTHR,Total length of food fast hours,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,PHAFSTMN,Total length of food fast minutes,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,GTDCODE,Incomplete OGTT Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
