,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
1,WTSSPH2Y,Surplus specimen SSPFAC_H 2 year weights,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
2,SSPFSA,Perfluorooctane sulfonamide (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
3,SSPFSAL,Perfluorooctane sulfonam Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
4,SSMPAH,2(N-methyl-perfluor sulfon)acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
5,SSMPAHL,2(N-methyl-perfluor sulfon)ac.acid Cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
6,SSEPAH,2(N-ethyl-perfluor sulfon)ac.acid(ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
7,SSEPAHL,2(N ethyl-perfluor sulfon)ac.acid Cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
8,SSPFDE,Pefluorodecanoic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
9,SSPFDEL,Pefluorodecanoic acid (ng/mL) Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
10,SSPFBS,Perfluorobutane sulfonic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
11,SSPFBSL,Perfluorobutane sulfonic acid Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
12,SSPFHP,Perfluoroheptanoic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
13,SSPFHPL,Perfluoroheptanoic acid Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
14,SSPFNA,Perfluorononanoic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
15,SSPFNAL,Perfluorononanoic acid Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
16,SSPFUA,Perfluoroundecanoic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
17,SSPFUAL,Perfluoroundecanoic acid Cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
18,SSPFDO,Perflurododecanoic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
19,SSPFDOL,Perflurododecanoic acid Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
20,SSPFHS,Perfluorohexane sulfonic acid (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
21,SSPFHSL,Perfluorohexane sulfonic acid Cmt code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
22,SSNPFOA,Linear perfluorooctanoate (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
23,SSNPFOAL,Linear perfluorooctanoate Cmt Code,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
24,SSBPFOA,Branch isomers-perfluorooctanoate (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
25,SSBPFOAL,Branch isomers-perfluorooctanoate Cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
26,SSNPFOS,Linear perfluorooctane sulfonate( ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
27,SSNPFOSL,Linear perfluorooctane sulfonate cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
28,SSMPFOS,Monomethyl br. isomers of PFOS (ng/mL),Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
29,SSMPFOSL,Monomethyl br. isomers of PFOS cmt cd,Both males and females 3 YEARS - 11 YEARS,,,,,,,,,,,,,
