,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSVS2YR,,,,,,,,,,,,
2,LBX2DF,,,,,,,,,,,,
3,LBD2DFLC,,,,,,,,,,,,
4,LBX4CE,,,,,,,,,,,,
5,LBD4CELC,,,,,,,,,,,,
6,LBXV06,,,,,,,,,,,,
7,LBDV06LC,,,,,,,,,,,,
8,LBXV07N,,,,,,,,,,,,
9,LBDV07LC,,,,,,,,,,,,
10,LBXV08N,,,,,,,,,,,,
11,LBDV08LC,,,,,,,,,,,,
12,LBXV1D,,,,,,,,,,,,
13,LBDV1DLC,,,,,,,,,,,,
14,LBXV2A,,,,,,,,,,,,
15,LBDV2ALC,,,,,,,,,,,,
16,LBXV3B,,,,,,,,,,,,
17,LBDV3BLC,,,,,,,,,,,,
18,LBXV4C,,,,,,,,,,,,
19,LBDV4CLC,,,,,,,,,,,,
20,LBXVBF,,,,,,,,,,,,
21,LBDVBFLC,,,,,,,,,,,,
22,LBXVBM,,,,,,,,,,,,
23,LBDVBMLC,,,,,,,,,,,,
24,LBXVBZ,,,,,,,,,,,,
25,LBDVBZLC,,,,,,,,,,,,
26,LBXVC6,,,,,,,,,,,,
27,LBDVC6LC,,,,,,,,,,,,
28,LBXVCB,,,,,,,,,,,,
29,LBDVCBLC,,,,,,,,,,,,
30,LBXVCF,,,,,,,,,,,,
31,LBDVCFLC,,,,,,,,,,,,
32,LBXVCM,,,,,,,,,,,,
33,LBDVCMLC,,,,,,,,,,,,
34,LBXVCT,,,,,,,,,,,,
35,LBDVCTLC,,,,,,,,,,,,
36,LBXVDB,,,,,,,,,,,,
37,LBDVDBLC,,,,,,,,,,,,
38,LBXVDE,,,,,,,,,,,,
39,LBDVDELC,,,,,,,,,,,,
40,LBXVDEE,,,,,,,,,,,,
41,LBDVEELC,,,,,,,,,,,,
42,LBXVDX,,,,,,,,,,,,
43,LBDVDXLC,,,,,,,,,,,,
44,LBXVEA,,,,,,,,,,,,
45,LBDVEALC,,,,,,,,,,,,
46,LBXVEB,,,,,,,,,,,,
47,LBDVEBLC,,,,,,,,,,,,
48,LBXVEC,,,,,,,,,,,,
49,LBDVECLC,,,,,,,,,,,,
50,LBXVFN,,,,,,,,,,,,
51,LBDVFNLC,,,,,,,,,,,,
52,LBXVIPB,,,,,,,,,,,,
53,LBDVIPLC,,,,,,,,,,,,
54,LBXVMC,,,,,,,,,,,,
55,LBDVMCLC,,,,,,,,,,,,
56,LBXVME,,,,,,,,,,,,
57,LBDVMELC,,,,,,,,,,,,
58,LBXVMCP,,,,,,,,,,,,
59,LBDVMPLC,,,,,,,,,,,,
60,LBXVNB,,,,,,,,,,,,
61,LBDVNBLC,,,,,,,,,,,,
62,LBXVOX,,,,,,,,,,,,
63,LBDVOXLC,,,,,,,,,,,,
64,LBXVTC,,,,,,,,,,,,
65,LBDVTCLC,,,,,,,,,,,,
66,LBXVTE,,,,,,,,,,,,
67,LBDVTELC,,,,,,,,,,,,
68,LBXVTFT,,,,,,,,,,,,
69,LBDVFTLC,,,,,,,,,,,,
70,LBXVTHF,,,,,,,,,,,,
71,LBDVHTLC,,,,,,,,,,,,
72,LBXVTO,,,,,,,,,,,,
73,LBDVTOLC,,,,,,,,,,,,
74,LBXVTP,,,,,,,,,,,,
75,LBDVTPLC,,,,,,,,,,,,
76,LBXVVB,,,,,,,,,,,,
77,LBDVVBLC,,,,,,,,,,,,
78,LBXVXY,,,,,,,,,,,,
79,LBDVXYLC,,,,,,,,,,,,
80,VTQ210,,,,,,,,,,,,
81,VTQ220,,,,,,,,,,,,
82,VTQ200A,,,,,,,,,,,,
83,VTQ231A,,,,,,,,,,,,
84,VTQ241A,,,,,,,,,,,,
85,VTQ241B,,,,,,,,,,,,
86,VTQ244A,,,,,,,,,,,,
87,VTQ244B,,,,,,,,,,,,
88,VTQ265A,,,,,,,,,,,,
89,VTQ265B,,,,,,,,,,,,
90,VTQ271A,,,,,,,,,,,,
91,VTQ271B,,,,,,,,,,,,
92,VTQ281A,,,,,,,,,,,,
93,VTQ281B,,,,,,,,,,,,
94,VTQ281C,,,,,,,,,,,,
95,VTQ281D,,,,,,,,,,,,
96,VTQ281E,,,,,,,,,,,,
97,VTQ281F,,,,,,,,,,,,
