,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTPH2YR,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LBXWBCSI,White blood cell count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LBXLYPCT,Lymphocyte percent (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
4,LBXMOPCT,Monocyte percent (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
5,LBXNEPCT,Segmented neutrophils percent (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
6,LBXEOPCT,Eosinophils percent (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
7,LBXBAPCT,Basophils percent (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
8,LBDLYMNO,Lymphocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
9,LBDMONO,Monocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
10,LBDNENO,Segmented neutrophils number (1000 cell/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
11,LBDEONO,Eosinophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
12,LBDBANO,Basophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
13,LBXRBCSI,Red blood cell count (million cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
14,LBXHGB,Hemoglobin (g/dL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
15,LBXHCT,Hematocrit (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
16,LBXMCVSI,Mean cell volume (fL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
17,LBXMC,Mean cell hemoglobin concentration (g/dL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
18,LBXMCHSI,Mean cell hemoglobin (pg),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
19,LBXRDW,Red cell distribution width (%),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
20,LBXPLTSI,Platelet count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
21,LBXMPSI,Mean platelet volume (fL),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
22,LBXNRBC,Nucleated red blood cells,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
