"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"ACQ_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_B","ACQ005","ACQ005",NA,NA,"Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_B","ACD010A","ACD010A","English usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""7"", ""9"", "".""]; Value.Description=[""English"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5447"", ""4"", ""0"", ""2447""]; Cumulative=[""5447"", ""5451"", ""5451"", ""7898""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_B","ACD010B","ACD010B","Spanish usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Spanish"", ""Missing""]; Count=[""14"", ""7884""]; Cumulative=[""14"", ""7898""]; Skip.to.Item=[""NA"", ""NA""]"
"ACQ_B","ACD010C","ACD010C","Other language(s) usually spoken at home","What language(s) {do you/does SP} usually speak at home?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""Other"", ""Missing""]; Count=[""308"", ""7590""]; Cumulative=[""308"", ""7898""]; Skip.to.Item=[""NA"", ""NA""]"
"ACQ_B","ACQ015","ACQ015",NA,NA,"Both males and females 12 YEARS - 150 YEARS",NA,NA
"ACQ_B","ACQ020","ACQ020","Language(s) read and spoken","The next questions are about language. In general what language(s) {do you/does SP} read and speak. Would you say . . .","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""Spanish better than English,"", ""Both equally,"", ""English better than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""526"", ""320"", ""522"", ""510"", ""373"", ""0"", ""3"", ""5644""]; Cumulative=[""526"", ""846"", ""1368"", ""1878"", ""2251"", ""2251"", ""2254"", ""7898""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_B","ACQ030","ACQ030","Language(s) used as child","What was the language(s) {you/SP} used as a child? Would you say …","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1195"", ""244"", ""240"", ""210"", ""362"", ""0"", ""3"", ""5644""]; Cumulative=[""1195"", ""1439"", ""1679"", ""1889"", ""2251"", ""2251"", ""2254"", ""7898""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_B","ACD040","ACD040","Language(s) usually spoken at home","What language(s) {do you/does SP} usually speak at home? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""802"", ""219"", ""383"", ""310"", ""537"", ""0"", ""3"", ""5644""]; Cumulative=[""802"", ""1021"", ""1404"", ""1714"", ""2251"", ""2251"", ""2254"", ""7898""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ACQ_B","ACQ050","ACQ050","Language(s) usually used to think","In which language(s) {do you/does SP} usually think? Would you say...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Only Spanish,"", ""More Spanish than English,"", ""Both equally,"", ""More English than Spanish, or"", ""Only English?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""698"", ""166"", ""395"", ""261"", ""704"", ""0"", ""30"", ""5644""]; Cumulative=[""698"", ""864"", ""1259"", ""1520"", ""2224"", ""2224"", ""2254"", ""7898""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
