"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"AUQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 120 YEARS",NA,NA
"AUQ","AUQ130","AUQ130","General condition of hearing","Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Good"", ""Little trouble"", ""Lot of trouble"", ""Deaf"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""7901"", ""1295"", ""260"", ""22"", ""3"", ""6"", ""6""]; Cumulative=[""7901"", ""9196"", ""9456"", ""9478"", ""9481"", ""9487"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ","AUQ140","AUQ140","When was hearing last tested","About how long has it been since {you/SP} last had {your/his/her} hearing tested?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Less than 1 year ago"", ""1 year to 4 years ago"", ""More than 4 years ago"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""654"", ""835"", ""1937"", ""1384"", ""3"", ""64"", ""4616""]; Cumulative=[""654"", ""1489"", ""3426"", ""4810"", ""4813"", ""4877"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ","AUQ150","AUQ150","Ever worn a hearing aid","{Have you/Has SP} ever worn a hearing aid?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""224"", ""4649"", ""3"", ""1"", ""4616""]; Cumulative=[""224"", ""4873"", ""4876"", ""4877"", ""9493""]; Skip.to.Item=["""", ""AUQ190"", ""AUQ190"", ""AUQ190"", """"]"
"AUQ","AUQ160","AUQ160","Now wearing a hearing aid","{Are you/Is SP} now wearing a hearing aid?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""126"", ""98"", ""0"", ""0"", ""9269""]; Cumulative=[""126"", ""224"", ""224"", ""224"", ""9493""]; Skip.to.Item=[""AUQ180"", """", """", """", """"]"
"AUQ","AUQ170","AUQ170","Worn hearing aid in past 12 months","In the past 12 months {have you/has SP} ever worn a hearing aid?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""52"", ""46"", ""0"", ""0"", ""9395""]; Cumulative=[""52"", ""98"", ""98"", ""98"", ""9493""]; Skip.to.Item=["""", ""AUQ190"", ""AUQ190"", ""AUQ190"", """"]"
"AUQ","AUQ180","AUQ180","How often wear hearing aid in past year","In the past 12 months how often would you say {you/SP} wore a hearing aid? Would you say . . .","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Almost always,"", ""At least once a day,"", ""At least once a week,"", ""At least once a month, or"", ""Less frequently than once a month?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""103"", ""22"", ""23"", ""9"", ""21"", ""0"", ""0"", ""9315""]; Cumulative=[""103"", ""125"", ""148"", ""157"", ""178"", ""178"", ""178"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ","AUQ190","AUQ190","Ears ringing roaring buzzing past year","In the past 12 months {have you/has SP} ever had ringing roaring or buzzing in {your/his/her} ears?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1161"", ""3696"", ""3"", ""17"", ""4616""]; Cumulative=[""1161"", ""4857"", ""4860"", ""4877"", ""9493""]; Skip.to.Item=["""", ""AUQ210"", ""AUQ210"", ""AUQ210"", """"]"
"AUQ","AUQ200","AUQ200","How often ringing roaring buzzing","How often did this happen? Would you say . . .","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Almost always,"", ""At least once a day,"", ""At least once a week,"", ""At least once a month, or"", ""Less frequently than once a month?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""263"", ""106"", ""170"", ""205"", ""402"", ""0"", ""15"", ""8332""]; Cumulative=[""263"", ""369"", ""539"", ""744"", ""1146"", ""1146"", ""1161"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ","AUQ210","AUQ210","Firearm noise exposure outside work","Outside of work {have you/has SP} ever been exposed to firearms noise for an average of at least once a month for a year?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""278"", ""4581"", ""4"", ""14"", ""4616""]; Cumulative=[""278"", ""4859"", ""4863"", ""4877"", ""9493""]; Skip.to.Item=["""", ""AUQ230"", ""AUQ230"", ""AUQ230"", """"]"
"AUQ","AUQ220","AUQ220","Use ear protection around firearm noise","{Have you/Has SP} ever worn hearing protection devices when exposed to firearms noise?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""132"", ""144"", ""0"", ""2"", ""9215""]; Cumulative=[""132"", ""276"", ""276"", ""278"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
