"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"AUQ_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"AUQ_B","AUQ130","AUQ130","General condition of hearing","Which statement best describes {your/SPs} hearing (without hearing aid)? Would you say {your/his/her} hearing is good that {you have/s/he has} a little trouble a lot of trouble or {are you/is s/he} deaf?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Good"", ""Little trouble"", ""Lot of trouble"", ""Deaf"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8655"", ""1452"", ""321"", ""29"", ""2"", ""6"", ""5""]; Cumulative=[""8655"", ""10107"", ""10428"", ""10457"", ""10459"", ""10465"", ""10470""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ_B","AUQ140","AUQ140","When was hearing last tested","About how long has it been since {you/SP} last had {your/his/her} hearing tested?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Less than 1 year ago"", ""1 year to 4 years ago"", ""More than 4 years ago"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""682"", ""1033"", ""2421"", ""1208"", ""2"", ""61"", ""5063""]; Cumulative=[""682"", ""1715"", ""4136"", ""5344"", ""5346"", ""5407"", ""10470""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ_B","AUQ150","AUQ150","Ever worn a hearing aid","{Have you/Has SP} ever worn a hearing aid?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""319"", ""5085"", ""3"", ""0"", ""5063""]; Cumulative=[""319"", ""5404"", ""5407"", ""5407"", ""10470""]; Skip.to.Item=["""", ""AUQ190"", ""AUQ190"", ""AUQ190"", """"]"
"AUQ_B","AUQ160","AUQ160","Now wearing a hearing aid","{Are you/Is SP} now wearing a hearing aid?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""182"", ""137"", ""0"", ""0"", ""10151""]; Cumulative=[""182"", ""319"", ""319"", ""319"", ""10470""]; Skip.to.Item=[""AUQ180"", """", """", """", """"]"
"AUQ_B","AUQ170","AUQ170","Worn hearing aid in past 12 months","In the past 12 months {have you/has SP} ever worn a hearing aid?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""66"", ""71"", ""0"", ""0"", ""10333""]; Cumulative=[""66"", ""137"", ""137"", ""137"", ""10470""]; Skip.to.Item=["""", ""AUQ190"", ""AUQ190"", ""AUQ190"", """"]"
"AUQ_B","AUQ180","AUQ180","How often wear hearing aid in past year","In the past 12 months how often would you say {you/SP} wore a hearing aid? Would you say . . .","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Almost always,"", ""At least once a day,"", ""At least once a week,"", ""At least once a month, or"", ""Less frequently than once a month?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""143"", ""32"", ""32"", ""11"", ""30"", ""0"", ""0"", ""10222""]; Cumulative=[""143"", ""175"", ""207"", ""218"", ""248"", ""248"", ""248"", ""10470""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ_B","AUQ190","AUQ190","Ears ringing roaring buzzing past year","In the past 12 months {have you/has SP} ever had ringing roaring or buzzing in {your/his/her} ears?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1277"", ""4116"", ""2"", ""12"", ""5063""]; Cumulative=[""1277"", ""5393"", ""5395"", ""5407"", ""10470""]; Skip.to.Item=["""", ""AUQ210"", ""AUQ210"", ""AUQ210"", """"]"
"AUQ_B","AUQ200","AUQ200","How often ringing roaring buzzing","How often did this happen? Would you say . . .","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Almost always,"", ""At least once a day,"", ""At least once a week,"", ""At least once a month, or"", ""Less frequently than once a month?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""284"", ""87"", ""189"", ""252"", ""456"", ""0"", ""9"", ""9193""]; Cumulative=[""284"", ""371"", ""560"", ""812"", ""1268"", ""1268"", ""1277"", ""10470""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"AUQ_B","AUQ210","AUQ210","Firearm noise exposure outside work","Outside of work {have you/has SP} ever been exposed to firearms noise for an average of at least once a month for a year?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""433"", ""4966"", ""2"", ""6"", ""5063""]; Cumulative=[""433"", ""5399"", ""5401"", ""5407"", ""10470""]; Skip.to.Item=["""", ""AUQ230"", ""AUQ230"", ""AUQ230"", """"]"
"AUQ_B","AUQ220","AUQ220","Use ear protection around firearm noise","{Have you/Has SP} ever worn hearing protection devices when exposed to firearms noise?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""211"", ""221"", ""0"", ""1"", ""10037""]; Cumulative=[""211"", ""432"", ""432"", ""433"", ""10470""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
