"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BPQ_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 150 YEARS",NA,NA
"BPQ_F","BPQ020","BPQ020","Ever told you had high blood pressure","{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2221"", ""4655"", ""0"", ""13"", ""0""]; Cumulative=[""2221"", ""6876"", ""6876"", ""6889"", ""6889""]; Skip.to.Item=["""", ""BPQ057"", ""BPQ057"", ""BPQ057"", """"]"
"BPQ_F","BPQ030","BPQ030","Told had high blood pressure - 2+ times","{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1791"", ""418"", ""0"", ""12"", ""4668""]; Cumulative=[""1791"", ""2209"", ""2209"", ""2221"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPQ_F","BPD035","BPD035","Age told had hypertension","How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 79"", ""80"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""80 years or older"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2130"", ""41"", ""1"", ""40"", ""4677""]; Cumulative=[""2130"", ""2171"", ""2172"", ""2212"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPQ_F","BPQ040A","BPQ040A","Taking prescription for hypertension","Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1937"", ""284"", ""0"", ""0"", ""4668""]; Cumulative=[""1937"", ""2221"", ""2221"", ""2221"", ""6889""]; Skip.to.Item=["""", ""BPQ057"", ""BPQ057"", ""BPQ057"", """"]"
"BPQ_F","BPQ050A","BPQ050A","Now taking prescribed medicine for HBP","HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1742"", ""195"", ""0"", ""0"", ""4952""]; Cumulative=[""1742"", ""1937"", ""1937"", ""1937"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPQ_F","BPQ057","BPQ057","Borderline Hypertension","{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} high normal blood pressure or borderline hypertension?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""963"", ""5878"", ""0"", ""48"", ""0""]; Cumulative=[""963"", ""6841"", ""6841"", ""6889"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPQ_F","BPQ056","BPQ056","Take blood pressure at home last 12 mos?","{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1491"", ""5397"", ""0"", ""1"", ""0""]; Cumulative=[""1491"", ""6888"", ""6888"", ""6889"", ""6889""]; Skip.to.Item=["""", ""BPQ059"", ""BPQ059"", ""BPQ059"", """"]"
"BPQ_F","BPD058","BPD058","How often checked BP at home last 12 mos","How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1461"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1485"", ""0"", ""6"", ""5398""]; Cumulative=[""1485"", ""1485"", ""1491"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPQ_F","BPQ059","BPQ059","Doctor tell you to take BP at home?","Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""775"", ""6114"", ""0"", ""0"", ""0""]; Cumulative=[""775"", ""6889"", ""6889"", ""6889"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
