"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CSQ_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"CSQ_H","CSQ010","CSQ010","Had problem with smell past 12 months?","The next questions are about {your/SPs} sense of smell. During the past 12 months {have you/has he/has she} had a problem with {your/his/her} ability to smell such as not being able to smell things or things not smelling the way they are supposed to?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""306"", ""3504"", ""0"", ""5"", ""0""]; Cumulative=[""306"", ""3810"", ""3810"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ020","CSQ020","Had change ability to smell since age 25","How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better worse or is there no change?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better Now"", ""Worse Now"", ""No Change"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""232"", ""544"", ""3029"", ""0"", ""10"", ""0""]; Cumulative=[""232"", ""776"", ""3805"", ""3805"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ030","CSQ030","Smells bother you but not others","Do some smells bother {you/SP} although they do not bother other people?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1036"", ""2762"", ""0"", ""17"", ""0""]; Cumulative=[""1036"", ""3798"", ""3798"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ040","CSQ040","Had phantom odor?","{Do you/Does SP} sometimes smell an unpleasant bad or burning odor when nothing is there?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""274"", ""3534"", ""0"", ""7"", ""0""]; Cumulative=[""274"", ""3808"", ""3808"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ050","CSQ050",NA,NA,"Both males and females 40 YEARS - 150 YEARS",NA,NA
"CSQ_H","CSQ060","CSQ060","When noticed change in ability to smell","How long ago {did you/did SP} first notice a problem with or a change in {your/his/her} ability to smell?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Less than 3 Months Ago"", ""3 to 12 months (1 year) ago"", ""1 to 4 years ago"", ""5 to 9 years ago"", ""Ten or more years ago"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""55"", ""103"", ""213"", ""124"", ""241"", ""3"", ""31"", ""3045""]; Cumulative=[""55"", ""158"", ""371"", ""495"", ""736"", ""739"", ""770"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ070","CSQ070","Frequency of problem w/ ability to smell","Is the problem with {your/SPs} ability to smell always there or does it come and go?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""It is always there"", ""It comes and goes"", ""I have a problem only with a cold"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""284"", ""454"", ""16"", ""2"", ""14"", ""3045""]; Cumulative=[""284"", ""738"", ""754"", ""756"", ""770"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ080","CSQ080","Had problem with taste past 12 months?","The next questions are about {your/SPs} sense of taste. During the past 12 months {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet sour salty or bitter foods and drinks?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""199"", ""3614"", ""0"", ""2"", ""0""]; Cumulative=[""199"", ""3813"", ""3813"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ090A","CSQ090A","Ability to Taste Salt","I am going to read you a list of tastes in everyday foods. How {is your/is SPs} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better worse or is there no change? salt in foods like potato chips or pretzels.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better"", ""Worse"", ""No Change"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""309"", ""180"", ""3312"", ""1"", ""13"", ""0""]; Cumulative=[""309"", ""489"", ""3801"", ""3802"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ090B","CSQ090B","Ability to Taste Sourness","I am going to read you a list of tastes in everyday foods. How {is your/is SPs} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better worse or is there no change? sourness in foods like lemons or vinegar.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better"", ""Worse"", ""No Change"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""161"", ""141"", ""3496"", ""0"", ""17"", ""0""]; Cumulative=[""161"", ""302"", ""3798"", ""3798"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ090C","CSQ090C","Ability to Taste Sweetness","I am going to read you a list of tastes in everyday foods. How {is your/is SPs} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better worse or is there no change? sweetness in foods like peaches or ice cream.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better"", ""Worse"", ""No Change"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""211"", ""137"", ""3458"", ""0"", ""9"", ""0""]; Cumulative=[""211"", ""348"", ""3806"", ""3806"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ090D","CSQ090D","Ability to Taste Bitterness","I am going to read you a list of tastes in everyday foods. How {is your/is SPs} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better worse or is there no change? bitterness in drinks like unsweetened black coffee.","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better"", ""Worse"", ""No Change"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""149"", ""135"", ""3505"", ""0"", ""26"", ""0""]; Cumulative=[""149"", ""284"", ""3789"", ""3789"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ100","CSQ100","Change in ability to taste food flavors?","Is {your/SPs} ability to taste food flavors such as chocolate vanilla or strawberry as good as when {you were/he was/she was} 25 years old?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3528"", ""265"", ""0"", ""22"", ""0""]; Cumulative=[""3528"", ""3793"", ""3793"", ""3815"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ110","CSQ110","Persistent taste in mouth past 12 months","During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""243"", ""3570"", ""0"", ""2"", ""0""]; Cumulative=[""243"", ""3813"", ""3813"", ""3815"", ""3815""]; Skip.to.Item=["""", ""CSQ130"", ""CSQ130"", ""CSQ130"", """"]"
"CSQ_H","CSQ120A","CSQ120A","Taste in mouth Sweet","Please describe the taste or other sensation in {your/SPs} mouth that does not go away. Would {you/he/she} say it is...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""Sweet"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""10"", ""0"", ""1"", ""3804""]; Cumulative=[""10"", ""10"", ""11"", ""3815""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"CSQ_H","CSQ120B","CSQ120B","Taste in mouth Sour","Please describe the taste or other sensation in {your/SPs} mouth that does not go away. Would {you/he/she} say it is...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Sour"", ""Missing""]; Count=[""23"", ""3792""]; Cumulative=[""23"", ""3815""]; Skip.to.Item=[""NA"", ""NA""]"
"CSQ_H","CSQ120C","CSQ120C","Taste in mouth Salty","Please describe the taste or other sensation in {your/SPs} mouth that does not go away. Would {you/he/she} say it is...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""Salty"", ""Missing""]; Count=[""8"", ""3807""]; Cumulative=[""8"", ""3815""]; Skip.to.Item=[""NA"", ""NA""]"
"CSQ_H","CSQ120D","CSQ120D","Taste in mouth Bitter","Please describe the taste or other sensation in {your/SPs} mouth that does not go away. Would {you/he/she} say it is...","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""Bitter"", ""Missing""]; Count=[""82"", ""3733""]; Cumulative=[""82"", ""3815""]; Skip.to.Item=[""NA"", ""NA""]"
