"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DBQ_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DBQ_G","DBQ010","DBQ010","Ever breastfed or fed breastmilk","Now Im going to ask you some general questions about {SPs}  eating habits. Was {SP} ever breastfed or fed breastmilk?","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1314"", ""523"", ""0"", ""7"", ""7912""]; Cumulative=[""1314"", ""1837"", ""1837"", ""1844"", ""9756""]; Skip.to.Item=["""", ""DBD041"", ""DBD041"", ""DBD041"", """"]"
"DBQ_G","DBD030","DBD030","Age stopped breastfeeding(days)","How old was {SP} when {he/she} completely stopped  breastfeeding or being fed breastmilk?","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1 to 2190"", ""0"", ""777777"", ""999999"", "".""]; Value.Description=[""Range of Values"", ""Still breastfeeding"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1147"", ""164"", ""0"", ""3"", ""8442""]; Cumulative=[""1147"", ""1311"", ""1311"", ""1314"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DBQ_G","DBD041","DBD041","Age first fed formula(days)","How old was {SP} when {he/she} was first fed formula?","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1 to 730"", ""0"", ""777777"", ""999999"", "".""]; Value.Description=[""Range of Values"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1617"", ""209"", ""0"", ""18"", ""7912""]; Cumulative=[""1617"", ""1826"", ""1826"", ""1844"", ""9756""]; Skip.to.Item=["""", ""DBD055"", """", """", """"]"
"DBQ_G","DBD050","DBD050","Age stopped receiving formula(days)","How old was {SP} when {he/she} completely stopped drinking  formula?","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1 to 1460"", ""0"", ""777777"", ""999999"", "".""]; Value.Description=[""Range of Values"", ""Still drinking formula"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1265"", ""352"", ""0"", ""18"", ""8121""]; Cumulative=[""1265"", ""1617"", ""1617"", ""1635"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DBQ_G","DBD055","DBD055","Age started other than breastmilk/fomula","This next question is about the first thing that {SP} was  given other than breast milk or formula. Please include juice cowï¿½s milk  sugar water baby food or anything else that {SP} might have been given even  water. How old was {SP} when {he/she} was first fed anything other than  breast milk or formula? (Days)","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1 to 2190"", ""0"", ""777777"", ""999999"", "".""]; Value.Description=[""Range of Values"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1684"", ""139"", ""0"", ""21"", ""7912""]; Cumulative=[""1684"", ""1823"", ""1823"", ""1844"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DBQ_G","DBD061","DBD061","Age first fed milk(days)","How old was {SP} when {he/she} was first fed milk?","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""1 to 1460"", ""0"", ""777777"", ""999999"", "".""]; Value.Description=[""Range of Values"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1430"", ""255"", ""0"", ""3"", ""8068""]; Cumulative=[""1430"", ""1685"", ""1685"", ""1688"", ""9756""]; Skip.to.Item=["""", ""DBD085"", """", """", """"]"
"DBQ_G","DBQ073A","DBQ073A","Type of milk first fed - whole milk","What type of milk was {SP} first fed? Was it . . .","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""Whole or regular milk"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1112"", ""0"", ""2"", ""8642""]; Cumulative=[""1112"", ""1112"", ""1114"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DBQ_G","DBQ073B","DBQ073B","Type of milk first fed - 2% milk","What type of milk was {SP} first fed? Was it . . .","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""2% fat or reduced-fat milk"", ""Missing""]; Count=[""264"", ""9492""]; Cumulative=[""264"", ""9756""]; Skip.to.Item=[""NA"", ""NA""]"
"DBQ_G","DBQ073C","DBQ073C","Type of milk first fed - 1% milk","What type of milk was {SP} first fed? Was it . . .","Both males and females 0 YEARS - 6 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""1% fat or low-fat milk (includes 0.5% fat milk or 
      low-fat milk not further specified),"", ""Missing""]; Count=[""35"", ""9721""]; Cumulative=[""35"", ""9756""]; Skip.to.Item=[""NA"", ""NA""]"
