"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DEQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 120 YEARS",NA,NA
"DEQ","DEQ010","DEQ010","# moles at least 1/4 inch in diameter","Next are some general questions about {your/SPs} skin and hair. How many moles {do you/does SP} have that are at least 1/4 inch in diameter?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""None"", ""1 or 2"", ""3 to 5"", ""6 to 10"", ""More than 10"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6669"", ""1188"", ""380"", ""84"", ""63"", ""4"", ""14"", ""6""]; Cumulative=[""6669"", ""7857"", ""8237"", ""8321"", ""8384"", ""8388"", ""8402"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DEQ020","DEQ020","Natural hair color at age 18","What {is/was} {your/SPs} natural hair color {at 18}?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""Red"", ""Blonde"", ""Light brown"", ""Medium brown"", ""Dark brown"", ""Black"", ""Other"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""125"", ""640"", ""1051"", ""1166"", ""2485"", ""2883"", ""39"", ""7"", ""6"", ""6""]; Cumulative=[""125"", ""765"", ""1816"", ""2982"", ""5467"", ""8350"", ""8389"", ""8396"", ""8402"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DEQ030","DEQ030","Skin reaction to sun after non-exposure","If after several months of not being in the sun {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour which one of these would happen to {your/his/her} skin?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""Get a severe sunburn with blisters"", ""A severe sunburn for a few days with peeling"", ""Mildly burned with some tanning"", ""Turning darker without a sunburn"", ""Nothing would happen in half an hour"", ""Other"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""182"", ""585"", ""1709"", ""2061"", ""3767"", ""58"", ""5"", ""35"", ""6""]; Cumulative=[""182"", ""767"", ""2476"", ""4537"", ""8304"", ""8362"", ""8367"", ""8402"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DEQ040","DEQ040","Ever told by doctor you had melanoma","{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he/SP} had melanoma?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Has skin cancer but does not know what type (code only if volunteered)"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""98"", ""8242"", ""47"", ""4"", ""11"", ""6""]; Cumulative=[""98"", ""8340"", ""8387"", ""8391"", ""8402"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DEQ050","DEQ050","Close blood relative have melanoma","Have any of {your/SPs} close blood relatives ever been told by a doctor or other health professional that they had melanoma? By close blood relatives we mean parents grandparents brothers sisters or children.","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""548"", ""7692"", ""4"", ""158"", ""6""]; Cumulative=[""548"", ""8240"", ""8244"", ""8402"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DEQ060","DEQ060","Dermatitis eczema rash in past year","During the past 12 months that is since {DISPLAY CURRENT MONTH} a year ago {have you/has SP} had dermatitis eczema or any other type of red inflamed skin rash?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""873"", ""7513"", ""4"", ""12"", ""6""]; Cumulative=[""873"", ""8386"", ""8390"", ""8402"", ""8408""]; Skip.to.Item=["""", ""End of Section"", ""End of Section"", ""End of Section"", """"]"
"DEQ","DEQ070","DEQ070","Have dermatitis eczema rash now","{Do you/Does SP} have this skin condition today?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""444"", ""429"", ""0"", ""0"", ""7535""]; Cumulative=[""444"", ""873"", ""873"", ""873"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DED080A","DED080A","Hands affected by skin condition","What parts of the body {were/are} affected by this skin condition? PROBE: Any other parts?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""Hands"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""191"", ""0"", ""0"", ""8217""]; Cumulative=[""191"", ""191"", ""191"", ""8408""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DEQ","DED080B","DED080B","Arms affected by skin condition","What parts of the body {were/are} affected by this skin condition? PROBE: Any other parts?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""Arms"", ""Missing""]; Count=[""349"", ""8059""]; Cumulative=[""349"", ""8408""]; Skip.to.Item=[""NA"", ""NA""]"
"DEQ","DED080C","DED080C","Head face or neck skin affected","What parts of the body {were/are} affected by this skin condition? PROBE: Any other parts?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""Head, Face, or Neck"", ""Missing""]; Count=[""361"", ""8047""]; Cumulative=[""361"", ""8408""]; Skip.to.Item=[""NA"", ""NA""]"
