"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DIQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 120 YEARS",NA,NA
"DIQ","DIQ010","DIQ010","Doctor told you have diabetes","The next questions are about specific medical conditions. {Other than during pregnancy {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Borderline"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""489"", ""8936"", ""58"", ""1"", ""4"", ""5""]; Cumulative=[""489"", ""9425"", ""9483"", ""9484"", ""9488"", ""9493""]; Skip.to.Item=["""", ""DIQ050"", ""DIQ050"", ""DIQ050"", ""DIQ050"", """"]"
"DIQ","DIQ040G","DIQ040G","Age when first told you had diabetes","How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Enter number"", ""Less than 1 year"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""475"", ""13"", ""0"", ""1"", ""9004""]; Cumulative=[""475"", ""488"", ""488"", ""489"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ","DIQ040Q","DIQ040Q","Number of years of age","How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1 to 84"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""472"", ""0"", ""3"", ""9018""]; Cumulative=[""472"", ""472"", ""475"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ","DIQ050","DIQ050","Taking insulin now","{Is SP/Are you} now taking insulin","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""138"", ""6509"", ""1"", ""1"", ""2844""]; Cumulative=[""138"", ""6647"", ""6648"", ""6649"", ""9493""]; Skip.to.Item=["""", ""DIQ065"", ""DIQ065"", ""DIQ065"", """"]"
"DIQ","DIQ060G","DIQ060G","How long taking insulin","For how long {have you/has SP} been taking insulin?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Enter number (of months or years)"", ""Less than 1 month"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""135"", ""3"", ""0"", ""0"", ""9355""]; Cumulative=[""135"", ""138"", ""138"", ""138"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ","DIQ060Q","DIQ060Q","Number of mos/yrs taking insulin","For how long {have you/has SP} been taking insulin?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1 to 64"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""134"", ""0"", ""1"", ""9358""]; Cumulative=[""134"", ""134"", ""135"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ","DIQ060U","DIQ060U","Unit of measure (month/year)","UNIT OF MEASURE","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Months"", ""Years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""10"", ""124"", ""0"", ""0"", ""9359""]; Cumulative=[""10"", ""134"", ""134"", ""134"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ","DIQ065","DIQ065",NA,NA,"Both males and females 1 YEARS - 120 YEARS",NA,NA
"DIQ","DIQ070","DIQ070","Take diabetic pills to lower blood sugar","{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""334"", ""153"", ""0"", ""2"", ""9004""]; Cumulative=[""334"", ""487"", ""487"", ""489"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
