"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DIQ_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"DIQ_I","DIQ010","DIQ010","Doctor told you have diabetes","The next questions are about specific medical conditions. {Other than during pregnancy {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Borderline"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""856"", ""8568"", ""147"", ""0"", ""4"", ""0""]; Cumulative=[""856"", ""9424"", ""9571"", ""9571"", ""9575"", ""9575""]; Skip.to.Item=["""", ""DIQ159"", ""DIQ159"", ""DIQ159"", ""DIQ159"", """"]"
"DIQ_I","DID040","DID040","Age when first told you had diabetes","How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2 to 78"", ""80"", ""666"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""80 years or older"", ""Less than 1 year"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""833"", ""7"", ""1"", ""0"", ""12"", ""8722""]; Cumulative=[""833"", ""840"", ""841"", ""841"", ""853"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ159","DIQ159",NA,NA,"Both males and females 1 YEARS - 150 YEARS",NA,NA
"DIQ_I","DIQ160","DIQ160","Ever told you have prediabetes","{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following: prediabetes impaired fasting glucose impaired glucose tolerance borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""513"", ""5521"", ""0"", ""11"", ""3530""]; Cumulative=[""513"", ""6034"", ""6034"", ""6045"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ170","DIQ170","Ever told have health risk for diabetes","{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""899"", ""5268"", ""0"", ""19"", ""3389""]; Cumulative=[""899"", ""6167"", ""6167"", ""6186"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ172","DIQ172","Feel could be at risk for diabetes","{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1588"", ""4510"", ""1"", ""87"", ""3389""]; Cumulative=[""1588"", ""6098"", ""6099"", ""6186"", ""9575""]; Skip.to.Item=["""", ""DIQ180"", ""DIQ180"", ""DIQ180"", """"]"
"DIQ_I","DIQ175A","DIQ175A","Family history","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""Family history"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1186"", ""0"", ""0"", ""8389""]; Cumulative=[""1186"", ""1186"", ""1186"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ175B","DIQ175B","Overweight","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""Overweight"", ""Missing""]; Count=[""601"", ""8974""]; Cumulative=[""601"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
"DIQ_I","DIQ175C","DIQ175C","Age","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""Age"", ""Missing""]; Count=[""160"", ""9415""]; Cumulative=[""160"", ""9575""]; Skip.to.Item=[""NA"", ""NA""]"
