"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"ECQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 15 YEARS",NA,NA
"ECQ","ECQ010","ECQ010","Mothers age when born","First I have some questions about {SP NAMEs} birth. How old was {SP NAMEs} biological mother when {s/he} was born?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""13 to 45"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3871"", ""0"", ""45"", ""5""]; Cumulative=[""3871"", ""3871"", ""3916"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ020","ECQ020","Mother smoked when pregnant","Did {SP NAMEs} biological mother smoke at any time while she was pregnant with {him/her}?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""532"", ""3335"", ""0"", ""49"", ""5""]; Cumulative=[""532"", ""3867"", ""3867"", ""3916"", ""3921""]; Skip.to.Item=["""", ""ECQ060"", ""ECQ060"", ""ECQ060"", """"]"
"ECQ","ECQ030","ECQ030","Mother quit smoking while pregnant","At any time during the pregnancy did {SP NAMEs} biological mother quit or refrain from smoking for the rest of the pregnancy?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""209"", ""315"", ""1"", ""7"", ""3389""]; Cumulative=[""209"", ""524"", ""525"", ""532"", ""3921""]; Skip.to.Item=["""", ""ECQ060"", ""ECQ060"", ""ECQ060"", """"]"
"ECQ","ECQ040","ECQ040","Mother quit smoking while pregnant (mo)","About what month of the pregnancy did {SP NAMEs} biological mother stop smoking?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""77"", ""99"", "".""]; Value.Description=[""First month"", ""Second month"", ""Third month"", ""Fourth month"", ""Fifth month"", ""Sixth month"", ""Seventh month"", ""Eighth month"", ""Ninth month"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""40"", ""36"", ""46"", ""21"", ""20"", ""19"", ""11"", ""3"", ""7"", ""0"", ""6"", ""3712""]; Cumulative=[""40"", ""76"", ""122"", ""143"", ""163"", ""182"", ""193"", ""196"", ""203"", ""203"", ""209"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ060","ECQ060","Receive newborn care at health facility","Did {SP NAME} receive any newborn care in an intensive care unit premature nursery or any other type of special care facility?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""440"", ""3451"", ""0"", ""25"", ""5""]; Cumulative=[""440"", ""3891"", ""3891"", ""3916"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECD070A","ECD070A","Weight at birth pounds","How much did {SP NAME} weigh at birth?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13 pounds or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""36"", ""19"", ""39"", ""89"", ""264"", ""869"", ""1317"", ""805"", ""237"", ""87"", ""15"", ""1"", ""3"", ""2"", ""133"", ""5""]; Cumulative=[""36"", ""55"", ""94"", ""183"", ""447"", ""1316"", ""2633"", ""3438"", ""3675"", ""3762"", ""3777"", ""3778"", ""3781"", ""3783"", ""3916"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECD070B","ECD070B","Weight at birth ounces","How much did {SP NAME} weigh at birth?","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""0 to 15"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3689"", ""0"", ""89"", ""143""]; Cumulative=[""3689"", ""3689"", ""3778"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ080","ECQ080","Weight more/less than 5.5 lbs","Did {SP NAME} weigh . . .","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""More than 5-1/2 lbs. (2500 g), or"", ""Less than 5-1/2 lbs. (2500 g)?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""88"", ""19"", ""0"", ""28"", ""3786""]; Cumulative=[""88"", ""107"", ""107"", ""135"", ""3921""]; Skip.to.Item=["""", ""ECQ095"", ""ECQ095"", ""ECQ095"", """"]"
"ECQ","ECQ090","ECQ090","Weight more/less than 9.0 lbs","Did {SP NAME} weigh . . .","Both males and females 0 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""More than 9 lbs. (4100 g), or"", ""Less than 9 lbs. (4100 g)?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""7"", ""77"", ""0"", ""4"", ""3833""]; Cumulative=[""7"", ""84"", ""84"", ""88"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ095","ECQ095",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
"ECQ","ECD100","ECD100","Ever attend day care or preschool","(First/Next) I have some questions about day care and preschool. By day care I mean child care where there is more than 1 child in care in someone elses home or in a center. Did {SP} ever attend day care or preschool?","Both males and females 2 MONTHS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2091"", ""1745"", ""0"", ""0"", ""85""]; Cumulative=[""2091"", ""3836"", ""3836"", ""3836"", ""3921""]; Skip.to.Item=["""", ""FSQ121"", ""FSQ121"", ""FSQ121"", """"]"
"ECQ","ECD110","ECD110","Now attend day care or preschool","Does {SP} now attend day care or preschool?","Both males and females 2 MONTHS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""421"", ""165"", ""1"", ""0"", ""3334""]; Cumulative=[""421"", ""586"", ""587"", ""587"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","FSQ121","FSQ121","Now attend headstart","Is {SP} now attending {Head Start/Early Head Start}?","Both males and females 0 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""101"", ""1451"", ""0"", ""3"", ""2366""]; Cumulative=[""101"", ""1552"", ""1552"", ""1555"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ130","ECQ130","Hours spent away from home/weekday day","On a typical weekday about how many hours does {SP} spend away from home?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 24"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1083"", ""0"", ""0"", ""2838""]; Cumulative=[""1083"", ""1083"", ""1083"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"ECQ","ECQ140","ECQ140","Hours spent away from home/weekend day","On a typical weekend day about how many hours does {SP} spend away from home?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""0 to 24"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1083"", ""0"", ""0"", ""2838""]; Cumulative=[""1083"", ""1083"", ""1083"", ""3921""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
