"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"FSQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"FSQ","FSD010","FSD010","Food adequacy indicator","The next questions are about the food eaten by {you/you and your household}. {When answering these questions think about all the people who eat here even if they are not related to you.} Which of these statements best describes the food eaten {by you/ in your household} in the last 12 months that is since {DISPLAY CURRENT MONTH} of last year. 1. {I/We} always have enough to eat and the kinds of food {I/we} want; 2. {I/We} have enough to eat but not always the kinds of food {I/we} want; 3. Sometimes or often {I/we} dont have enough to eat.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Enough and the kinds of food wanted"", ""Enough but not always the kinds of food wanted"", ""Sometimes/Often not enough to eat"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""7464"", ""1820"", ""490"", ""18"", ""4"", ""169""]; Cumulative=[""7464"", ""9284"", ""9774"", ""9792"", ""9796"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD160","FSD160","Household WIC received","[In the last 12 months] did {you/you or any member of your household} receive benefits from the WIC program that is the Women Infants and Children program?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1936"", ""7829"", ""19"", ""12"", ""169""]; Cumulative=[""1936"", ""9765"", ""9784"", ""9796"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD170N","FSD170N","No. people in HH authorized for fd stmps","[In the last 12 months] how many people in your household were authorized to receive Food Stamps?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""7 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1443"", ""49"", ""0"", ""12"", ""8461""]; Cumulative=[""1443"", ""1492"", ""1492"", ""1504"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD180","FSD180","Authorized for fd stmps in last 12 mos","In the last 12 months {were you/was SP} authorized to receive Food Stamps?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""697"", ""799"", ""0"", ""8"", ""8461""]; Cumulative=[""697"", ""1496"", ""1496"", ""1504"", ""9965""]; Skip.to.Item=["""", ""FSD655"", ""FSD655"", ""FSD655"", """"]"
"FSQ","FSD190","FSD190","No. mos authorized in last 12 mos","ENTER NUMBER OF MONTHS.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 12"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""547"", ""0"", ""3"", ""9415""]; Cumulative=[""547"", ""547"", ""550"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD200","FSD200","Currently authorized for fd stmps","{Are you/Is SP} now authorized to receive Food Stamps?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""473"", ""75"", ""0"", ""2"", ""9415""]; Cumulative=[""473"", ""548"", ""548"", ""550"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD655","FSD655","Child received WIC in past 12 months","Did (childs name) receive benefits from WIC in the past 12 months?","Both males and females 0 YEARS - 4 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""779"", ""582"", ""0"", ""4"", ""8600""]; Cumulative=[""779"", ""1361"", ""1361"", ""1365"", ""9965""]; Skip.to.Item=["""", ""HHfdsec"", ""HHfdsec"", ""HHfdsec"", """"]"
"FSQ","FSD660C","FSD660C","Child currently receives WIC","Is (childs name) now receiving benefits from the WIC Program?","Both males and females 0 YEARS - 4 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""649"", ""130"", ""0"", ""0"", ""9186""]; Cumulative=[""649"", ""779"", ""779"", ""779"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD665","FSD665","How long child receiving WIC?","How long did {(childs name) receive/ has (childs name) been receiving} benefits from the WIC program?","Both males and females 0 YEARS - 4 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""0-6 months"", ""7-12 months"", ""13-18 months"", ""19-24 months"", ""25-36 months"", ""37-60 months"", ""Missing""]; Count=[""190"", ""132"", ""79"", ""81"", ""112"", ""171"", ""9200""]; Cumulative=[""190"", ""322"", ""401"", ""482"", ""594"", ""765"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSQ650","FSQ650","Mom received WIC in past 12 months","Did {you/(womans name)} personally receive benefits from WIC that is the Women Infants and Children Program in the past 12 months?","Females only 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""245"", ""186"", ""0"", ""0"", ""9534""]; Cumulative=[""245"", ""431"", ""431"", ""431"", ""9965""]; Skip.to.Item=["""", ""HHfdsec"", ""HHfdsec"", ""HHfdsec"", """"]"
"FSQ","FSD660M","FSD660M","Mom currently receives WIC","{Are you/Is (womans name)} now receiving benefits from the WIC Program?","Females only 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""214"", ""30"", ""0"", ""0"", ""9721""]; Cumulative=[""214"", ""244"", ""244"", ""244"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","FSD670","FSD670","How long mom receiving WIC?","How long {did (womans name) receive/has (womans name) been receiving} benefits from the WIC program?","Females only 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""0-6 months"", ""7-12 months"", ""> 12 months"", ""Missing""]; Count=[""112"", ""67"", ""64"", ""9722""]; Cumulative=[""112"", ""179"", ""243"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","HHfdsec","HHfdsec","Household food security category","Household food security category for last 12 months","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""HH fully food secure"", ""HH marginally food secure"", ""HH food insecure without hunger"", ""HH food insecure with hunger"", ""Missing""]; Count=[""7102"", ""889"", ""1209"", ""499"", ""266""]; Cumulative=[""7102"", ""7991"", ""9200"", ""9699"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","ADfdsec","ADfdsec","Adult food security category","Adult food security category for last 12 months","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""AD fully food secure: 0"", ""AD marginally food secure: 1-2"", ""AD food insecure without hunger: 3-5"", ""AD food insecure with hunger: 6-10"", ""Missing""]; Count=[""7174"", ""1024"", ""1006"", ""495"", ""266""]; Cumulative=[""7174"", ""8198"", ""9204"", ""9699"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"FSQ","CHfdsec","CHfdsec","Child food security category","Child food security category for last 12 months","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""CH food quality & quantity unaffected: 0"", ""CH marginally food secure: 1"", ""CH reduced food quality or quantity: 2-4"", ""CH food insecure with hunger: 5-8"", ""Missing""]; Count=[""5293"", ""441"", ""866"", ""105"", ""3260""]; Cumulative=[""5293"", ""5734"", ""6600"", ""6705"", ""9965""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
