"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HCQ_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"HCQ_D","HCASCST1","HCASCST1","Interview Status Code","Interview Status Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""34"", ""0"", ""44"", ""0""]; Cumulative=[""34"", ""34"", ""78"", ""78""]; Skip.to.Item=[""HCQ020"", ""HCQ020"", """", """"]"
"HCQ_D","HCASCCT1","HCASCCT1","Reasons for Not Done","Reasons the Interview was not done","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Unable to contact SP"", ""Refusal"", ""Communication problem or cognitive impairment"", ""SP expired"", ""Did not receive letter"", ""Other"", ""Missing""]; Count=[""37"", ""6"", ""0"", ""1"", ""0"", ""0"", ""34""]; Cumulative=[""37"", ""43"", ""43"", ""44"", ""44"", ""44"", ""78""]; Skip.to.Item=[""End of Section"", ""End of Section"", ""End of Section"", ""End of Section"", ""End of Section"", ""End of Section"", """"]"
"HCQ_D","HCQ020","HCQ020","Heard of Hepatitis C prior to letter?","There are many types of hepatitis. Before receiving the letter with (your/SPs) test result had you heard of hepatitis C?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Heard of hepatitis, but not specifically hepatitis C"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""29"", ""5"", ""0"", ""0"", ""0"", ""44""]; Cumulative=[""29"", ""34"", ""34"", ""34"", ""34"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HCQ_D","HCQ030","HCQ030","First time told had Hepatitis C?","Was the test result in our letter the first time you were told (you had/SP has) hepatitis C?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""16"", ""18"", ""0"", ""0"", ""44""]; Cumulative=[""16"", ""34"", ""34"", ""34"", ""78""]; Skip.to.Item=[""HCQ070"", """", ""HCQ070"", ""HCQ070"", """"]"
"HCQ_D","HCQ040","HCQ040","How long known infected?","For about how long have you known that (you have/SP has) hepatitis C? Would you say ...","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""One year"", ""2 to 5 years"", ""More than 5 years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4"", ""5"", ""9"", ""0"", ""0"", ""60""]; Cumulative=[""4"", ""9"", ""18"", ""18"", ""18"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HCQ_D","HCQ060","HCQ060","Reason first tested for Hepatitis C?","Why were you first tested for hepatitis C? Was it because:","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""9"", "".""]; Value.Description=[""You donated blood?"", ""You had other blood tests done for a routine physical that showed you might have liver disease?"", ""You were sick with symptoms like fatigue, nausea, stomach pain, yellowing of the eyes or skin (known as jaundice)?"", ""You were exposed to blood while on the job?"", ""You or your doctor thought you were at risk of having hepatitis C?"", ""You had another reason?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1"", ""11"", ""4"", ""0"", ""0"", ""2"", ""0"", ""0"", ""60""]; Cumulative=[""1"", ""12"", ""16"", ""16"", ""16"", ""18"", ""18"", ""18"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HCQ_D","HCQ070","HCQ070","Seen a doctor about test result?","Did (you/SP) see a doctor or other health professional about (your/his/her) hepatitis C test result?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""7"", ""9"", ""."", ""1"", ""2""]; Value.Description=[""Refused"", ""Don't know"", ""Missing"", ""Yes"", ""No""]; Count=[""0"", ""0"", ""44"", ""28"", ""6""]; Cumulative=[""34"", ""34"", ""78"", ""28"", ""34""]; Skip.to.Item=["""", """", """", ""HCQ090"", """"]"
"HCQ_D","HCQ080","HCQ080","Have a doctors appointment?","(Do you/Does SP) have an appointment to see a doctor or other health care professional about (your/his/her) hepatitis C test result?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3"", ""3"", ""0"", ""0"", ""72""]; Cumulative=[""3"", ""6"", ""6"", ""6"", ""78""]; Skip.to.Item=[""HCQ160"", ""HCQ160"", ""HCQ160"", ""HCQ160"", """"]"
"HCQ_D","HCQ090","HCQ090","Did doctor do additional tests?","When (you/SP) saw a doctor or other health professional about (your/his/her) hepatitis C test results did (you/he/she) have other blood tests to check how (your/his/her) liver is working?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""24"", ""2"", ""0"", ""2"", ""50""]; Cumulative=[""24"", ""26"", ""26"", ""28"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HCQ_D","HCQ100","HCQ100","What doctor told about test result?","Which of the following statements describes most closely what (your/SPs) doctor told you about (your/his/her) hepatitis C result?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""(You have/He/She has) hepatitis C and need(s) regular medical follow-up."", ""You/He/She) tested positive for hepatitis C, but (do/does) not need to do anything or worry about it."", ""(You/He/she) really (don't/doesn't) have hepatitis C because a follow-up test showed that the positive test result was in error."", ""Other"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""12"", ""12"", ""0"", ""2"", ""0"", ""1"", ""51""]; Cumulative=[""12"", ""24"", ""24"", ""26"", ""26"", ""27"", ""78""]; Skip.to.Item=["""", ""HCQ160"", ""End of Section"", """", """", """", """"]"
