"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HIQ_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HIQ_F","HIQ011","HIQ011","Covered by health insurance","The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""7"", ""9"", ""."", ""1"", ""2""]; Value.Description=[""Refused"", ""Don't know"", ""Missing"", ""Yes"", ""No""]; Count=[""4"", ""10"", ""1"", ""8500"", ""2022""]; Cumulative=[""10526"", ""10536"", ""10537"", ""8500"", ""10522""]; Skip.to.Item=[""HIQ065"", ""HIQ065"", """", """", ""HIQ065""]"
"HIQ_F","HIQ031A","HIQ031A","Covered by private insurance","{Are you/Is SP} covered by private insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""14"", ""77"", ""99"", "".""]; Value.Description=[""Covered by private insurance"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4894"", ""0"", ""24"", ""5619""]; Cumulative=[""4894"", ""4894"", ""4918"", ""10537""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"HIQ_F","HIQ031B","HIQ031B","Covered by Medicare","{Are you/Is SP} covered by Medicare?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""Covered by Medicare"", ""Missing""]; Count=[""1461"", ""9076""]; Cumulative=[""1461"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031C","HIQ031C","Covered by Medi-Gap","{Are you/Is SP} covered by Medi-Gap?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""Covered by Medi-Gap"", ""Missing""]; Count=[""24"", ""10513""]; Cumulative=[""24"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031D","HIQ031D","Covered by Medicaid","{Are you/Is SP} covered by Medicaid?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""Covered by Medicaid"", ""Missing""]; Count=[""1828"", ""8709""]; Cumulative=[""1828"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031E","HIQ031E","Covered by SCHIP","{Are you/Is SP} covered by SCHIP (State Childrens Health Insurance Program)?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""18"", "".""]; Value.Description=[""Covered by SCHIP"", ""Missing""]; Count=[""92"", ""10445""]; Cumulative=[""92"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031F","HIQ031F","Covered by military health care","{Are you/Is SP} covered by military health plan (Tricare/VA/Champ-VA)?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""19"", "".""]; Value.Description=[""Covered by military health care"", ""Missing""]; Count=[""321"", ""10216""]; Cumulative=[""321"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031H","HIQ031H","Covered by state-sponsored health plan","{Are you/Is SP} covered by state-sponsored health plan?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""21"", "".""]; Value.Description=[""Covered by state-sponsored health plan"", ""Missing""]; Count=[""738"", ""9799""]; Cumulative=[""738"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031I","HIQ031I","Covered by other government insurance","{Are you/Is SP} covered by other government insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""22"", "".""]; Value.Description=[""Covered by other government insurance"", ""Missing""]; Count=[""230"", ""10307""]; Cumulative=[""230"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031J","HIQ031J","Covered by single service plan","{Are you/Is SP} covered by any single service plan?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""23"", "".""]; Value.Description=[""Covered by single service plan"", ""Missing""]; Count=[""295"", ""10242""]; Cumulative=[""295"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ031AA","HIQ031AA","No coverage of any type","No coverage of any type.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""40"", "".""]; Value.Description=[""No coverage of any type"", ""Missing""]; Count=[""0"", ""10537""]; Cumulative=[""0"", ""10537""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_F","HIQ065","HIQ065",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
"HIQ_F","HIQ259","HIQ259",NA,NA,"Both males and females 0 YEARS - 64 YEARS",NA,NA
"HIQ_F","HIQ260","HIQ260","Have Medicare?","{Do you/Does SP} have Medicare?","Both males and females 65 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""129"", ""124"", ""0"", ""4"", ""10280""]; Cumulative=[""129"", ""253"", ""253"", ""257"", ""10537""]; Skip.to.Item=["""", ""HIQ269"", ""HIQ269"", ""HIQ269"", """"]"
"HIQ_F","HIQ105","HIQ105","Insurance card available or not","Insurance card available or not.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""950"", ""113"", ""9474""]; Cumulative=[""950"", ""1063"", ""10537""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"HIQ_F","HIQ269","HIQ269",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
