"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HIQ_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HIQ_I","HIQ011","HIQ011","Covered by health insurance","The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8640"", ""1312"", ""4"", ""15"", ""0""]; Cumulative=[""8640"", ""9952"", ""9956"", ""9971"", ""9971""]; Skip.to.Item=["""", ""HIQ065"", ""HIQ065"", ""HIQ065"", """"]"
"HIQ_I","HIQ031A","HIQ031A","Covered by private insurance","{Are you/Is SP} covered by private insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""14"", ""77"", ""99"", "".""]; Value.Description=[""Covered by private insurance"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4424"", ""4"", ""81"", ""5462""]; Cumulative=[""4424"", ""4428"", ""4509"", ""9971""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"HIQ_I","HIQ031B","HIQ031B","Covered by Medicare","{Are you/Is SP} covered by Medicare?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""Covered by Medicare"", ""Missing""]; Count=[""1371"", ""8600""]; Cumulative=[""1371"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031C","HIQ031C","Covered by Medi-Gap","{Are you/Is SP} covered by Medi-Gap?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""Covered by Medi-Gap"", ""Missing""]; Count=[""48"", ""9923""]; Cumulative=[""48"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031D","HIQ031D","Covered by Medicaid","{Are you/Is SP} covered by Medicaid?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""Covered by Medicaid"", ""Missing""]; Count=[""2384"", ""7587""]; Cumulative=[""2384"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031E","HIQ031E","Covered by SCHIP","{Are you/Is SP} covered by SCHIP (State Childrens Health Insurance Program)?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""18"", "".""]; Value.Description=[""Covered by SCHIP"", ""Missing""]; Count=[""97"", ""9874""]; Cumulative=[""97"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031F","HIQ031F","Covered by military health care","{Are you/Is SP} covered by military health plan (Tricare/VA/Champ-VA)?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""19"", "".""]; Value.Description=[""Covered by military health care"", ""Missing""]; Count=[""331"", ""9640""]; Cumulative=[""331"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031G","HIQ031G","Covered by Indian Health Service","{Are you/Is SP} covered by Indian Health Service?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""20"", "".""]; Value.Description=[""Covered by Indian Health Service"", ""Missing""]; Count=[""6"", ""9965""]; Cumulative=[""6"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
"HIQ_I","HIQ031H","HIQ031H","Covered by state-sponsored health plan","{Are you/Is SP} covered by state-sponsored health plan?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""21"", "".""]; Value.Description=[""Covered by state-sponsored health plan"", ""Missing""]; Count=[""715"", ""9256""]; Cumulative=[""715"", ""9971""]; Skip.to.Item=[""NA"", ""NA""]"
