"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"HUQ_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HUQ_J","HUQ010","HUQ010","General health condition","{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Excellent,"", ""Very good,"", ""Good,"", ""Fair, or"", ""Poor?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2303"", ""2501"", ""2847"", ""1335"", ""261"", ""5"", ""2"", ""0""]; Cumulative=[""2303"", ""4804"", ""7651"", ""8986"", ""9247"", ""9252"", ""9254"", ""9254""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_J","HUQ015","HUQ015",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
"HUQ_J","HUQ020","HUQ020","Health now compared with 1 year ago","Compared with 12 months ago would you say {your/SPs} health is now . . .","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better,"", ""Worse, or"", ""About the same?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1810"", ""654"", ""6427"", ""0"", ""6"", ""357""]; Cumulative=[""1810"", ""2464"", ""8891"", ""8891"", ""8897"", ""9254""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_J","HUQ030","HUQ030","Routine place to go for healthcare","Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""There is no place"", ""There is more than one place"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""7805"", ""1398"", ""49"", ""0"", ""2"", ""0""]; Cumulative=[""7805"", ""9203"", ""9252"", ""9252"", ""9254"", ""9254""]; Skip.to.Item=["""", ""HUQ051"", """", ""HUQ051"", ""HUQ051"", """"]"
"HUQ_J","HUQ041","HUQ041","Type place most often go for healthcare","{What kind of place is it - a clinic doctors office emergency room or some other place?} {What kind of place {do you/does SP} go to most often - a clinic doctors office emergency room or some other place?}","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""Clinic or health center"", ""Doctor's office or HMO"", ""Hospital emergency room"", ""Hospital outpatient department"", ""Some other place"", ""Doesn't go to one place most often"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1994"", ""5315"", ""291"", ""104"", ""137"", ""7"", ""0"", ""6"", ""1400""]; Cumulative=[""1994"", ""7309"", ""7600"", ""7704"", ""7841"", ""7848"", ""7848"", ""7854"", ""9254""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_J","HUQ051","HUQ051","#times receive healthcare over past year","{During the past 12 months how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctors office a clinic or some other place? Do not include times {you were/s/he was} hospitalized overnight visits to hospital emergency rooms home visits or telephone calls.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""77"", ""99"", "".""]; Value.Description=[""None"", ""1"", ""2 to 3"", ""4 to 5"", ""6 to 7"", ""8 to 9"", ""10 to 12"", ""13 to 15"", ""16 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1276"", ""1945"", ""2932"", ""1421"", ""587"", ""266"", ""396"", ""128"", ""278"", ""0"", ""25"", ""0""]; Cumulative=[""1276"", ""3221"", ""6153"", ""7574"", ""8161"", ""8427"", ""8823"", ""8951"", ""9229"", ""9229"", ""9254"", ""9254""]; Skip.to.Item=["""", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", """"]"
"HUQ_J","HUQ061","HUQ061","How long since last healthcare visit","About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health? Include doctors seen while {you were} {he/she was} a patient in a hospital. Has it been . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""6 months or less,"", ""more than 6 months, but not more than 1 year ago,"", ""more than 1 year, but not more than 2 years ago,"", ""more than 2 years, but not more than 5 years ago,"", ""more than 5 years ago, or"", ""Never?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""126"", ""113"", ""455"", ""366"", ""165"", ""45"", ""0"", ""6"", ""7978""]; Cumulative=[""126"", ""239"", ""694"", ""1060"", ""1225"", ""1270"", ""1270"", ""1276"", ""9254""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_J","HUQ071","HUQ071","Overnight hospital patient in last year","{During the past 12 months were you/{was} SP} a patient in a hospital overnight? Do not include an overnight stay in the emergency room.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""817"", ""8434"", ""0"", ""3"", ""0""]; Cumulative=[""817"", ""9251"", ""9251"", ""9254"", ""9254""]; Skip.to.Item=["""", ""HUQ085"", ""HUQ085"", ""HUQ085"", """"]"
"HUQ_J","HUD080","HUD080","#times overnite hospital patient/last yr","How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights just total number of hospital admissions for stays which lasted 1 or more nights.)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77777"", ""99999"", "".""]; Value.Description=[""1"", ""2"", ""3"", ""4"", ""5"", ""6 times or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""564"", ""150"", ""50"", ""21"", ""10"", ""17"", ""0"", ""5"", ""8437""]; Cumulative=[""564"", ""714"", ""764"", ""785"", ""795"", ""812"", ""812"", ""817"", ""9254""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
