"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"KIQ_U_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 150 YEARS",NA,NA
"KIQ_U_B","KIQ022","KIQ022","Ever told you had weak/failing kidneys","{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had weak or failing kidneys? Do not include kidney stones bladder infections or incontinence.","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""145"", ""5246"", ""2"", ""17"", ""1""]; Cumulative=[""145"", ""5391"", ""5393"", ""5410"", ""5411""]; Skip.to.Item=["""", ""KIQ042"", ""KIQ042"", ""KIQ042"", """"]"
"KIQ_U_B","KIQ025","KIQ025","Received dialysis in past 12 months","In the past 12 months {have you/has SP} received dialysis (either hemodialysis or peritoneal dialysis)?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""19"", ""126"", ""0"", ""0"", ""5266""]; Cumulative=[""19"", ""145"", ""145"", ""145"", ""5411""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_U_B","KIQ042","KIQ042","Leak urine during physical activities","Many people experience leakage of urine. The next few questions ask about urine leakage under different conditions. During the past 12 months {have/has SP} leaked or lost control of even a small amount of urine with an activity like coughing lift","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1183"", ""3761"", ""3"", ""6"", ""458""]; Cumulative=[""1183"", ""4944"", ""4947"", ""4953"", ""5411""]; Skip.to.Item=["""", ""KIQ044"", ""KIQ044"", ""KIQ044"", """"]"
"KIQ_U_B","KIQ043","KIQ043","How frequently does this occur","How frequently does this occur? Would {you/he/she} say this occurs...","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Every day,"", ""A few times a week,"", ""A few times a month, or"", ""A few times a year?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""271"", ""256"", ""301"", ""351"", ""0"", ""4"", ""4228""]; Cumulative=[""271"", ""527"", ""828"", ""1179"", ""1179"", ""1183"", ""5411""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_U_B","KIQ044","KIQ044","Urinated before reaching the toilet","During the past 12 months {have you/has SP} leaked or lost control of even a small amount of urine with an urge or pressure to urinate and {you/he/she} couldnt get to the toilet fast enough?`","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1025"", ""3919"", ""2"", ""7"", ""458""]; Cumulative=[""1025"", ""4944"", ""4946"", ""4953"", ""5411""]; Skip.to.Item=["""", ""KIQ046"", ""KIQ046"", ""KIQ046"", """"]"
"KIQ_U_B","KIQ045","KIQ045","Frequency with which this occurs","How frequently does this occur? Would {you/she/he} say this occurs...","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Every day,"", ""A few times a week,"", ""A few times a month, or"", ""A few times a year?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""210"", ""232"", ""279"", ""297"", ""0"", ""7"", ""4386""]; Cumulative=[""210"", ""442"", ""721"", ""1018"", ""1018"", ""1025"", ""5411""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_U_B","KIQ046","KIQ046","Leak urine during nonphysical activities","During the past 12 months {have you/has SP} leaked or lost control of even a small amount of urine without an activity like coughing lifting or exercise or an urge to urinate?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""471"", ""4474"", ""2"", ""6"", ""458""]; Cumulative=[""471"", ""4945"", ""4947"", ""4953"", ""5411""]; Skip.to.Item=["""", ""KIQ050"", ""KIQ050"", ""KIQ050"", """"]"
"KIQ_U_B","KIQ047","KIQ047","How frequently does this occur","How frequently does this occur? Would {you/she/he} say this occurs...","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""Every day,"", ""A few times a week,"", ""A few times a month, or"", ""A few times a year?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""166"", ""118"", ""87"", ""98"", ""0"", ""2"", ""4940""]; Cumulative=[""166"", ""284"", ""371"", ""469"", ""469"", ""471"", ""5411""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"KIQ_U_B","KIQ048","KIQ048",NA,NA,"Both males and females 20 YEARS - 150 YEARS",NA,NA
