"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"MCQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 120 YEARS",NA,NA
"MCQ","MCQ010","MCQ010","Ever been told you have asthma","Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1170"", ""8314"", ""0"", ""9"", ""0""]; Cumulative=[""1170"", ""9484"", ""9484"", ""9493"", ""9493""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ","MCQ020","MCQ020","Age when first had asthma","How old {were you/was SP} when {you were/s/he was} first told {he/she} had asthma?","Both males and females 1 YEARS - 19 YEARS",NA,"Code.or.Value=[""1 to 19"", ""85"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""85 years or older"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""648"", ""0"", ""0"", ""7"", ""8838""]; Cumulative=[""648"", ""648"", ""648"", ""655"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ030","MCQ030","Still have asthma","{Do you/Does SP} still have asthma?","Both males and females 1 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""415"", ""230"", ""0"", ""10"", ""8838""]; Cumulative=[""415"", ""645"", ""645"", ""655"", ""9493""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ","MCQ040","MCQ040","Had asthma attack in past year","During the past 12 months {have you/has SP} had an episode of asthma or an asthma attack?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""410"", ""520"", ""0"", ""0"", ""8563""]; Cumulative=[""410"", ""930"", ""930"", ""930"", ""9493""]; Skip.to.Item=["""", ""MCQ053"", ""MCQ053"", ""MCQ053"", """"]"
"MCQ","MCQ050","MCQ050","Emergency care visit for asthma/past yr","[During the past 12 months] {have you/has SP} had to visit an emergency room or urgent care center because of asthma?","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""145"", ""265"", ""0"", ""0"", ""9083""]; Cumulative=[""145"", ""410"", ""410"", ""410"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ053","MCQ053","Taking treatment for anemia/past 3 mos","During the past 3 months {have you/has SP} been on treatment for anemia sometimes called tired blood or low blood? [Include diet iron pills iron shots transfusions as treatment.]","Both males and females 1 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""277"", ""9210"", ""0"", ""6"", ""0""]; Cumulative=[""277"", ""9487"", ""9487"", ""9493"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ060","MCQ060","Told have attention deficit disorder?","Has a doctor or health professional ever told {you/SP} that {you/s/he/SP} had attention deficit disorder?","Both males and females 4 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""228"", ""3664"", ""2"", ""4"", ""5595""]; Cumulative=[""228"", ""3892"", ""3894"", ""3898"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ080","MCQ080","Doctor ever said you were overweight","Has a doctor or health professional ever told {you/SP} that {you were/s/he/SP was} overweight?","Both males and females 2 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""440"", ""3906"", ""0"", ""3"", ""5144""]; Cumulative=[""440"", ""4346"", ""4346"", ""4349"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ083","MCQ083","Ever told you have learning disability","Has a representative from a school or a health professional ever told {you/SP} that {s/he/SP} had a learning disability?","Both males and females 4 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""282"", ""2447"", ""0"", ""3"", ""6761""]; Cumulative=[""282"", ""2729"", ""2729"", ""2732"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ090","MCQ090","Ever had chickenpox","{Have you/Has SP} ever had chickenpox?","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2840"", ""642"", ""0"", ""44"", ""5967""]; Cumulative=[""2840"", ""3482"", ""3482"", ""3526"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ092","MCQ092","Ever receive blood transfusion","{Have you/Has SP} ever received a blood transfusion?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""694"", ""7638"", ""0"", ""75"", ""1086""]; Cumulative=[""694"", ""8332"", ""8332"", ""8407"", ""9493""]; Skip.to.Item=["""", ""MCQ100"", ""MCQ100"", ""MCQ100"", """"]"
"MCQ","MCD093","MCD093","Year receive blood transfusion","In what year did {you/SP} receive {your/his/her} first transfusion?","Both males and females 6 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Before 1972"", ""1972 - 1991"", ""1992 to present"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""217"", ""259"", ""199"", ""0"", ""19"", ""8799""]; Cumulative=[""217"", ""476"", ""675"", ""675"", ""694"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ100","MCQ100","Told have high blood pressure","Has a doctor or health professional ever told {SP} that {s/he} had hypertension also called high blood pressure?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6"", ""1982"", ""0"", ""1"", ""7504""]; Cumulative=[""6"", ""1988"", ""1988"", ""1989"", ""9493""]; Skip.to.Item=["""", ""MCQ120A"", ""MCQ120A"", ""MCQ120A"", """"]"
"MCQ","MCQ110","MCQ110","Taking medicine for high blood pressure","Because of {SPs} high blood pressure [hypertension] is {he/she} currently taking medicine?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""0"", ""6"", ""0"", ""0"", ""9487""]; Cumulative=[""0"", ""6"", ""6"", ""6"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ114","MCQ114","Ever tested for lead poisoning","Has {SP} ever been tested for lead poisoning?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""344"", ""677"", ""0"", ""63"", ""8409""]; Cumulative=[""344"", ""1021"", ""1021"", ""1084"", ""9493""]; Skip.to.Item=["""", ""MCQ120A"", ""MCQ120A"", ""MCQ120A"", """"]"
"MCQ","MCQ117Q","MCQ117Q","How long since lead poisoning test","How long has it been since {SP} was tested?","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1 to 18"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""337"", ""0"", ""7"", ""9149""]; Cumulative=[""337"", ""337"", ""344"", ""9493""]; Skip.to.Item=["""", ""MCQ120A"", ""MCQ120A"", """"]"
"MCQ","MCQ117U","MCQ117U","Months or years","Unit of measure","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Months"", ""Years"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""187"", ""150"", ""0"", ""0"", ""9156""]; Cumulative=[""187"", ""337"", ""337"", ""337"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ120A","MCQ120A","Had hay fever in past year","During the past 12 months {have you/has SP} had . . .hay fever?","Both males and females 1 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""439"", ""4140"", ""0"", ""33"", ""4881""]; Cumulative=[""439"", ""4579"", ""4579"", ""4612"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ120B","MCQ120B","Had 3 or more ear infections/past year","During the past 12 months {have you/has SP} had . . .3 or more ear infections?","Both males and females 1 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""306"", ""3136"", ""0"", ""4"", ""6047""]; Cumulative=[""306"", ""3442"", ""3442"", ""3446"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ120C","MCQ120C","Had frequent/severe headaches/past yr","During the past 12 months {have you/has SP} had . . .frequent or severe headaches including migraines?","Both males and females 4 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""745"", ""3148"", ""0"", ""5"", ""5595""]; Cumulative=[""745"", ""3893"", ""3893"", ""3898"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ120D","MCQ120D","Stuttering/Stammering in past year","During the past 12 months {have you/has SP} had . . .stuttering or stammering?","Both males and females 4 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""140"", ""2588"", ""0"", ""4"", ""6761""]; Cumulative=[""140"", ""2728"", ""2728"", ""2732"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ140","MCQ140","Trouble seeing even with glass/contacts","{Do you/Does SP} have trouble seeing even when wearing glasses or contact lenses if {you/he/she} wear{s} them?","Both males and females 2 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1489"", ""7724"", ""0"", ""17"", ""263""]; Cumulative=[""1489"", ""9213"", ""9213"", ""9230"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ147","MCQ147","Menstrual periods started yet?","Have {SPs} periods or menstrual cycles started yet?","Females only 8 YEARS - 11 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""33"", ""336"", ""0"", ""2"", ""9122""]; Cumulative=[""33"", ""369"", ""369"", ""371"", ""9493""]; Skip.to.Item=["""", ""MCQ150G"", ""MCQ150G"", ""MCQ150G"", """"]"
"MCQ","MCQ148","MCQ148","Age when menstrual periods started","How old was {SP} when her periods or menstrual cycles started?","Females only 8 YEARS - 11 YEARS",NA,"Code.or.Value=[""9 to 11"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""32"", ""0"", ""0"", ""9461""]; Cumulative=[""32"", ""32"", ""32"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ150G","MCQ150G","School days missed from injury/illness","During the past 12 months that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR} about how many days did {you/SP} miss school because of an illness or injury?","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Enter number"", ""Did not go to school"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3244"", ""275"", ""0"", ""7"", ""5967""]; Cumulative=[""3244"", ""3519"", ""3519"", ""3526"", ""9493""]; Skip.to.Item=["""", ""MCQ160A"", ""MCQ160A"", ""MCQ160A"", """"]"
"MCQ","MCQ150Q","MCQ150Q","# school days missed from injury/illness","During the past 12 months that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR} about how many days did {you/SP} miss school because of an illness or injury?","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""0 to 180"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3237"", ""0"", ""7"", ""6249""]; Cumulative=[""3237"", ""3237"", ""3244"", ""9493""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"MCQ","MCQ160A","MCQ160A","Doctor ever said you had arthritis","Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had arthritis?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1239"", ""3634"", ""0"", ""7"", ""4613""]; Cumulative=[""1239"", ""4873"", ""4873"", ""4880"", ""9493""]; Skip.to.Item=[""MCQ180A"", """", """", """", """"]"
"MCQ","MCQ160B","MCQ160B","Ever told had congestive heart failure","Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had congestive heart failure?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""167"", ""4689"", ""1"", ""23"", ""4613""]; Cumulative=[""167"", ""4856"", ""4857"", ""4880"", ""9493""]; Skip.to.Item=[""MCQ180B"", """", """", """", """"]"
"MCQ","MCQ160C","MCQ160C","Ever told you had coronary heart disease","Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had coronary heart disease?","Both males and females 20 YEARS - 120 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""203"", ""4644"", ""2"", ""31"", ""4613""]; Cumulative=[""203"", ""4847"", ""4849"", ""4880"", ""9493""]; Skip.to.Item=[""MCQ180C"", """", """", """", """"]"
