"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PAQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 2 YEARS - 150 YEARS",NA,NA
"PAQ","PAD020","PAD020","Walked or bicycled over past 30 days","The next series of questions are about physical activities that {you/SP} {have/has} done over the past 30 days. First I will ask about activities that are related to transportation. Then Ill ask about physical activities that {you/he/she} do at school or in {your/his/her} leisure time. Over the past 30 days {have/has} {you/SP} walked or bicycled as part of getting to and from work or school or to do errands?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Unable to do activity"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2188"", ""4792"", ""211"", ""5"", ""2"", ""1990""]; Cumulative=[""2188"", ""6980"", ""7191"", ""7196"", ""7198"", ""9188""]; Skip.to.Item=["""", ""PAQ100"", ""PAQ100"", ""PAQ100"", ""PAQ100"", """"]"
"PAQ","PAQ050Q","PAQ050Q","# times walked or bicycled","[Over the past 30 days] how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work or school or to do errands.] PROBE: How many times per day per week or per month did {you/s/he} do these activities?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 75"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2187"", ""0"", ""1"", ""7000""]; Cumulative=[""2187"", ""2187"", ""2188"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAQ050U","PAQ050U","Unit of measure (day/week/month)","UNIT OF MEASURE.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Day"", ""Week"", ""Month"", ""Refused"", ""Don't Know"", ""Missing""]; Count=[""614"", ""1036"", ""537"", ""0"", ""0"", ""7001""]; Cumulative=[""614"", ""1650"", ""2187"", ""2187"", ""2187"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAD080","PAD080","How long per day (minutes)","On those days when {you/SP} walked or bicycled about how long did {you/s/he} spend altogether doing this (minutes)?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 480"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2183"", ""0"", ""0"", ""7005""]; Cumulative=[""2183"", ""2183"", ""2183"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAQ100","PAQ100","Tasks around home/yard past 30 days","Over the past 30 days did {you/SP} do any tasks in or around {your/his/her} home or yard for at least 10 minutes that required moderate or greater physical effort? By moderate physical effort I mean tasks that caused light sweating or a slight to moder ate increase in {your/his/her} heart rate or breathing. [Such as raking leaves mowing the lawn or heavy cleaning.]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Unable to do activity"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2950"", ""2874"", ""212"", ""5"", ""1"", ""3146""]; Cumulative=[""2950"", ""5824"", ""6036"", ""6041"", ""6042"", ""9188""]; Skip.to.Item=["""", ""PAQ180"", ""PAQ180"", ""PAQ180"", ""PAQ180"", """"]"
"PAQ","PAD120","PAD120","# of times past 30 days","[Over the past 30 days] how often did {you/SP} do these tasks in or around {your/his/her} home or yard that is tasks requiring at least moderate effort? [Such as raking leaves mowing the lawn or heavy cleaning.] PROBE: How many times per day per week or per month did {you/s/he} do these activities?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 300"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2943"", ""0"", ""0"", ""6245""]; Cumulative=[""2943"", ""2943"", ""2943"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAD160","PAD160","How long each time (minutes)","About how long did {you/SP} do these tasks each time (minutes)?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 600"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2934"", ""0"", ""0"", ""6254""]; Cumulative=[""2934"", ""2934"", ""2934"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAQ180","PAQ180","Avg level of physical activity each day","Please tell me which of these four sentences best describes {your/SPs} usual daily activities? [Daily activities may include {your/his/her} work housework if {you are/s/he is} a homemaker going to and attending classes if {you are/s/he is} a student and what {you/s/he} normally {do/does} throughout a typical day if {you are/he/she is} a retiree or unemployed.] . . .","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""{you sit/he/she sits} during the day and {do/does} not walk about very much."", ""{you stand or walk/he/she stands or walks} about a lot during the day, but {do/does}not have to carry or lift things very often"", ""{you/he/she} lift(s) light load or {have/has} to climb stairs or hills often."", ""{you/he/she} {do/does} heavy work or {carry/carries} heavy loads."", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1574"", ""3119"", ""969"", ""367"", ""6"", ""7"", ""3146""]; Cumulative=[""1574"", ""4693"", ""5662"", ""6029"", ""6035"", ""6042"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAD200","PAD200","Vigorous activity over past 30 days","The next questions are about physical activities including exercise sports and physically active hobbies that {you/SP} may have done in {your/his/her} leisure time or at school over the past 30 days. First I will ask you about vigorous activities that cause heavy sweating or large increases in breathing or heart rate. Then I will ask you about moderate activities that cause only light sweating or a slight to moderate increase in breathing or heart rate. Over the past 30 days did {you/SP} do any vigorous activities for at least 10 minutes that caused heavy sweating or large increases in breathing or heart rate? Some examples are running lap swimming aerobics classes or fast bicycling.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Unable to do activity"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2654"", ""4244"", ""293"", ""5"", ""2"", ""1990""]; Cumulative=[""2654"", ""6898"", ""7191"", ""7196"", ""7198"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ","PAD320","PAD320","Moderate activity over past 30 days","[Over the past 30 days] did {you/SP} do moderate activities for at least 10 minutes that cause only light sweating or a slight to moderate increase in breathing or heart rate? Some examples are brisk walking bicycling for pleasure golf and dancing .","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Unable to do activity"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2908"", ""4031"", ""250"", ""6"", ""3"", ""1990""]; Cumulative=[""2908"", ""6939"", ""7189"", ""7195"", ""7198"", ""9188""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
