"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"PAQ_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 2 YEARS - 150 YEARS",NA,NA
"PAQ_I","PAQ605","PAQ605","Vigorous work activity","Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work. Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work household chores and yard work. Does {your/SPs} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads digging or construction work for at least 10 minutes continuously?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1366"", ""5596"", ""0"", ""4"", ""2289""]; Cumulative=[""1366"", ""6962"", ""6962"", ""6966"", ""9255""]; Skip.to.Item=["""", ""PAQ620"", ""PAQ620"", ""PAQ620"", """"]"
"PAQ_I","PAQ610","PAQ610","Number of days vigorous work","In a typical week on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1360"", ""0"", ""6"", ""7889""]; Cumulative=[""1360"", ""1360"", ""1366"", ""9255""]; Skip.to.Item=["""", ""PAQ620"", ""PAQ620"", """"]"
"PAQ_I","PAD615","PAD615","Minutes vigorous-intensity work","How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 840"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1346"", ""0"", ""4"", ""7905""]; Cumulative=[""1346"", ""1346"", ""1350"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ620","PAQ620","Moderate work activity","Does {your/SPs} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2598"", ""4361"", ""0"", ""6"", ""2290""]; Cumulative=[""2598"", ""6959"", ""6959"", ""6965"", ""9255""]; Skip.to.Item=["""", ""PAQ635"", ""PAQ635"", ""PAQ635"", """"]"
"PAQ_I","PAQ625","PAQ625","Number of days moderate work","In a typical week on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2593"", ""0"", ""5"", ""6657""]; Cumulative=[""2593"", ""2593"", ""2598"", ""9255""]; Skip.to.Item=["""", ""PAQ635"", ""PAQ635"", """"]"
"PAQ_I","PAD630","PAD630","Minutes moderate-intensity work","How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 990"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2572"", ""0"", ""11"", ""6672""]; Cumulative=[""2572"", ""2572"", ""2583"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ635","PAQ635","Walk or bicycle","The next questions exclude the physical activity at work that you have already mentioned. Now I would like to ask you about the usual way {you travel/SP travels} to and from places. For example to school for shopping to work. In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1786"", ""5178"", ""0"", ""1"", ""2290""]; Cumulative=[""1786"", ""6964"", ""6964"", ""6965"", ""9255""]; Skip.to.Item=["""", ""PAQ650"", ""PAQ650"", ""PAQ650"", """"]"
"PAQ_I","PAQ640","PAQ640","Number of days walk or bicycle","In a typical week on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1781"", ""0"", ""4"", ""7470""]; Cumulative=[""1781"", ""1781"", ""1785"", ""9255""]; Skip.to.Item=["""", ""PAQ650"", ""PAQ650"", """"]"
"PAQ_I","PAD645","PAD645","Minutes walk/bicycle for transportation","How much time {do you/does SP} spend walking or bicycling for travel on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 1200"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1769"", ""0"", ""7"", ""7479""]; Cumulative=[""1769"", ""1769"", ""1776"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ650","PAQ650","Vigorous recreational activities","The next questions exclude the work and transport activities that you have already mentioned. Now I would like to ask you about sports fitness and recreational activities. In a typical week {do you/does SP} do any vigorous-intensity sports fitness or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2193"", ""4768"", ""0"", ""2"", ""2292""]; Cumulative=[""2193"", ""6961"", ""6961"", ""6963"", ""9255""]; Skip.to.Item=["""", ""PAQ665"", ""PAQ665"", ""PAQ665"", """"]"
"PAQ_I","PAQ655","PAQ655","Days vigorous recreational activities","In a typical week on how many days {do you/does SP} do vigorous-intensity sports fitness or recreational activities?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2193"", ""0"", ""0"", ""7062""]; Cumulative=[""2193"", ""2193"", ""2193"", ""9255""]; Skip.to.Item=["""", ""PAQ665"", ""PAQ665"", """"]"
"PAQ_I","PAD660","PAD660","Minutes vigorous recreational activities","How much time {do you/does SP} spend doing vigorous-intensity sports fitness or recreational activities on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 480"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2186"", ""0"", ""3"", ""7066""]; Cumulative=[""2186"", ""2186"", ""2189"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ665","PAQ665","Moderate recreational activities","In a typical week {do you/does SP} do any moderate-intensity sports fitness or recreational activities that cause a small increase in breathing or heart rate such as brisk walking bicycling swimming or volleyball for at least 10 minutes continuously?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2956"", ""4003"", ""0"", ""4"", ""2292""]; Cumulative=[""2956"", ""6959"", ""6959"", ""6963"", ""9255""]; Skip.to.Item=["""", ""PAD680"", ""PAD680"", ""PAD680"", """"]"
"PAQ_I","PAQ670","PAQ670","Days moderate recreational activities","In a typical week on how many days {do you/does SP} do moderate-intensity sports fitness or recreational activities?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 7"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2952"", ""0"", ""4"", ""6299""]; Cumulative=[""2952"", ""2952"", ""2956"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAD675","PAD675","Minutes moderate recreational activities","How much time {do you/does SP} spend doing moderate-intensity sports fitness or recreational activities on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""10 to 600"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2940"", ""0"", ""6"", ""6309""]; Cumulative=[""2940"", ""2940"", ""2946"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAD680","PAD680","Minutes sedentary activity","The following question is about sitting at school at home getting to and from places or with friends including time spent sitting at a desk traveling in a car or bus reading playing cards watching television or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1380"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6895"", ""3"", ""53"", ""2304""]; Cumulative=[""6895"", ""6898"", ""6951"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ706","PAQ706","Days physically active at least 60 min.","Id like to ask you some questions about {your/SPs} activities. During the past 7 days on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.","Both males and females 2 YEARS - 15 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""0 days"", ""1 day"", ""2 days"", ""3 days"", ""4 days"", ""5 days"", ""6 days"", ""7 days"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""163"", ""123"", ""162"", ""225"", ""186"", ""394"", ""137"", ""1486"", ""1"", ""8"", ""6370""]; Cumulative=[""163"", ""286"", ""448"", ""673"", ""859"", ""1253"", ""1390"", ""2876"", ""2877"", ""2885"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ710","PAQ710","Hours watch TV or videos past 30 days","Now I will ask you first about TV watching and then about computer use. Over the past 30 days on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", ""5"", ""8"", ""77"", ""99"", ""."", ""0"", ""1"", ""2"", ""3""]; Value.Description=[""4 hours, or"", ""5 hours or more, or"", ""{You don't/SP does not} watch TV or videos"", ""Refused"", ""Don't know"", ""Missing"", ""Less than 1 hour,"", ""1 hour,"", ""2 hours,"", ""3 hours,""]; Count=[""854"", ""1286"", ""369"", ""1"", ""16"", ""46"", ""1173"", ""1637"", ""2400"", ""1473""]; Cumulative=[""7537"", ""8823"", ""9192"", ""9193"", ""9209"", ""9255"", ""1173"", ""2810"", ""5210"", ""6683""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ715","PAQ715","Hours use computer past 30 days","Over the past 30 days on average how many hours per day did {you/SP} use a computer or play computer games outside of school? Include Playstation Nintendo DS or other portable video games Would you say . . .","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""77"", ""99"", "".""]; Value.Description=[""Less than 1 hour,"", ""1 hour,"", ""2 hours,"", ""3 hours,"", ""4 hours, or"", ""5 hours or more, or"", ""{you do not/SP does not} use a computer outside of school"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2001"", ""1530"", ""1316"", ""574"", ""350"", ""588"", ""2844"", ""0"", ""6"", ""46""]; Cumulative=[""2001"", ""3531"", ""4847"", ""5421"", ""5771"", ""6359"", ""9203"", ""9203"", ""9209"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ722","PAQ722","Any physical activities past 7 days","For the next questions think about the sports lessons or physical activities {you/SP} may have done during the past 7 days? Please do not include things {you/he/she} did during the school day like PE or gym class. Did {you/SP} do any physical activities during the past 7 days?","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2120"", ""468"", ""0"", ""3"", ""6664""]; Cumulative=[""2120"", ""2588"", ""2588"", ""2591"", ""9255""]; Skip.to.Item=["""", ""PAQ731"", ""PAQ731"", ""PAQ731"", """"]"
"PAQ_I","PAQ724a","PAQ724a","Physical activity aerobics","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""AEROBICS/WEIGHT TRAINING/GYM/EXERCISE"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""113"", ""0"", ""1"", ""9141""]; Cumulative=[""113"", ""113"", ""114"", ""9255""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PAQ_I","PAQ724b","PAQ724b","Physical activity baseball","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""BASEBALL/SOFTBALL/CATCH/PITCHING"", ""Missing""]; Count=[""233"", ""9022""]; Cumulative=[""233"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724c","PAQ724c","Physical activity basketball","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""BASKETBALL"", ""Missing""]; Count=[""437"", ""8818""]; Cumulative=[""437"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724d","PAQ724d","Physical activity bike riding","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""BIKE RIDING/DIRT BIKING/MOUNTAIN BIKING"", ""Missing""]; Count=[""590"", ""8665""]; Cumulative=[""590"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724e","PAQ724e","Physical activity cheerleading","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""5"", "".""]; Value.Description=[""CHEERLEADING"", ""Missing""]; Count=[""35"", ""9220""]; Cumulative=[""35"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724f","PAQ724f","Physical activity dance","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""6"", "".""]; Value.Description=[""DANCE"", ""Missing""]; Count=[""257"", ""8998""]; Cumulative=[""257"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724g","PAQ724g","Physical activity field hockey","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""7"", "".""]; Value.Description=[""FIELD HOCKEY/STREET HOCKEY/ROLLER HOCKEY"", ""Missing""]; Count=[""5"", ""9250""]; Cumulative=[""5"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724h","PAQ724h","Physical activity football","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""8"", "".""]; Value.Description=[""FOOTBALL"", ""Missing""]; Count=[""282"", ""8973""]; Cumulative=[""282"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724i","PAQ724i","Physical activity golf","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""9"", "".""]; Value.Description=[""GOLF"", ""Missing""]; Count=[""16"", ""9239""]; Cumulative=[""16"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724j","PAQ724j","Physical activity gymnastics","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""10"", "".""]; Value.Description=[""GYMNASTICS/TUMBLING"", ""Missing""]; Count=[""138"", ""9117""]; Cumulative=[""138"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724k","PAQ724k","Physical activity hiking","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""HIKING"", ""Missing""]; Count=[""66"", ""9189""]; Cumulative=[""66"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724l","PAQ724l","Physical activity ice hockey","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""ICE HOCKEY"", ""Missing""]; Count=[""4"", ""9251""]; Cumulative=[""4"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724m","PAQ724m","Physical activity ice skating","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""13"", "".""]; Value.Description=[""ICE SKATING"", ""Missing""]; Count=[""3"", ""9252""]; Cumulative=[""3"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724n","PAQ724n","Physical activity jumping rope","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""14"", "".""]; Value.Description=[""JUMPING ROPE"", ""Missing""]; Count=[""100"", ""9155""]; Cumulative=[""100"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724o","PAQ724o","Physical activity lacrosse","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""LACROSSE"", ""Missing""]; Count=[""8"", ""9247""]; Cumulative=[""8"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724p","PAQ724p","Physical activity martial arts","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""MARTIAL ARTS (KARATE/TAE KWON DO/JUDO, ETC.)"", ""Missing""]; Count=[""51"", ""9204""]; Cumulative=[""51"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724q","PAQ724q","Physical activity playing games","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""PLAYING GAMES (PROBE: WERE YOU PHYSICALLY ACTIVE? IF NO, DON'T COUNT)"", ""Missing""]; Count=[""315"", ""8940""]; Cumulative=[""315"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724r","PAQ724r","Physical activity roller blading","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""18"", "".""]; Value.Description=[""ROLLER BLADING/ROLLER SKATING"", ""Missing""]; Count=[""57"", ""9198""]; Cumulative=[""57"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724s","PAQ724s","Physical activity running","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""19"", "".""]; Value.Description=[""RUNNING/JOGGING"", ""Missing""]; Count=[""1015"", ""8240""]; Cumulative=[""1015"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724t","PAQ724t","Physical activity scooter riding","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""20"", "".""]; Value.Description=[""SCOOTER RIDING (PROBE: DOES IT HAVE A MOTOR? IF YES, DON'T COUNT)"", ""Missing""]; Count=[""166"", ""9089""]; Cumulative=[""166"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724u","PAQ724u","Physical activity skateboarding","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""21"", "".""]; Value.Description=[""SKATEBOARDING"", ""Missing""]; Count=[""62"", ""9193""]; Cumulative=[""62"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
"PAQ_I","PAQ724v","PAQ724v","Physical activity soccer","What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?}","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""22"", "".""]; Value.Description=[""SOCCER"", ""Missing""]; Count=[""368"", ""8887""]; Cumulative=[""368"", ""9255""]; Skip.to.Item=[""NA"", ""NA""]"
