"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PFQ_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"PFQ_H","PFQ020","PFQ020","Crawl walk run play limitations","{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk run or play} {walk or run}?","Both males and females 3 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""128"", ""3332"", ""0"", ""1"", ""5769""]; Cumulative=[""128"", ""3460"", ""3460"", ""3461"", ""9230""]; Skip.to.Item=["""", ""PFQ035a"", ""PFQ035a"", ""PFQ035a"", """"]"
"PFQ_H","PFQ030","PFQ030","Long term impairment/health problem","Is this an impairment or health problem that has lasted or is expected to last 12 months or longer?","Both males and females 3 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""108"", ""19"", ""0"", ""1"", ""9102""]; Cumulative=[""108"", ""127"", ""127"", ""128"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PFQ_H","PFQ032","PFQ032",NA,NA,"Both males and females 3 YEARS - 19 YEARS",NA,NA
"PFQ_H","PFQ033","PFQ033","Impairment requiring special equipment","{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment such as a brace a wheelchair or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?","Both males and females 3 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""23"", ""82"", ""0"", ""0"", ""9125""]; Cumulative=[""23"", ""105"", ""105"", ""105"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PFQ_H","PFQ035A","PFQ035A",NA,NA,"Both males and females 3 YEARS - 19 YEARS",NA,NA
"PFQ_H","PFQ041","PFQ041","Receive Special Ed or Early Intervention","Does {SP} receive Special Education or Early Intervention Services?","Both males and females 3 YEARS - 17 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""321"", ""2792"", ""0"", ""4"", ""6113""]; Cumulative=[""321"", ""3113"", ""3113"", ""3117"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PFQ_H","PFQ049","PFQ049","Limitations keeping you from working","The next set of questions is about limitations caused by any long-term physical mental or emotional problem or illness. Please do not include temporary conditions such as a cold [or pregnancy]. Does a physical mental or emotional problem now keep {you/SP} from working at a job or business?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""868"", ""4898"", ""1"", ""2"", ""3461""]; Cumulative=[""868"", ""5766"", ""5767"", ""5769"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PFQ_H","PFQ051","PFQ051","Limited in amount of work you can do","{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical mental or emotional problem?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1250"", ""4515"", ""0"", ""4"", ""3461""]; Cumulative=[""1250"", ""5765"", ""5765"", ""5769"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PFQ_H","PFQ054","PFQ054","Need special equipment to walk","Because of a health problem {do you/does SP} have difficulty walking without using any special equipment?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""592"", ""5177"", ""0"", ""0"", ""3461""]; Cumulative=[""592"", ""5769"", ""5769"", ""5769"", ""9230""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
