"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_HIQ","HIQ011","HIQ011","Covered by health insurance","{Are you/Is SP} covered by health insurance or some other kind of health care plan? [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""13671"", ""1852"", ""8"", ""29"", ""0""]; Cumulative=[""13671"", ""15523"", ""15531"", ""15560"", ""15560""]; Skip.to.Item=["""", ""HID259"", ""HID259"", ""HID259"", """"]"
"P_HIQ","HIQ032A","HIQ032A","Covered by private insurance","{Are you/Is SP} covered by private insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""Covered by private insurance"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6978"", ""4"", ""121"", ""8457""]; Cumulative=[""6978"", ""6982"", ""7103"", ""15560""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"P_HIQ","HIQ032B","HIQ032B","Covered by Medicare","{Are you/Is SP} covered by Medicare?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Covered by Medicare"", ""Missing""]; Count=[""2592"", ""12968""]; Cumulative=[""2592"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032C","HIQ032C","Covered by Medi-Gap","{Are you/Is SP} covered by Medi-Gap?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""Covered by Medi-Gap"", ""Missing""]; Count=[""98"", ""15462""]; Cumulative=[""98"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032D","HIQ032D","Covered by Medicaid","{Are you/Is SP} covered by Medicaid?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""Covered by Medicaid"", ""Missing""]; Count=[""4179"", ""11381""]; Cumulative=[""4179"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032E","HIQ032E","Covered by CHIP","{Are you/Is SP} covered by CHIP (Childrens Health Insurance Program)?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5"", "".""]; Value.Description=[""Covered by CHIP"", ""Missing""]; Count=[""171"", ""15389""]; Cumulative=[""171"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032H","HIQ032H","Covered by state-sponsored health plan","{Are you/Is SP} covered by state-sponsored health plan?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""8"", "".""]; Value.Description=[""Covered by state-sponsored health plan"", ""Missing""]; Count=[""937"", ""14623""]; Cumulative=[""937"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032I","HIQ032I","Covered by other government insurance","{Are you/Is SP} covered by other government insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""9"", "".""]; Value.Description=[""Covered by other government insurance"", ""Missing""]; Count=[""1008"", ""14552""]; Cumulative=[""1008"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ032J","HIQ032J","Not covered by any insurance","{Are you/Is SP} NOT covered by any insurance?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", "".""]; Value.Description=[""No coverage of any type"", ""Missing""]; Count=[""2"", ""15558""]; Cumulative=[""2"", ""15560""]; Skip.to.Item=[""NA"", ""NA""]"
"P_HIQ","HIQ105","HIQ105","Insurance card available or not","Insurance card available or not.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""1878"", ""70"", ""13612""]; Cumulative=[""1878"", ""1948"", ""15560""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_HIQ","HIQ210","HIQ210","Time when no insurance in past year?","In the past 12 months was there any time when {you/SP} did not have any health insurance coverage?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""964"", ""12704"", ""2"", ""25"", ""1865""]; Cumulative=[""964"", ""13668"", ""13670"", ""13695"", ""15560""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_HIQ","HIQ260","HIQ260","Have Medicare?","{Do you/Does SP} have Medicare?","Both males and females 65 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""135"", ""128"", ""4"", ""7"", ""15286""]; Cumulative=[""135"", ""263"", ""267"", ""274"", ""15560""]; Skip.to.Item=["""", ""HIQ269"", ""HIQ269"", ""HIQ269"", """"]"
"P_HIQ","HIQ270","HIQ270","Do plans cover prescriptions?","{Does this plan/Do any of these plans} cover any part of the cost of prescriptions?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""12771"", ""731"", ""5"", ""188"", ""1865""]; Cumulative=[""12771"", ""13502"", ""13507"", ""13695"", ""15560""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_HIQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
