"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_RXQ_RX","RXDCOUNT","RXDCOUNT","Number of prescription medicines taken","The number of prescription medicines reported.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 22"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""24246"", ""8716""]; Cumulative=[""24246"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDDAYS","RXDDAYS","Number of days taken medicine","For how long have you been using or taking {PRODUCT NAME}?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 21900"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""23532"", ""4"", ""495"", ""8931""]; Cumulative=[""23532"", ""23536"", ""24031"", ""32962""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"P_RXQ_RX","RXDDRGID","RXDDRGID","Generic drug code","Generic drug code.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""Generic drug code"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""24024"", ""8938""]; Cumulative=[""24024"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDDRUG","RXDDRUG","Generic drug name","Generic drug name.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""Generic drug name"", ""55555"", ""77777"", ""99999"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Unknown"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""24024"", ""20"", ""46"", ""156"", ""8716""]; Cumulative=[""24024"", ""24044"", ""24090"", ""24246"", ""32962""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_RXQ_RX","RXDRSC1","RXDRSC1","ICD-10-CM code 1","ICD-10-CM code 1.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 1"", ""55555"", ""77777"", ""99999"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Unknown"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""23100"", ""145"", ""5"", ""784"", ""8928""]; Cumulative=[""23100"", ""23245"", ""23250"", ""24034"", ""32962""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_RXQ_RX","RXDRSC2","RXDRSC2","ICD-10-CM code 2","ICD-10-CM code 2.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 2"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""1855"", ""31107""]; Cumulative=[""1855"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDRSC3","RXDRSC3","ICD-10-CM code 3","ICD-10-CM code 3.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 3"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""352"", ""32610""]; Cumulative=[""352"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDRSD1","RXDRSD1","ICD-10-CM code 1 description","ICD-10-CM code 1 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 1 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""23100"", ""9862""]; Cumulative=[""23100"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDRSD2","RXDRSD2","ICD-10-CM code 2 description","ICD-10-CM code 2 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 2 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""1855"", ""31107""]; Cumulative=[""1855"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDRSD3","RXDRSD3","ICD-10-CM code 3 description","ICD-10-CM code 3 description.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""ICD-10-CM code 3 description"", ""< blank >""]; Value.Description=[""Value was recorded"", ""Missing""]; Count=[""352"", ""32610""]; Cumulative=[""352"", ""32962""]; Skip.to.Item=[""NA"", ""NA""]"
"P_RXQ_RX","RXDUSE","RXDUSE","Taken prescription medicine past month","In the past 30 days have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""24246"", ""8701"", ""7"", ""8"", ""0""]; Cumulative=[""24246"", ""32947"", ""32954"", ""32962"", ""32962""]; Skip.to.Item=["""", ""End of Section"", ""End of Section"", ""End of Section"", """"]"
"P_RXQ_RX","RXQSEEN","RXQSEEN","Medicine container seen by interviewer","Was prescription container seen by interviewer?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Yes"", ""No"", ""Only pharmacy print out seen"", ""Missing""]; Count=[""21138"", ""1766"", ""1133"", ""8925""]; Cumulative=[""21138"", ""22904"", ""24037"", ""32962""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"P_RXQ_RX","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
