"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SMQRTU_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SMQRTU_I","SMQ681","SMQ681","Smoked tobacco last 5 days?","The following questions ask about use of tobacco products in the past 5 days. During the past 5 days including today did you smoke cigarettes pipes cigars little cigars or cigarillos water pipes hookahs or e-cigarettes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1184"", ""4973"", ""2"", ""1"", ""584""]; Cumulative=[""1184"", ""6157"", ""6159"", ""6160"", ""6744""]; Skip.to.Item=["""", ""SMQ851"", ""SMQ851"", ""SMQ851"", """"]"
"SMQRTU_I","SMQ690A","SMQ690A","Used last 5 days - Cigarettes","Which of these products did {you/he/she} use?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""77"", ""99"", "".""]; Value.Description=[""Cigarettes"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""987"", ""0"", ""0"", ""5757""]; Cumulative=[""987"", ""987"", ""987"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ710","SMQ710","# days smoked cigarettes last 5 days","During the past 5 days including today on how many days did {you/he/she} smoke cigarettes?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 5"", ""7"", ""9"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""987"", ""0"", ""0"", ""5757""]; Cumulative=[""987"", ""987"", ""987"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ720","SMQ720","# cigarettes smoked per day","During the past 5 days including today on the days {you/he/she} smoked how many cigarettes did {you/he/she} smoke each day?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 60"", ""95"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""95 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""986"", ""1"", ""0"", ""0"", ""5757""]; Cumulative=[""986"", ""987"", ""987"", ""987"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ725","SMQ725","When did resp. smoke last cigarette?","When did {you/he/she} smoke {your/his/her} last cigarette? Was it...","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Today"", ""Yesterday"", ""3 to 5 days ago"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""722"", ""207"", ""58"", ""0"", ""0"", ""5757""]; Cumulative=[""722"", ""929"", ""987"", ""987"", ""987"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ690B","SMQ690B","Used last 5 days - Pipes","Which of these products did {you/he/she} use?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""Pipes"", ""Missing""]; Count=[""6"", ""6738""]; Cumulative=[""6"", ""6744""]; Skip.to.Item=[""NA"", ""NA""]"
"SMQRTU_I","SMQ740","SMQ740","# days smoked pipe over last 5 days","During the past 5 days including today on how many days did {you/he/she} smoke a pipe?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 5"", ""7"", ""9"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6"", ""0"", ""0"", ""6738""]; Cumulative=[""6"", ""6"", ""6"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ690C","SMQ690C","Used last 5 days - Cigars","Which of these products did {you/he/she} use?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""Cigars or little cigars or cigarilllos"", ""Missing""]; Count=[""169"", ""6575""]; Cumulative=[""169"", ""6744""]; Skip.to.Item=[""NA"", ""NA""]"
"SMQRTU_I","SMQ770","SMQ770","# days smoked cigars over last 5 days","During the past 5 days including today on how many days did {you/he/she} smoke cigars or little cigars or cigarillos?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 5"", ""7"", ""9"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""169"", ""0"", ""0"", ""6575""]; Cumulative=[""169"", ""169"", ""169"", ""6744""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SMQRTU_I","SMQ690G","SMQ690G","Used last 5 days - Hookah water pipes","Which of these products did {you/he/she} use?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""7"", "".""]; Value.Description=[""Water pipes or Hookahs"", ""Missing""]; Count=[""38"", ""6706""]; Cumulative=[""38"", ""6744""]; Skip.to.Item=[""NA"", ""NA""]"
