"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 69 YEARS",NA,NA
"SXQ_E","SXAISC","SXAISC","Interview Status Code","Interview Status Code","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""4118"", ""6"", ""501"", ""0""]; Cumulative=[""4118"", ""4124"", ""4625"", ""4625""]; Skip.to.Item=["""", """", ""End of Section"", """"]"
"SXQ_E","SXQ021","SXQ021","Ever had vaginal anal or oral sex","The next set of questions is about your sexual behavior. By sex we mean vaginal anal or oral sex. Please remember that your answers are strictly confidential. Have you ever had vaginal anal or oral sex?","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3676"", ""429"", ""12"", ""7"", ""501""]; Cumulative=[""3676"", ""4105"", ""4117"", ""4124"", ""4625""]; Skip.to.Item=["""", ""SXQ280"", ""SXQ280"", ""SXQ280"", """"]"
"SXQ_E","SXD031","SXD031","How old when first had sex","When you first had vaginal anal or oral sex how old were you?","Both males and females 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""10 to 60"", ""9"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""9 years or younger"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3613"", ""47"", ""8"", ""6"", ""951""]; Cumulative=[""3613"", ""3660"", ""3668"", ""3674"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXQ101","SXQ101","#male sex partners/lifetime","In your lifetime with how many males have you had vaginal anal or oral sex?","Females only 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""0 to 900"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1919"", ""23"", ""5"", ""2678""]; Cumulative=[""1919"", ""1942"", ""1947"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXQ110","SXQ110",NA,NA,"Females only 20 YEARS - 59 YEARS",NA,NA
"SXQ_E","SXQ350","SXQ350","#male oral sex partners/lifetime","With how many of these males have you had only oral sex?","Females only 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 700"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1533"", ""3"", ""5"", ""3084""]; Cumulative=[""1533"", ""1536"", ""1541"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXQ130","SXQ130","#female sex partners/lifetime","In your lifetime with how many females have you had sex?","Females only 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 100"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1559"", ""7"", ""5"", ""3054""]; Cumulative=[""1559"", ""1566"", ""1571"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXD171","SXD171","#female sex partners/lifetime","In your lifetime with how many females have you had vaginal anal or oral sex?","Males only 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""0 to 1236"", ""2000"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""2000 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1691"", ""4"", ""11"", ""19"", ""2900""]; Cumulative=[""1691"", ""1695"", ""1706"", ""1725"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXQ390","SXQ390",NA,NA,"Males only 20 YEARS - 59 YEARS",NA,NA
"SXQ_E","SXQ400","SXQ400","#female oral sex partners/lifetime","With how many of these females have you had only oral sex?","Males only 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 9999"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1346"", ""5"", ""1"", ""3273""]; Cumulative=[""1346"", ""1351"", ""1352"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_E","SXQ410","SXQ410","#male sex partners/lifetime","In your lifetime with how many males have you had anal or oral sex?","Males only 20 YEARS - 69 YEARS",NA,"Code.or.Value=[""0 to 2000"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1713"", ""7"", ""5"", ""2900""]; Cumulative=[""1713"", ""1720"", ""1725"", ""4625""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
