"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD021","SXD021","Ever had vaginal anal or oral sex","Ever had vaginal anal or oral sex.","Both males and females 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4280"", ""243"", ""3"", ""0"", ""531""]; Cumulative=[""4280"", ""4523"", ""4526"", ""4526"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ800","SXQ800","Ever had vaginal sex with a woman","Have you ever had vaginal sex also called sexual intercourse with a woman? This means your penis in a womans vagina.","Males only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2000"", ""194"", ""4"", ""0"", ""2859""]; Cumulative=[""2000"", ""2194"", ""2198"", ""2198"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ803","SXQ803","Ever performed oral sex on a woman","Have you ever performed oral sex on a woman? This means putting your mouth on a womans vagina or genitals.","Males only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1726"", ""461"", ""7"", ""4"", ""2859""]; Cumulative=[""1726"", ""2187"", ""2194"", ""2198"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ806","SXQ806","Ever had anal sex with a woman","Have you ever had anal sex with a woman? Anal sex means contact between your penis and a womans anus or butt.","Males only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""846"", ""1342"", ""5"", ""5"", ""2859""]; Cumulative=[""846"", ""2188"", ""2193"", ""2198"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ809","SXQ809","Ever had any sex with a man: anal oral","Have you ever had any kind of sex with a man including oral or anal?","Males only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""116"", ""2076"", ""5"", ""1"", ""2859""]; Cumulative=[""116"", ""2192"", ""2197"", ""2198"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD862","SXD862",NA,NA,"Males only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ700","SXQ700","Ever had vaginal sex with a man","Have you ever had vaginal sex also called sexual intercourse with a man? This means a mans penis in your vagina.","Females only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2191"", ""138"", ""8"", ""2"", ""2718""]; Cumulative=[""2191"", ""2329"", ""2337"", ""2339"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ703","SXQ703","Ever performed oral sex on a man","Have you ever performed oral sex on a man? This means putting your mouth on a mans penis or genitals.","Females only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1753"", ""572"", ""13"", ""0"", ""2719""]; Cumulative=[""1753"", ""2325"", ""2338"", ""2338"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ706","SXQ706","Ever had anal sex with a man","Have you ever had anal sex? This means contact between a mans penis and your anus or butt.","Females only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""782"", ""1541"", ""11"", ""4"", ""2719""]; Cumulative=[""782"", ""2323"", ""2334"", ""2338"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
