"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"VIQ","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 50 YEARS - 150 YEARS",NA,NA
"VIQ","VIQ030","VIQ030","General condition of eyesight","Next I have general questions about {your/SPs} vision. At the present time would you say {your/SPs} eyesight with glasses or contact lenses if {you/s/he} wear them is . . .","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Excellent,"", ""Good,"", ""Fair,"", ""Poor, or"", ""Very poor?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""481"", ""1101"", ""559"", ""166"", ""67"", ""3"", ""4"", ""39""]; Cumulative=[""481"", ""1582"", ""2141"", ""2307"", ""2374"", ""2377"", ""2381"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ040","VIQ040","Time worrying about eyesight","How much of the time {do you/does SP} worry about {your/his/her} eyesight? Would you say . . .","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""None of the time,"", ""A little of the time,"", ""Some of the time,"", ""Most of the time, or"", ""All of the time?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1298"", ""477"", ""380"", ""135"", ""119"", ""3"", ""6"", ""2""]; Cumulative=[""1298"", ""1775"", ""2155"", ""2290"", ""2409"", ""2412"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ050A","VIQ050A","Difficulty reading ordinary newsprint","The next questions are about how much difficulty if any {you have/SP has} doing certain activities such as reading ordinary newsprint or going down steps. If {you/s/he} usually wear{s} glasses or contact lenses to do these activities please rate {you r/his/her} ability to do them while wearing {your/his/her} glasses or contacts. How much difficulty {do you/does SP} have . . .reading ordinary print in newspapers?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1662"", ""378"", ""144"", ""81"", ""82"", ""67"", ""3"", ""1"", ""2""]; Cumulative=[""1662"", ""2040"", ""2184"", ""2265"", ""2347"", ""2414"", ""2417"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ050B","VIQ050B","Difficulty with up close work or chores","How much difficulty {do you/does SP} have . . .doing work or hobbies that require {you/him/her} to see well up close such as cooking sewing fixing things around the house or using hand tools?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1786"", ""319"", ""127"", ""73"", ""52"", ""57"", ""3"", ""1"", ""2""]; Cumulative=[""1786"", ""2105"", ""2232"", ""2305"", ""2357"", ""2414"", ""2417"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ050C","VIQ050C","Difficulty seeing steps/curbs-dim light","How much difficulty {do you/does SP} have . . .going down steps stairs or curbs in dim light or at night?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1670"", ""353"", ""141"", ""94"", ""50"", ""101"", ""3"", ""6"", ""2""]; Cumulative=[""1670"", ""2023"", ""2164"", ""2258"", ""2308"", ""2409"", ""2412"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ050D","VIQ050D","Difficulty noticing objects to side","How much difficulty {do you/does SP} have . . .noticing objects off to the side while {you are/s/he is} walking?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1956"", ""243"", ""82"", ""58"", ""33"", ""34"", ""3"", ""9"", ""2""]; Cumulative=[""1956"", ""2199"", ""2281"", ""2339"", ""2372"", ""2406"", ""2409"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ050E","VIQ050E","Difficulty findng object on crowdedshelf","How much difficulty {do you/does SP} have . . .finding something on a crowded shelf?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1926"", ""252"", ""97"", ""61"", ""41"", ""32"", ""3"", ""6"", ""2""]; Cumulative=[""1926"", ""2178"", ""2275"", ""2336"", ""2377"", ""2409"", ""2412"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ055","VIQ055","Difficulty drivng daytime-familiar place","How much difficulty {do you/does SP} you have driving during the daytime in familiar places?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""77"", ""99"", "".""]; Value.Description=[""No difficulty"", ""A little difficulty"", ""Moderate difficulty"", ""Extreme difficulty"", ""Unable to do because of eyesight"", ""Does not do this for other reasons"", ""Never drove"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1691"", ""66"", ""19"", ""5"", ""76"", ""238"", ""319"", ""3"", ""1"", ""2""]; Cumulative=[""1691"", ""1757"", ""1776"", ""1781"", ""1857"", ""2095"", ""2414"", ""2417"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ060","VIQ060","Vision limits how long can do activities","How limited {are you/is SP} in how long {you/s/he} can work or do other daily activities such as housework child care school or community activities because of {your/his/her} vision? Would you say {you are/s/he is} limited . . .","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""None of the time,"", ""A little of the time,"", ""Some of the time,"", ""Most of the time, or"", ""All of the time?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1862"", ""250"", ""135"", ""70"", ""94"", ""3"", ""4"", ""2""]; Cumulative=[""1862"", ""2112"", ""2247"", ""2317"", ""2411"", ""2414"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"VIQ","VIQ070","VIQ070","Ever had a cataract operation","{Have you/Has SP} ever had a cataract operation?","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""460"", ""1950"", ""3"", ""5"", ""2""]; Cumulative=[""460"", ""2410"", ""2413"", ""2418"", ""2420""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
