"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"WHQMEC_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 15 YEARS",NA,NA
"WHQMEC_G","WHQ030M","WHQ030M","How do you consider your weight","Do you consider yourself now to be . . .","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""fat or overweight,"", ""too thin, or"", ""about the right weight?"", ""refused"", ""don't know"", ""Missing""]; Count=[""236"", ""122"", ""1037"", ""0"", ""1"", ""64""]; Cumulative=[""236"", ""358"", ""1395"", ""1395"", ""1396"", ""1460""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"WHQMEC_G","WHQ500","WHQ500","Trying to do about weight","Which of the following are you trying to do about your weight:","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""7"", ""9"", "".""]; Value.Description=[""lose weight,"", ""gain weight,"", ""stay the same weight, or"", ""not trying to do anything about your weight?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""517"", ""169"", ""397"", ""312"", ""0"", ""0"", ""65""]; Cumulative=[""517"", ""686"", ""1083"", ""1395"", ""1395"", ""1395"", ""1460""]; Skip.to.Item=["""", ""WHQ520"", ""WHQ520"", ""WHQ520"", ""WHQ520"", ""WHQ520"", """"]"
"WHQMEC_G","WHQ510A","WHQ510A","Want to look better","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""I want to look better"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""180"", ""1"", ""0"", ""1279""]; Cumulative=[""180"", ""181"", ""181"", ""1460""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQMEC_G","WHQ510B","WHQ510B","Want to be healthier","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""I want to be healthier"", ""Missing""]; Count=[""306"", ""1154""]; Cumulative=[""306"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510C","WHQ510C","Want to be better at sports","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""I want to be better at sports and other physical activities"", ""Missing""]; Count=[""184"", ""1276""]; Cumulative=[""184"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510D","WHQ510D","Get teased about my weight","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""13"", "".""]; Value.Description=[""I get teased about my weight"", ""Missing""]; Count=[""52"", ""1408""]; Cumulative=[""52"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510E","WHQ510E","Think my clothes will fit better","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""14"", "".""]; Value.Description=[""I think my clothes will fit better"", ""Missing""]; Count=[""74"", ""1386""]; Cumulative=[""74"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510F","WHQ510F","Think boys will like me better","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""I think boys will like me better"", ""Missing""]; Count=[""18"", ""1442""]; Cumulative=[""18"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510G","WHQ510G","Think girls will like me better","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""I think girls will like me better"", ""Missing""]; Count=[""28"", ""1432""]; Cumulative=[""28"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQMEC_G","WHQ510H","WHQ510H","Friends are trying to lose weight","Why are you trying to lose weight?","Both males and females 8 YEARS - 15 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""My friends are trying to lose weight"", ""Missing""]; Count=[""12"", ""1448""]; Cumulative=[""12"", ""1460""]; Skip.to.Item=[""NA"", ""NA""]"
