"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"WHQ_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHD010","WHD010","Current self-reported height (inches)","These next questions ask about {your/SPs} height and weight at different times in {your/his/her} life. How tall {are you/is SP} without shoes?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""41 to 81"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6730"", ""0"", ""104"", ""55""]; Cumulative=[""6730"", ""6730"", ""6834"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHD020","WHD020","Current self-reported weight (pounds)","How much {do you/does SP} weigh without clothes or shoes?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""76 to 670"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6741"", ""6"", ""78"", ""64""]; Cumulative=[""6741"", ""6747"", ""6825"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ030","WHQ030","How do you consider your weight","{Do you/Does SP} consider {your/his/her}self now to be . . . [If {you are/she is} currently pregnant what did {you/she} consider {your/her}self to be before {you were/she was} pregnant?]","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Overweight,"", ""Underweight, or"", ""About the right weight?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3535"", ""362"", ""2973"", ""1"", ""18"", ""0""]; Cumulative=[""3535"", ""3897"", ""6870"", ""6871"", ""6889"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ040","WHQ040","Like to weigh more less or same","Would {you/SP} like to weigh . . .","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""More,"", ""Less, or"", ""Stay about the same?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""578"", ""4099"", ""2205"", ""1"", ""6"", ""0""]; Cumulative=[""578"", ""4677"", ""6882"", ""6883"", ""6889"", ""6889""]; Skip.to.Item=["""", """", ""WHD050"", ""WHD050"", ""WHD050"", """"]"
"WHQ_F","WHD045","WHD045","How much would like to weigh (pounds)","How much {would you/would SP} like to weigh?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""85 to 441"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4638"", ""1"", ""21"", ""2229""]; Cumulative=[""4638"", ""4639"", ""4660"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHD050","WHD050","Self-reported weight - 1 yr ago (pounds)","How much did {you/SP} weigh a year ago?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 586"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6707"", ""12"", ""118"", ""52""]; Cumulative=[""6707"", ""6719"", ""6837"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ055","WHQ055",NA,NA,"Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHQ060","WHQ060","Weight change intentional","Was the change between {your/SPs} current weight and {your/his/her} weight a year ago intentional?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""754"", ""497"", ""0"", ""0"", ""5638""]; Cumulative=[""754"", ""1251"", ""1251"", ""1251"", ""6889""]; Skip.to.Item=[""WHD080A"", """", """", """", """"]"
"WHQ_F","WHQ070","WHQ070","Tried to lose weight in past year","During the past 12 months {have you/has SP} tried to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1916"", ""4203"", ""1"", ""9"", ""760""]; Cumulative=[""1916"", ""6119"", ""6120"", ""6129"", ""6889""]; Skip.to.Item=["""", ""WHQ090"", ""WHQ090"", ""WHQ090"", """"]"
"WHQ_F","WHD080A","WHD080A","Ate less to lose weight","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", ""77"", ""99"", "".""]; Value.Description=[""Ate less food (amount)"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1538"", ""0"", ""0"", ""5351""]; Cumulative=[""1538"", ""1538"", ""1538"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHD080B","WHD080B","Switched to foods with lower calories","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""Switched to foods with lower calories"", ""Missing""]; Count=[""724"", ""6165""]; Cumulative=[""724"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080C","WHD080C","Ate less fat to lose weight","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""Ate less fat"", ""Missing""]; Count=[""839"", ""6050""]; Cumulative=[""839"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080D","WHD080D","Exercised to lose weight","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""13"", "".""]; Value.Description=[""Exercised"", ""Missing""]; Count=[""1604"", ""5285""]; Cumulative=[""1604"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080E","WHD080E","Skipped meals","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""14"", "".""]; Value.Description=[""Skipped meals"", ""Missing""]; Count=[""412"", ""6477""]; Cumulative=[""412"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080F","WHD080F","Ate diet foods or products","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""15"", "".""]; Value.Description=[""Ate 'diet' foods or products"", ""Missing""]; Count=[""247"", ""6642""]; Cumulative=[""247"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080G","WHD080G","Used a liquid diet formula","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""16"", "".""]; Value.Description=[""Used a liquid diet formula such as slimfast or optifast"", ""Missing""]; Count=[""97"", ""6792""]; Cumulative=[""97"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080H","WHD080H","Joined a weight loss program","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""17"", "".""]; Value.Description=[""Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous"", ""Missing""]; Count=[""146"", ""6743""]; Cumulative=[""146"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080I","WHD080I","Took prescription diet pills","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""31"", "".""]; Value.Description=[""Took diet pills prescribed by a doctor"", ""Missing""]; Count=[""61"", ""6828""]; Cumulative=[""61"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080J","WHD080J","Took non-RX suppl. to lose weight","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""32"", "".""]; Value.Description=[""Took other pills, medicines, herbs, or supplements not needing a prescription"", ""Missing""]; Count=[""130"", ""6759""]; Cumulative=[""130"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080K","WHD080K","Took laxatives or vomited","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""33"", "".""]; Value.Description=[""Took laxatives or vomited"", ""Missing""]; Count=[""25"", ""6864""]; Cumulative=[""25"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080L","WHD080L","Other","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""40"", "".""]; Value.Description=[""Other"", ""Missing""]; Count=[""28"", ""6861""]; Cumulative=[""28"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080M","WHD080M","Drank a lot of water","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""34"", "".""]; Value.Description=[""Drank a lot of water"", ""Missing""]; Count=[""930"", ""5959""]; Cumulative=[""930"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080N","WHD080N","Followed a special diet","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""30"", "".""]; Value.Description=[""Followed a special diet"", ""Missing""]; Count=[""106"", ""6783""]; Cumulative=[""106"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080O","WHD080O","Ate fewer carbohydrates","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""41"", "".""]; Value.Description=[""Ate fewer carbohydrates"", ""Missing""]; Count=[""530"", ""6359""]; Cumulative=[""530"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080P","WHD080P","Started to smoke or began to smoke again","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""42"", "".""]; Value.Description=[""Started to smoke or began to smoke again"", ""Missing""]; Count=[""24"", ""6865""]; Cumulative=[""24"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080Q","WHD080Q","Ate more fruits vegetables salads","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""43"", "".""]; Value.Description=[""Ate more fruits, vegetables, salads"", ""Missing""]; Count=[""977"", ""5912""]; Cumulative=[""977"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080R","WHD080R","Changed eating habits","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""44"", "".""]; Value.Description=[""Changed eating habits"", ""Missing""]; Count=[""676"", ""6213""]; Cumulative=[""676"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080S","WHD080S","Ate less sugar candy sweets","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""45"", "".""]; Value.Description=[""Ate less sugar, candy, sweets"", ""Missing""]; Count=[""736"", ""6153""]; Cumulative=[""736"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD080T","WHD080T","Ate less junk food or fast food","How did {you/SP} try to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""46"", "".""]; Value.Description=[""Ate less junk food or fast food"", ""Missing""]; Count=[""788"", ""6101""]; Cumulative=[""788"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ270","WHQ270","Seek help from a health professional","In the past 12 months {did you/did SP} seek help from a personal trainer dietitian nutritionist doctor or other health professional to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""259"", ""2411"", ""0"", ""0"", ""4219""]; Cumulative=[""259"", ""2670"", ""2670"", ""2670"", ""6889""]; Skip.to.Item=["""", ""WHQ185"", ""WHQ185"", ""WHQ185"", """"]"
"WHQ_F","WHQ280A","WHQ280A","Personal trainer","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""7"", ""9"", "".""]; Value.Description=[""personal trainer"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""86"", ""0"", ""0"", ""6803""]; Cumulative=[""86"", ""86"", ""86"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ280B","WHQ280B","Dietitian","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""dietitian"", ""Missing""]; Count=[""47"", ""6842""]; Cumulative=[""47"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ280C","WHQ280C","Nutritionist","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""nutritionist"", ""Missing""]; Count=[""53"", ""6836""]; Cumulative=[""53"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ280D","WHQ280D","Doctor","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""doctor, or"", ""Missing""]; Count=[""87"", ""6802""]; Cumulative=[""87"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ280E","WHQ280E","Other health professional","Was that a...","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""5"", "".""]; Value.Description=[""other health professional"", ""Missing""]; Count=[""18"", ""6871""]; Cumulative=[""18"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
