,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,HID010,1,Yes,,
2,HID010,2,No,,
3,HID010,7,Refused,,
4,HID010,9,Don'T Know,,
5,HID010,.,Missing,,
6,HID030A,1,Yes,,
7,HID030A,2,No,,
8,HID030A,7,Refused,,
9,HID030A,9,Don'T Know,,
10,HID030A,.,Missing,,
11,HID030B,1,Yes,,
12,HID030B,2,No,,
13,HID030B,7,Refused,,
14,HID030B,9,Don'T Know,,
15,HID030B,.,Missing,,
16,HID030C,1,Yes,,
17,HID030C,2,No,,
18,HID030C,7,Refused,,
19,HID030C,9,Don'T Know,,
20,HID030C,.,Missing,,
21,HID030D,1,Yes,,
22,HID030D,2,No,,
23,HID030D,7,Refused,,
24,HID030D,9,Don'T Know,,
25,HID030D,.,Missing,,
26,HID030E,1,Yes,,
27,HID030E,2,No,,
28,HID030E,7,Refused,,
29,HID030E,9,Don'T Know,,
30,HID030E,.,Missing,,
31,HID040,1,Yes,,
32,HID040,2,No,,
33,HID040,7,Refused,,
34,HID040,9,Don'T Know,,
35,HID040,.,Missing,,
36,HIQ210,1,Yes,,
37,HIQ210,2,No,,
38,HIQ210,7,Refused,,
39,HIQ210,9,Don'T Know,,
40,HIQ210,.,Missing,,
41,HIQ220,1,6 Months Or Less,,
42,HIQ220,2,"More Than 6 Months, But Not More Than 1 Year Ago",,
43,HIQ220,3,"More Than 1 Year, But Not More Than 3 Years Ago",,
44,HIQ220,4,More Than 3 Years,,
45,HIQ220,5,Never,,
46,HIQ220,7,Refused,,
47,HIQ220,9,Don'T Know,,
48,HIQ220,.,Missing,,
