,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,nan,,
1,PADACTIV,10,Aerobics,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
2,PADACTIV,11,Baseball,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
3,PADACTIV,12,Basketball,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
4,PADACTIV,13,Bicycling,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
5,PADACTIV,14,Bowling,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
6,PADACTIV,15,Dance,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
7,PADACTIV,16,Fishing,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
8,PADACTIV,17,Football,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
9,PADACTIV,18,Gardening,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
10,PADACTIV,19,Golf,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
11,PADACTIV,20,Hiking,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
12,PADACTIV,21,Hockey,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
13,PADACTIV,22,Hunting,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
14,PADACTIV,23,Jogging,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
15,PADACTIV,24,Kayaking,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
16,PADACTIV,25,Push-Ups,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
17,PADACTIV,26,Racquetball,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
18,PADACTIV,27,Rollerblading,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
19,PADACTIV,28,Rowing,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
20,PADACTIV,29,Running,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
21,PADACTIV,30,Sit-Ups,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
22,PADACTIV,31,Skating,[Over the past 30 days] what {vigorous/moderate} activities did {you/SP} do?,Both males and females 12 YEARS - 150 YEARS,nan,,
