,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 20 YEARS - 150 YEARS,nan,,
1,MPQ010,1,Yes,During the past 12 months {have you/has SP} had pain aching stiffness or swelling in or around a joint?[Do not include neck pain.],Both males and females 20 YEARS - 150 YEARS,nan,,
2,MPQ010,2,No,During the past 12 months {have you/has SP} had pain aching stiffness or swelling in or around a joint?[Do not include neck pain.],Both males and females 20 YEARS - 150 YEARS,nan,,
3,MPQ010,7,Refused,During the past 12 months {have you/has SP} had pain aching stiffness or swelling in or around a joint?[Do not include neck pain.],Both males and females 20 YEARS - 150 YEARS,nan,,
4,MPQ010,9,Don'T Know,During the past 12 months {have you/has SP} had pain aching stiffness or swelling in or around a joint?[Do not include neck pain.],Both males and females 20 YEARS - 150 YEARS,nan,,
5,MPQ010,.,Missing,During the past 12 months {have you/has SP} had pain aching stiffness or swelling in or around a joint?[Do not include neck pain.],Both males and females 20 YEARS - 150 YEARS,nan,,
6,MPQ020,1,Yes,Were these symptoms present on most days for at least 1 month?,Both males and females 20 YEARS - 150 YEARS,nan,,
7,MPQ020,2,No,Were these symptoms present on most days for at least 1 month?,Both males and females 20 YEARS - 150 YEARS,nan,,
8,MPQ020,7,Refused,Were these symptoms present on most days for at least 1 month?,Both males and females 20 YEARS - 150 YEARS,nan,,
9,MPQ020,9,Don'T Know,Were these symptoms present on most days for at least 1 month?,Both males and females 20 YEARS - 150 YEARS,nan,,
10,MPQ020,.,Missing,Were these symptoms present on most days for at least 1 month?,Both males and females 20 YEARS - 150 YEARS,nan,,
11,MPQ030,1,Yes,Did these symptoms begin only because of an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
12,MPQ030,2,No,Did these symptoms begin only because of an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
13,MPQ030,7,Refused,Did these symptoms begin only because of an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
14,MPQ030,9,Don'T Know,Did these symptoms begin only because of an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
15,MPQ030,.,Missing,Did these symptoms begin only because of an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
16,MPD040,1 To 52,Range Of Values,How many weeks in the past year did {you/SP} have joint symptoms due to an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
17,MPD040,7777,Refused,How many weeks in the past year did {you/SP} have joint symptoms due to an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
18,MPD040,9999,Don'T Know,How many weeks in the past year did {you/SP} have joint symptoms due to an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
19,MPD040,.,Missing,How many weeks in the past year did {you/SP} have joint symptoms due to an injury?,Both males and females 20 YEARS - 150 YEARS,nan,,
20,MPD050a,10,Shoulder - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
21,MPD050a,77,Refused,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
22,MPD050a,99,Don'T Know,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
23,MPD050a,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
24,MPD050b,11,Shoulder - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
25,MPD050b,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
26,MPD050c,12,Elbow - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
27,MPD050c,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
28,MPD050d,13,Elbow - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
29,MPD050d,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
30,MPD050e,14,Hip - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
31,MPD050e,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
32,MPD050f,15,Hip - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
33,MPD050f,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
34,MPD050g,16,Wrist - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
35,MPD050g,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
36,MPD050h,17,Wrist - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
37,MPD050h,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
38,MPD050i,18,Knee - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
39,MPD050i,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
40,MPD050j,19,Knee - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
41,MPD050j,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
42,MPD050k,20,Ankle - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
43,MPD050k,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
44,MPD050l,21,Ankle - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
45,MPD050l,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
46,MPD050m,22,Toes - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
47,MPD050m,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
48,MPD050n,23,Toes - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
49,MPD050n,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
50,MPD050o,24,Fingers/Thumb - Right,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
51,MPD050o,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
52,MPD050p,25,Fingers/Thumb - Left,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
53,MPD050p,.,Missing,Please look at this card and give me the joints that were affected.,Both males and females 20 YEARS - 150 YEARS,nan,,
54,MPQ060,1,Yes,The following questions are about pain {you/SP} may have experienced in the past 3 months. Please refer to pain that lasted a whole day or more. Do not report aches and pains that were fleeting or minor. During the past 3 months did {you/SP} have neck pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
55,MPQ060,2,No,The following questions are about pain {you/SP} may have experienced in the past 3 months. Please refer to pain that lasted a whole day or more. Do not report aches and pains that were fleeting or minor. During the past 3 months did {you/SP} have neck pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
56,MPQ060,7,Refused,The following questions are about pain {you/SP} may have experienced in the past 3 months. Please refer to pain that lasted a whole day or more. Do not report aches and pains that were fleeting or minor. During the past 3 months did {you/SP} have neck pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
57,MPQ060,9,Don'T Know,The following questions are about pain {you/SP} may have experienced in the past 3 months. Please refer to pain that lasted a whole day or more. Do not report aches and pains that were fleeting or minor. During the past 3 months did {you/SP} have neck pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
58,MPQ060,.,Missing,The following questions are about pain {you/SP} may have experienced in the past 3 months. Please refer to pain that lasted a whole day or more. Do not report aches and pains that were fleeting or minor. During the past 3 months did {you/SP} have neck pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
59,MPQ070,1,Yes,[During the past 3 months] did {you/SP} have low back pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
60,MPQ070,2,No,[During the past 3 months] did {you/SP} have low back pain?,Both males and females 20 YEARS - 150 YEARS,nan,,
