,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,RXD030,1,Yes,In the past month {have you/has SP} used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
2,RXD030,2,No,In the past month {have you/has SP} used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
3,RXD030,7,Refused,In the past month {have you/has SP} used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
4,RXD030,9,Don'T Know,In the past month {have you/has SP} used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
5,RXD030,.,Missing,In the past month {have you/has SP} used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
6,RXD240B,Standard Generic Ingredient Name,Value Was Recorded,Standard generic ingredient name,Both males and females 0 YEARS - 150 YEARS,nan,,
7,RXD240B,55555,Unknown,Standard generic ingredient name,Both males and females 0 YEARS - 150 YEARS,nan,,
8,RXD240B,77777,Refused,Standard generic ingredient name,Both males and females 0 YEARS - 150 YEARS,nan,,
9,RXD240B,99999,Don'T Know,Standard generic ingredient name,Both males and females 0 YEARS - 150 YEARS,nan,,
10,RXD240B,< Blank >,Missing,Standard generic ingredient name,Both males and females 0 YEARS - 150 YEARS,nan,,
11,NHCODE,Standard Generic Ingredient Code,Value Was Recorded,Generic ingredient code,Both males and females 0 YEARS - 150 YEARS,nan,,
12,NHCODE,< Blank >,Missing,Generic ingredient code,Both males and females 0 YEARS - 150 YEARS,nan,,
13,RXQ250,1,Yes,Prescription container seen by interviewer,Both males and females 0 YEARS - 150 YEARS,nan,,
14,RXQ250,2,No,Prescription container seen by interviewer,Both males and females 0 YEARS - 150 YEARS,nan,,
15,RXQ250,.,Missing,Prescription container seen by interviewer,Both males and females 0 YEARS - 150 YEARS,nan,,
16,RXD260,1 To 24820,Range Of Values,For how long {have/has} {you/SP} been using or taking {PRODUCT NAME}? (days),Both males and females 0 YEARS - 150 YEARS,nan,,
17,RXD260,77777,Refused,For how long {have/has} {you/SP} been using or taking {PRODUCT NAME}? (days),Both males and females 0 YEARS - 150 YEARS,nan,,
18,RXD260,99999,Don'T Know,For how long {have/has} {you/SP} been using or taking {PRODUCT NAME}? (days),Both males and females 0 YEARS - 150 YEARS,nan,,
19,RXD260,.,Missing,For how long {have/has} {you/SP} been using or taking {PRODUCT NAME}? (days),Both males and females 0 YEARS - 150 YEARS,nan,,
20,FDACODE1,Fda/Ndc Drug Class Code 1,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
21,FDACODE1,99999,Unknown Drug-No Code,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
22,FDACODE1,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
23,FDACODE2,Fda/Ndc Drug Class Code 2,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
24,FDACODE2,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
25,FDACODE3,Fda/Ndc Drug Class Code 3,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
26,FDACODE3,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
27,FDACODE4,Fda/Ndc Drug Class Code 4,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
28,FDACODE4,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
29,FDACODE5,Fda/Ndc Drug Class Code 5,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
30,FDACODE5,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
31,FDACODE6,Fda/Ndc Drug Class Code 6,Value Was Recorded,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
32,FDACODE6,< Blank >,Missing,FDA/NDC therapeutic drug class code,Both males and females 0 YEARS - 150 YEARS,nan,,
33,RXD295,1 To 17,Range Of Values,The number of prescription medicines reported,Both males and females 0 YEARS - 150 YEARS,nan,,
34,RXD295,.,Missing,The number of prescription medicines reported,Both males and females 0 YEARS - 150 YEARS,nan,,
35,RXDDRGID,Generic Drug Code,Value Was Recorded,Generic drug code,Both males and females 0 YEARS - 150 YEARS,nan,,
36,RXDDRGID,< Blank >,Missing,Generic drug code,Both males and females 0 YEARS - 150 YEARS,nan,,
