,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTSCI2YR,5216.6934328 To 300649.07751,Range Of Values,,
2,WTSCI2YR,.,Missing,,
3,CIAORDER,0,"Panic, Gad, Depression",,
4,CIAORDER,1,"Depression, Panic, Gad",,
5,CIAORDER,.,Missing,,
6,CIQP01,1,Yes,,
7,CIQP01,2,No,,
8,CIQP01,7,Refuse,,
9,CIQP01,9,Don'T Know,,
10,CIQP01,.,Missing,,
11,CIQP02,1,Yes,,
12,CIQP02,2,No,,
13,CIQP02,7,Refuse,,
14,CIQP02,9,Don'T Know,,
15,CIQP02,.,Missing,,
16,CIQP03,1,Yes,,
17,CIQP03,2,No,,
18,CIQP03,7,Refuse,,
19,CIQP03,9,Don'T Know,,
20,CIQP03,.,Missing,,
21,CIQP04,1,Yes,,
22,CIQP04,2,No,,
23,CIQP04,7,Refuse,,
24,CIQP04,9,Don'T Know,,
25,CIQP04,.,Missing,,
26,CIQP05,1,Past Month,,
27,CIQP05,2,Past 6 Months,,
28,CIQP05,3,Over 6 Months,,
29,CIQP05,7,Refused,,
30,CIQP05,9,Don'T Know,,
31,CIQP05,.,Missing,,
32,CIQP06,1,Yes,,
33,CIQP06,2,No,,
34,CIQP06,7,Refused,,
35,CIQP06,9,Don'T Know,,
36,CIQP06,.,Missing,,
37,CIQP07,1,Past Month,,
38,CIQP07,2,Past 6 Months,,
39,CIQP07,3,Over 6 Months,,
40,CIQP07,7,Refused,,
41,CIQP07,9,Don'T Know,,
42,CIQP07,.,Missing,,
43,CIQP08,1,Yes,,
44,CIQP08,2,No,,
45,CIQP08,7,Refused,,
46,CIQP08,9,Don'T Know,,
47,CIQP08,.,Missing,,
48,CIQP09,1,Past Month,,
49,CIQP09,2,Past 6 Months,,
50,CIQP09,3,Over 6 Months,,
51,CIQP09,7,Refused,,
52,CIQP09,9,Don'T Know,,
53,CIQP09,.,Missing,,
54,CIQP10ZZ,,,,
55,CIQP11,1,Yes,,
56,CIQP11,2,No,,
57,CIQP11,7,Refused,,
58,CIQP11,9,Don'T Know,,
59,CIQP11,.,Missing,,
60,CIQP12,1,Yes,,
61,CIQP12,2,No,,
62,CIQP12,7,Refused,,
63,CIQP12,9,Don'T Know,,
64,CIQP12,.,Missing,,
65,CIQP13A,1,Yes,,
66,CIQP13A,2,No,,
67,CIQP13A,7,Refused,,
68,CIQP13A,9,Don'T Know,,
69,CIQP13A,.,Missing,,
70,CIQP13B,1,Yes,,
71,CIQP13B,2,No,,
72,CIQP13B,7,Refused,,
73,CIQP13B,9,Don'T Know,,
74,CIQP13B,.,Missing,,
75,CIQP13C,1,Yes,,
76,CIQP13C,2,No,,
77,CIQP13C,7,Refused,,
78,CIQP13C,9,Don'T Know,,
79,CIQP13C,.,Missing,,
