,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,FSD032A,1,Often True,,
2,FSD032A,2,Sometimes True,,
3,FSD032A,3,Never True,,
4,FSD032A,6,Screened Out,,
5,FSD032A,7,Refused,,
6,FSD032A,9,Don'T Know,,
7,FSD032A,.,Missing,,
8,FSD032B,1,Often True,,
9,FSD032B,2,Sometimes True,,
10,FSD032B,3,Never True,,
11,FSD032B,6,Screened Out,,
12,FSD032B,7,Refused,,
13,FSD032B,9,Don'T Know,,
14,FSD032B,.,Missing,,
15,FSD032C,1,Often True,,
16,FSD032C,2,Sometimes True,,
17,FSD032C,3,Never True,,
18,FSD032C,6,Screened Out,,
19,FSD032C,7,Refused,,
20,FSD032C,9,Don'T Know,,
21,FSD032C,.,Missing,,
22,FSQBOX1,,,,
23,FSD032D,1,Often True,,
24,FSD032D,2,Sometimes True,,
25,FSD032D,3,Never True,,
26,FSD032D,6,Screened Out,,
27,FSD032D,7,Refused,,
28,FSD032D,9,Don'T Know,,
29,FSD032D,.,Missing,,
30,FSD032E,1,Often True,,
31,FSD032E,2,Sometimes True,,
32,FSD032E,3,Never True,,
33,FSD032E,6,Screened Out,,
34,FSD032E,7,Refused,,
35,FSD032E,9,Don'T Know,,
36,FSD032E,.,Missing,,
37,FSQBOX2,,,,
38,FSQBOX3,,,,
39,FSD032F,1,Often True,,
40,FSD032F,2,Sometimes True,,
41,FSD032F,3,Never True,,
42,FSD032F,6,Screened Out,,
43,FSD032F,7,Refused,,
44,FSD032F,9,Don'T Know,,
45,FSD032F,.,Missing,,
46,FSD041,1,Yes,,
47,FSD041,2,No,,
48,FSD041,6,Screened Out,,
49,FSD041,7,Refused,,
50,FSD041,9,Don'T Know,,
51,FSD041,.,Missing,,
52,FSD052,1,"Almost Every Month,",,
53,FSD052,2,"Some Months But Not Every Month, Or",,
54,FSD052,3,Only 1 Or 2 Months?,,
55,FSD052,6,Screened Out,,
56,FSD052,7,Refused,,
57,FSD052,9,Don'T Know,,
58,FSD052,.,Missing,,
59,FSD061,1,Yes,,
60,FSD061,2,No,,
61,FSD061,6,Screened Out,,
62,FSD061,7,Refused,,
63,FSD061,9,Don'T Know,,
64,FSD061,.,Missing,,
65,FSD071,1,Yes,,
66,FSD071,2,No,,
67,FSD071,6,Screened Out,,
68,FSD071,7,Refused,,
69,FSD071,9,Don'T Know,,
70,FSD071,.,Missing,,
71,FSD081,1,Yes,,
72,FSD081,2,No,,
73,FSD081,6,Screened Out,,
74,FSD081,7,Refused,,
75,FSD081,9,Don'T Know,,
76,FSD081,.,Missing,,
77,FSDBOX4,,,,
78,FSD092,1,Yes,,
79,FSD092,2,No,,
80,FSD092,6,Screened Out,,
81,FSD092,7,Refused,,
82,FSD092,9,Don'T Know,,
83,FSD092,.,Missing,,
84,FSD102,1,"Almost Every Month,",,
85,FSD102,2,"Some Months But Not Every Month, Or",,
86,FSD102,3,Only 1 Or 2 Months?,,
87,FSD102,6,Screened Out,,
88,FSD102,7,Refused,,
89,FSD102,9,Don'T Know,,
90,FSD102,.,Missing,,
91,FSQBOX5,,,,
92,FSD111,1,Yes,,
93,FSD111,2,No,,
94,FSD111,6,Screened Out,,
95,FSD111,7,Refused,,
96,FSD111,9,Don'T Know,,
97,FSD111,.,Missing,,
98,FSD122,1,Yes,,
99,FSD122,2,No,,
100,FSD122,6,Screened Out,,
101,FSD122,7,Refused,,
102,FSD122,9,Don'T Know,,
103,FSD122,.,Missing,,
104,FSD132,1,"Almost Every Month,",,
105,FSD132,2,"Some Months But Not Every Month, Or",,
106,FSD132,3,Only 1 Or 2 Months?,,
107,FSD132,6,Screened Out,,
108,FSD132,7,Refused,,
109,FSD132,9,Don'T Know,,
110,FSD132,.,Missing,,
111,FSD141,1,Yes,,
112,FSD141,2,No,,
113,FSD141,6,Screened Out,,
114,FSD141,7,Refused,,
115,FSD141,9,Don'T Know,,
116,FSD141,.,Missing,,
117,FSD146,1,Yes,,
118,FSD146,2,No,,
119,FSD146,6,Screened Out,,
120,FSD146,7,Refused,,
121,FSD146,9,Don'T Know,,
122,FSD146,.,Missing,,
123,FSDHH,1,Hh Full Food Security: 0,,
124,FSDHH,2,Hh Marginal Food Security: 1-2,,
125,FSDHH,3,Hh Low Food Security: 3-5 / 3-7 (Hh With Child),,
126,FSDHH,4,Hh Very Low Food Security: 6-10 / 8-18 (Hh With Child),,
127,FSDHH,.,Missing,,
128,FSDAD,1,Ad Full Food Security: 0,,
129,FSDAD,2,Ad Marginal Food Security: 1-2,,
130,FSDAD,3,Ad Low Food Security: 3-5,,
131,FSDAD,4,Ad Very Low Food Security: 6-10,,
132,FSDAD,.,Missing,,
133,FSDCH,1,Ch Food Quality & Quantity Unaffected: 0,,
134,FSDCH,2,Ch Reduced Food Quality Or Quantity: 1,,
135,FSDCH,3,Ch Reduced Food Quality And Quantity: 2-4,,
136,FSDCH,4,Ch Severely Reduced Food Quality And Quantity: 5-8,,
137,FSDCH,.,Missing,,
138,FSD151,1,Yes,,
139,FSD151,2,No,,
140,FSD151,6,Screened Out,,
141,FSD151,7,Refused,,
142,FSD151,9,Don'T Know,,
143,FSD151,.,Missing,,
144,FSDBOX6,,,,
145,FSQ400,1,Yes,,
146,FSQ400,2,No,,
147,FSQ400,7,Refused,,
148,FSQ400,9,Don'T Know,,
149,FSQ400,.,Missing,,
150,FSQ410,1 To 30,Range Of Values,,
151,FSQ410,77,Refused,,
152,FSQ410,99,Don'T Know,,
153,FSQ410,.,Missing,,
154,FSQ420,1,Yes,,
155,FSQ420,2,No,,
156,FSQ420,7,Refused,,
157,FSQ420,9,Don'T Know,,
158,FSQ420,.,Missing,,
159,FSQ430,1,Yes,,
160,FSQ430,2,No,,
161,FSQ430,7,Refused,,
162,FSQ430,9,Don'T Know,,
163,FSQ430,.,Missing,,
164,FSQ440,1,Yes,,
165,FSQ440,2,No,,
166,FSQ440,7,Refused,,
167,FSQ440,9,Don'T Know,,
168,FSQ440,.,Missing,,
169,FSQ450,1,Yes,,
170,FSQ450,2,No,,
171,FSQ450,7,Refused,,
172,FSQ450,9,Don'T Know,,
173,FSQ450,.,Missing,,
174,FSQ460,1 To 10,Range Of Values,,
175,FSQ460,77,Refused,,
176,FSQ460,99,Don'T Know,,
177,FSQ460,.,Missing,,
178,FSQ470,1,Yes,,
179,FSQ470,2,No,,
180,FSQ470,7,Refused,,
181,FSQ470,9,Don'T Know,,
182,FSQ470,.,Missing,,
183,FSQ480,1,Yes,,
184,FSQ480,2,No,,
185,FSQ480,7,Refused,,
186,FSQ480,9,Don'T Know,,
187,FSQ480,.,Missing,,
188,FSQ490,1,Yes,,
189,FSQ490,2,No,,
190,FSQ490,7,Refused,,
191,FSQ490,9,Don'T Know,,
192,FSQ490,.,Missing,,
193,FSQ500,1,Yes,,
194,FSQ500,2,No,,
195,FSQ500,7,Refused,,
196,FSQ500,9,Don'T Know,,
197,FSQ500,.,Missing,,
198,FSQ510,1 To 10,Range Of Values,,
199,FSQ510,77,Refused,,
200,FSQ510,99,Don'T Know,,
201,FSQ510,.,Missing,,
202,FSQ520,1,Yes,,
203,FSQ520,2,No,,
204,FSQ520,7,Refused,,
205,FSQ520,9,Don'T Know,,
