,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,HOD011,1,Mobile Home Or Trailer,,
2,HOD011,2,One Family House Detached From Any Other House,,
3,HOD011,3,One Family House Attached To One Or More Houses,,
4,HOD011,4,Apartment,,
5,HOD011,5,Something Else,,
6,HOD011,6,Dormitory,,
7,HOD011,77,Refused,,
8,HOD011,99,Don'T Know,,
9,HOD011,.,Missing,,
10,HOD030,3,3 Or 4,,
11,HOD030,4,5 To 9,,
12,HOD030,5,10 To 19,,
13,HOD030,6,20 To 49,,
14,HOD030,7,50 Or More,,
15,HOD030,77,Refused,,
16,HOD030,99,Don'T Know,,
17,HOD030,.,Missing,,
18,HOD030,1,1 Or 2,,
19,HOD040,1,1990 To Present,,
20,HOD040,2,1978 To 1989,,
21,HOD040,3,1960 To 1977,,
22,HOD040,4,1950 To 1959,,
23,HOD040,5,1940 To 1949,,
24,HOD040,6,Before 1940,,
25,HOD040,77,Refused,,
26,HOD040,99,Don'T Know,,
27,HOD040,.,Missing,,
28,HOD050,1 To 12,Range Of Values,,
29,HOD050,13,13 Or More,,
30,HOD050,777,Refused,,
31,HOD050,999,Don'T Know,,
32,HOD050,.,Missing,,
33,HOD060,1,Less Than One Year,,
34,HOD060,2,1-2 Years,,
35,HOD060,3,3-5 Years,,
36,HOD060,4,6-10 Years,,
37,HOD060,5,More Than 10 Years,,
38,HOD060,77,Refused,,
39,HOD060,99,Don'T Know,,
40,HOD060,.,Missing,,
41,HOQ065,1,Owned Or Being Bought,,
42,HOQ065,2,Rented,,
43,HOQ065,3,Other Arrangement,,
44,HOQ065,7,Refused,,
45,HOQ065,9,Don'T Know,,
46,HOQ065,.,Missing,,
47,HOQ070,1,Private/Public Water Company,,
48,HOQ070,2,Private/Public Well,,
49,HOQ070,3,Something Else,,
50,HOQ070,7,Refused,,
51,HOQ070,9,Don'T Know,,
52,HOQ070,.,Missing,,
53,HOQ080,1,Yes,,
54,HOQ080,2,No,,
55,HOQ080,7,Refused,,
56,HOQ080,9,Don'T Know,,
57,HOQ080,.,Missing,,
58,HOD140,1,Yes,,
59,HOD140,2,No,,
60,HOD140,7,Refused,,
61,HOD140,9,Don'T Know,,
62,HOD140,.,Missing,,
63,HOD150,1,Yes,,
64,HOD150,2,No,,
65,HOD150,7,Refused,,
66,HOD150,9,Don'T Know,,
67,HOD150,.,Missing,,
68,HOD160,1,Yes,,
69,HOD160,2,No,,
70,HOD160,7,Refused,,
71,HOD160,9,Don'T Know,,
72,HOD160,.,Missing,,
73,HOD170,1,Yes,,
74,HOD170,2,No,,
75,HOD170,7,Refused,,
76,HOD170,9,Don'T Know,,
77,HOD170,.,Missing,,
78,HOD180,1,One Room,,
79,HOD180,2,Two Or More Rooms,,
80,HOD180,77,Refused,,
81,HOD180,99,Don'T Know,,
82,HOD180,.,Missing,,
83,HOD190,1,Yes,,
84,HOD190,2,No,,
85,HOD190,7,Refused,,
86,HOD190,9,Don'T Know,,
87,HOD190,.,Missing,,
88,HOD210,1,Yes,,
89,HOD210,2,No,,
90,HOD210,7,Refused,,
91,HOD210,9,Don'T Know,,
92,HOD210,.,Missing,,
93,HOD220,1,Yes,,
94,HOD220,2,No,,
95,HOD220,7,Refused,,
96,HOD220,9,Don'T Know,,
97,HOD220,.,Missing,,
