,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,SMQ620,1,Yes,The following questions are about cigarette smoking and other tobacco use. Have you ever tried cigarette smoking even 1 or 2 puffs?,Both males and females 12 YEARS - 19 YEARS,nan,,
2,SMQ620,2,No,The following questions are about cigarette smoking and other tobacco use. Have you ever tried cigarette smoking even 1 or 2 puffs?,Both males and females 12 YEARS - 19 YEARS,nan,,
3,SMQ620,7,Refused,The following questions are about cigarette smoking and other tobacco use. Have you ever tried cigarette smoking even 1 or 2 puffs?,Both males and females 12 YEARS - 19 YEARS,nan,,
4,SMQ620,9,Don'T Know,The following questions are about cigarette smoking and other tobacco use. Have you ever tried cigarette smoking even 1 or 2 puffs?,Both males and females 12 YEARS - 19 YEARS,nan,,
5,SMQ620,.,Missing,The following questions are about cigarette smoking and other tobacco use. Have you ever tried cigarette smoking even 1 or 2 puffs?,Both males and females 12 YEARS - 19 YEARS,nan,,
6,SMD630,6 To 19,Range Of Values,How old were you when you smoked a whole cigarette for the first time?,Both males and females 12 YEARS - 19 YEARS,nan,,
7,SMD630,55,Never Smoked A Whole Cigarette,How old were you when you smoked a whole cigarette for the first time?,Both males and females 12 YEARS - 19 YEARS,nan,,
8,SMD630,77,Refused,How old were you when you smoked a whole cigarette for the first time?,Both males and females 12 YEARS - 19 YEARS,nan,,
9,SMD630,99,Don'T Know,How old were you when you smoked a whole cigarette for the first time?,Both males and females 12 YEARS - 19 YEARS,nan,,
10,SMD630,.,Missing,How old were you when you smoked a whole cigarette for the first time?,Both males and females 12 YEARS - 19 YEARS,nan,,
11,SMQ640,0 To 30,Range Of Values,During the past 30 days on how many days did you smoke cigarettes?,Both males and females 12 YEARS - 19 YEARS,nan,,
12,SMQ640,77,Refused,During the past 30 days on how many days did you smoke cigarettes?,Both males and females 12 YEARS - 19 YEARS,nan,,
13,SMQ640,99,Don'T Know,During the past 30 days on how many days did you smoke cigarettes?,Both males and females 12 YEARS - 19 YEARS,nan,,
14,SMQ640,.,Missing,During the past 30 days on how many days did you smoke cigarettes?,Both males and females 12 YEARS - 19 YEARS,nan,,
15,SMQ650,1 To 66,Range Of Values,During the past 30 days on the days that you smoked how many cigarettes did you smoke per day?,Both males and females 12 YEARS - 19 YEARS,nan,,
16,SMQ650,777,Refused,During the past 30 days on the days that you smoked how many cigarettes did you smoke per day?,Both males and females 12 YEARS - 19 YEARS,nan,,
17,SMQ650,999,Don'T Know,During the past 30 days on the days that you smoked how many cigarettes did you smoke per day?,Both males and females 12 YEARS - 19 YEARS,nan,,
18,SMQ650,.,Missing,During the past 30 days on the days that you smoked how many cigarettes did you smoke per day?,Both males and females 12 YEARS - 19 YEARS,nan,,
19,SMQ077,1,"Within 5 Minutes,",How soon after you wake up do you smoke? Would you say...,Both males and females 12 YEARS - 19 YEARS,nan,,
20,SMQ077,2,"From 6 To 30 Minutes,",How soon after you wake up do you smoke? Would you say...,Both males and females 12 YEARS - 19 YEARS,nan,,
21,SMQ077,3,"From More Than 30 Minutes To One Hour, Or",How soon after you wake up do you smoke? Would you say...,Both males and females 12 YEARS - 19 YEARS,nan,,
22,SMQ077,4,More Than One Hour?,How soon after you wake up do you smoke? Would you say...,Both males and females 12 YEARS - 19 YEARS,nan,,
23,SMQ077,7,Refused,How soon after you wake up do you smoke? Would you say...,Both males and females 12 YEARS - 19 YEARS,nan,,
