,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,FSD032A,1,Often True,,
2,FSD032A,2,Sometimes True,,
3,FSD032A,3,Never True,,
4,FSD032A,7,Refused,,
5,FSD032A,9,Don'T Know,,
6,FSD032A,.,Missing,,
7,FSD032B,1,Often True,,
8,FSD032B,2,Sometimes True,,
9,FSD032B,3,Never True,,
10,FSD032B,7,Refused,,
11,FSD032B,9,Don'T Know,,
12,FSD032B,.,Missing,,
13,FSD032C,1,Often True,,
14,FSD032C,2,Sometimes True,,
15,FSD032C,3,Never True,,
16,FSD032C,7,Refused,,
17,FSD032C,9,Don'T Know,,
18,FSD032C,.,Missing,,
19,FSQBOX1,,,,
20,FSD032D,3,Never True,,
21,FSD032D,7,Refused,,
22,FSD032D,9,Don'T Know,,
23,FSD032D,.,Missing,,
24,FSD032D,1,Often True,,
25,FSD032D,2,Sometimes True,,
26,FSD032E,1,Often True,,
27,FSD032E,2,Sometimes True,,
28,FSD032E,3,Never True,,
29,FSD032E,7,Refused,,
30,FSD032E,9,Don'T Know,,
31,FSD032E,.,Missing,,
32,FSQBOX2,,,,
33,FSQBOX3,,,,
34,FSD032F,1,Often True,,
35,FSD032F,2,Sometimes True,,
36,FSD032F,3,Never True,,
37,FSD032F,7,Refused,,
38,FSD032F,9,Don'T Know,,
39,FSD032F,.,Missing,,
40,FSD041,1,Yes,,
41,FSD041,2,No,,
42,FSD041,7,Refused,,
43,FSD041,9,Don'T Know,,
44,FSD041,.,Missing,,
45,FSD052,1,"Almost Every Month,",,
46,FSD052,2,"Some Months But Not Every Month, Or",,
47,FSD052,3,Only 1 Or 2 Months?,,
48,FSD052,7,Refused,,
49,FSD052,9,Don'T Know,,
50,FSD052,.,Missing,,
51,FSD061,1,Yes,,
52,FSD061,2,No,,
53,FSD061,7,Refused,,
54,FSD061,9,Don'T Know,,
55,FSD061,.,Missing,,
56,FSD071,1,Yes,,
57,FSD071,2,No,,
58,FSD071,7,Refused,,
59,FSD071,9,Don'T Know,,
60,FSD071,.,Missing,,
61,FSD081,1,Yes,,
62,FSD081,2,No,,
63,FSD081,7,Refused,,
64,FSD081,9,Don'T Know,,
65,FSD081,.,Missing,,
66,FSDBOX4,,,,
67,FSD092,1,Yes,,
68,FSD092,2,No,,
69,FSD092,7,Refused,,
70,FSD092,9,Don'T Know,,
71,FSD092,.,Missing,,
72,FSD102,1,"Almost Every Month,",,
73,FSD102,2,"Some Months But Not Every Month, Or",,
74,FSD102,3,Only 1 Or 2 Months?,,
75,FSD102,7,Refused,,
76,FSD102,9,Don'T Know,,
77,FSD102,.,Missing,,
78,FSQBOX5,,,,
79,FSD111,1,Yes,,
80,FSD111,2,No,,
81,FSD111,7,Refused,,
82,FSD111,9,Don'T Know,,
83,FSD111,.,Missing,,
84,FSD122,1,Yes,,
85,FSD122,2,No,,
86,FSD122,7,Refused,,
87,FSD122,9,Don'T Know,,
88,FSD122,.,Missing,,
89,FSD132,1,"Almost Every Month,",,
90,FSD132,2,"Some Months But Not Every Month, Or",,
91,FSD132,3,Only 1 Or 2 Months?,,
92,FSD132,7,Refused,,
93,FSD132,9,Don'T Know,,
94,FSD132,.,Missing,,
95,FSD141,1,Yes,,
96,FSD141,2,No,,
97,FSD141,7,Refused,,
98,FSD141,9,Don'T Know,,
99,FSD141,.,Missing,,
100,FSD146,1,Yes,,
101,FSD146,2,No,,
102,FSD146,7,Refused,,
103,FSD146,9,Don'T Know,,
104,FSD146,.,Missing,,
105,FSDHH,1,Hh Full Food Security: 0,,
106,FSDHH,2,Hh Marginal Food Security: 1-2,,
107,FSDHH,3,Hh Low Food Security: 3-5 / 3-7 (Hh With Child),,
108,FSDHH,4,Hh Very Low Food Security: 6-10 / 8-18 (Hh With Child),,
109,FSDHH,.,Missing,,
110,FSDAD,1,Ad Full Food Security: 0,,
111,FSDAD,2,Ad Marginal Food Security: 1-2,,
112,FSDAD,3,Ad Low Food Security: 3-5,,
113,FSDAD,4,Ad Very Low Food Security: 6-10,,
114,FSDAD,.,Missing,,
115,FSDCH,1,Ch Food Quality & Quantity Unaffected: 0,,
116,FSDCH,2,Ch Reduced Food Quality Or Quantity: 1,,
117,FSDCH,3,Ch Reduced Food Quality And Quantity: 2-4,,
118,FSDCH,4,Ch Severely Reduced Food Quality And Quantity: 5-8,,
119,FSDCH,.,Missing,,
120,FSD151,1,Yes,,
121,FSD151,2,No,,
122,FSD151,7,Refused,,
123,FSD151,9,Don'T Know,,
124,FSD151,.,Missing,,
125,FSDBOX6,,,,
126,FSD401,1,Often,,
127,FSD401,2,Sometimes,,
128,FSD401,3,Never,,
129,FSD401,7,Refused,,
130,FSD401,9,Don'T Know,,
131,FSD401,.,Missing,,
132,FSD411,1,Often,,
133,FSD411,2,Sometimes,,
134,FSD411,3,Never,,
135,FSD411,7,Refused,,
136,FSD411,9,Don'T Know,,
137,FSD411,.,Missing,,
138,FSD421,1,Often,,
139,FSD421,2,Sometimes,,
140,FSD421,3,Never,,
141,FSD421,7,Refused,,
142,FSD421,9,Don'T Know,,
143,FSD421,.,Missing,,
144,FSD431,9,Don'T Know,,
145,FSD431,.,Missing,,
146,FSD431,1,Often,,
147,FSD431,2,Sometimes,,
148,FSD431,3,Never,,
149,FSD431,7,Refused,,
150,FSQ440,1,Yes,,
151,FSQ440,2,No,,
152,FSQ440,7,Refused,,
153,FSQ440,9,Don'T Know,,
154,FSQ440,.,Missing,,
155,FSD451,1,Ever,,
156,FSD451,2,Never,,
157,FSD451,7,Refused,,
158,FSD451,9,Don'T Know,,
159,FSD451,.,Missing,,
160,FSQ170,1,Yes,,
161,FSQ170,2,No,,
162,FSQ170,7,Refused,,
163,FSQ170,9,Don'T Know,,
164,FSQ170,.,Missing,,
165,FSD170N,0 To 6,Range Of Values,,
166,FSD170N,7,7 Or More,,
167,FSD170N,.,Missing,,
168,FSD180,1,Yes,,
169,FSD180,2,No,,
170,FSD180,7,Refused,,
171,FSD180,9,Don'T Know,,
172,FSD180,.,Missing,,
173,FSDBOX7,,,,
174,FSD190,2 To 12,Range Of Values,,
175,FSD190,1,1 Month Or Less,,
176,FSD190,77,Refused,,
177,FSD190,99,Don'T Know,,
178,FSD190,.,Missing,,
179,FSD200,1,Yes,,
180,FSD200,2,No,,
181,FSD200,7,Refused,,
182,FSD200,9,Don'T Know,,
183,FSD200,.,Missing,,
184,FSQ210,0 To 1000,Range Of Values,,
185,FSQ210,77777,Refused,,
186,FSQ210,99999,Don'T Know,,
187,FSQ210,.,Missing,,
188,FSQ220,0 To 1000,Range Of Values,,
189,FSQ220,77777,Refused,,
190,FSQ220,99999,Don'T Know,,
191,FSQ220,.,Missing,,
192,FSQ162,1,Yes,,
193,FSQ162,2,No,,
194,FSQ162,7,Refused,,
195,FSQ162,9,Don'T Know,,
196,FSQ162,.,Missing,,
197,FSD650,1,Yes,,
198,FSD650,2,No,,
199,FSD650,7,Refused,,
200,FSD650,9,Don'T Know,,
201,FSD650,.,Missing,,
202,FSD660,1,Yes,,
203,FSD660,2,No,,
204,FSD660,7,Refused,,
205,FSD660,9,Don'T Know,,
206,FSD660,.,Missing,,
207,FSD670,1 To 216,Range Of Values,,
208,FSD670,.,Missing,,
