,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,CBD010,1,Yes,,
2,CBD010,2,No,,
3,CBD010,7,Refused,,
4,CBD010,9,Don'T Know,,
5,CBD010,.,Missing,,
6,CBQ020,1,Always,,
7,CBQ020,2,Most Of The Time,,
8,CBQ020,3,Sometimes,,
9,CBQ020,4,Rarely,,
10,CBQ020,5,Never,,
11,CBQ020,77,Refused,,
12,CBQ020,99,Don'T Know,,
13,CBQ020,.,Missing,,
14,CBQ030,1,Always,,
15,CBQ030,2,Most Of The Time,,
16,CBQ030,3,Sometimes,,
17,CBQ030,4,Rarely,,
18,CBQ030,5,Never,,
19,CBQ030,77,Refused,,
20,CBQ030,99,Don'T Know,,
21,CBQ030,.,Missing,,
22,CBQ040,.,Missing,,
23,CBQ040,1,Always,,
24,CBQ040,2,Most Of The Time,,
25,CBQ040,3,Sometimes,,
26,CBQ040,4,Rarely,,
27,CBQ040,5,Never,,
28,CBQ040,77,Refused,,
29,CBQ040,99,Don'T Know,,
30,CBQ050,1,Always,,
31,CBQ050,2,Most Of The Time,,
32,CBQ050,3,Sometimes,,
33,CBQ050,4,Rarely,,
34,CBQ050,5,Never,,
35,CBQ050,77,Refused,,
36,CBQ050,99,Don'T Know,,
37,CBQ050,.,Missing,,
38,CBQ060,1,Always,,
39,CBQ060,2,Most Of The Time,,
40,CBQ060,3,Sometimes,,
41,CBQ060,4,Rarely,,
42,CBQ060,5,Never,,
43,CBQ060,77,Refused,,
44,CBQ060,99,Don'T Know,,
45,CBQ060,.,Missing,,
46,CBD070,0 To 7000,Range Of Values,,
47,CBD070,777777,Refused,,
48,CBD070,999999,Don'T Know,,
49,CBD070,.,Missing,,
50,CBD090,0 To 1071,Range Of Values,,
51,CBD090,777777,Refused,,
52,CBD090,999999,Don'T Know,,
53,CBD090,.,Missing,,
54,CBD110,0 To 1285,Range Of Values,,
55,CBD110,777777,Refused,,
56,CBD110,999999,Don'T Know,,
57,CBD110,.,Missing,,
58,CBD120,0 To 3000,Range Of Values,,
59,CBD120,777777,Refused,,
60,CBD120,999999,Don'T Know,,
61,CBD120,.,Missing,,
62,CBD130,0 To 1285,Range Of Values,,
63,CBD130,777777,Refused,,
64,CBD130,999999,Don'T Know,,
65,CBD130,.,Missing,,
66,CBQ140,1,"More Than Once A Week,",,
67,CBQ140,2,"Once A Week,",,
68,CBQ140,3,"Once Every Two Weeks, Or",,
69,CBQ140,4,Once A Month Or Less?,,
70,CBQ140,5,"Rarely Make Any Major Shopping Trips, Only Small Trips",,
71,CBQ140,6,Rarely Shop For Food,,
72,CBQ140,77,Refused,,
73,CBQ140,99,Don'T Know,,
74,CBQ140,.,Missing,,
75,CBD150,0 To 360,Range Of Values,,
76,CBD150,77777,Refused,,
77,CBD150,99999,Don'T Know,,
78,CBD150,.,Missing,,
79,CBD160,0 To 30,Range Of Values,,
80,CBD160,777,Refused,,
81,CBD160,999,Don'T Know,,
82,CBD160,.,Missing,,
83,CBD170,0 To 720,Range Of Values,,
84,CBD170,77777,Refused,,
85,CBD170,99999,Don'T Know,,
86,CBD170,.,Missing,,
87,CBD180,1 To 35,Range Of Values,,
88,CBD180,0,Never,,
89,CBD180,666,Single Person Family,,
90,CBD180,777,Refused,,
91,CBD180,999,Don'T Know,,
92,CBD180,.,Missing,,
93,CBQ190,0 To 35,Range Of Values,,
94,CBQ190,777,Refused,,
95,CBQ190,999,Don'T Know,,
96,CBQ190,.,Missing,,
