,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DPQ001,,,,
2,DPQ010,0,Not At All,,
3,DPQ010,1,Several Days,,
4,DPQ010,2,More Than Half The Days,,
5,DPQ010,3,Nearly Every Day,,
6,DPQ010,7,Refused,,
7,DPQ010,9,Don'T Know,,
8,DPQ010,.,Missing,,
9,DPQ020,0,Not At All,,
10,DPQ020,1,Several Days,,
11,DPQ020,2,More Than Half The Days,,
12,DPQ020,3,Nearly Every Day,,
13,DPQ020,7,Refused,,
14,DPQ020,9,Don'T Know,,
15,DPQ020,.,Missing,,
16,DPQ030,0,Not At All,,
17,DPQ030,1,Several Days,,
18,DPQ030,2,More Than Half The Days,,
19,DPQ030,3,Nearly Every Day,,
20,DPQ030,7,Refused,,
21,DPQ030,9,Don'T Know,,
22,DPQ030,.,Missing,,
23,DPQ040,0,Not At All,,
24,DPQ040,1,Several Days,,
25,DPQ040,2,More Than Half The Days,,
26,DPQ040,3,Nearly Every Day,,
27,DPQ040,7,Refused,,
28,DPQ040,9,Don'T Know,,
29,DPQ040,.,Missing,,
30,DPQ050,0,Not At All,,
31,DPQ050,1,Several Days,,
32,DPQ050,2,More Than Half The Days,,
33,DPQ050,3,Nearly Every Day,,
34,DPQ050,7,Refused,,
35,DPQ050,9,Don'T Know,,
36,DPQ050,.,Missing,,
37,DPQ060,0,Not At All,,
38,DPQ060,1,Several Days,,
39,DPQ060,2,More Than Half The Days,,
40,DPQ060,3,Nearly Every Day,,
41,DPQ060,7,Refused,,
42,DPQ060,9,Don'T Know,,
43,DPQ060,.,Missing,,
44,DPQ070,0,Not At All,,
45,DPQ070,1,Several Days,,
46,DPQ070,2,More Than Half The Days,,
47,DPQ070,3,Nearly Every Day,,
48,DPQ070,7,Refused,,
49,DPQ070,9,Don'T Know,,
50,DPQ070,.,Missing,,
51,DPQ080,0,Not At All,,
52,DPQ080,1,Several Days,,
53,DPQ080,2,More Than Half The Days,,
54,DPQ080,3,Nearly Every Day,,
55,DPQ080,7,Refused,,
56,DPQ080,9,Don'T Know,,
57,DPQ080,.,Missing,,
58,DPQ090,0,Not At All,,
59,DPQ090,1,Several Days,,
60,DPQ090,2,More Than Half The Days,,
61,DPQ090,3,Nearly Every Day,,
62,DPQ090,7,Refused,,
63,DPQ090,9,Don'T Know,,
64,DPQ090,.,Missing,,
65,DPQ095,,,,
66,DPQ100,0,Not At All Difficult,,
67,DPQ100,1,Somewhat Difficult,,
68,DPQ100,2,Very Difficult,,
69,DPQ100,3,Extremely Difficult,,
70,DPQ100,7,Refused,,
71,DPQ100,9,Don'T Know,,
72,DPQ100,.,Missing,,
