,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DBQ010,1,Yes,,
2,DBQ010,2,No,,
3,DBQ010,7,Refused,,
4,DBQ010,9,Don'T Know,,
5,DBQ010,.,Missing,,
6,DBD030,1 To 1460,Range Of Values,,
7,DBD030,0,Still Breastfeeding,,
8,DBD030,777777,Refused,,
9,DBD030,999999,Don'T Know,,
10,DBD030,.,Missing,,
11,DBD041,1 To 730,Range Of Values,,
12,DBD041,0,Never,,
13,DBD041,777777,Refused,,
14,DBD041,999999,Don'T Know,,
15,DBD041,.,Missing,,
16,DBD050,1 To 1095,Range Of Values,,
17,DBD050,0,Still Drinking Formula,,
18,DBD050,777777,Refused,,
19,DBD050,999999,Don'T Know,,
20,DBD050,.,Missing,,
21,DBD055,1 To 912,Range Of Values,,
22,DBD055,0,Never,,
23,DBD055,777777,Refused,,
24,DBD055,999999,Don'T Know,,
25,DBD055,.,Missing,,
26,DBD061,1 To 1825,Range Of Values,,
27,DBD061,0,Never,,
28,DBD061,777777,Refused,,
29,DBD061,999999,Don'T Know,,
30,DBD061,.,Missing,,
31,DBQ073A,10,Whole Or Regular Milk,,
32,DBQ073A,77,Refused,,
33,DBQ073A,99,Don'T Know,,
34,DBQ073A,.,Missing,,
35,DBQ073B,11,2% Fat Or Reduced-Fat Milk,,
36,DBQ073B,.,Missing,,
37,DBQ073C,12,"1% Fat Or Low-Fat Milk (Includes 0.5% Fat Milk Or Low-Fat Milk Not Further Specified),",,
38,DBQ073C,.,Missing,,
39,DBQ073D,13,"Fat-Free, Skim Or Nonfat Milk, Or",,
40,DBQ073D,.,Missing,,
41,DBQ073E,14,"Soy Milk, Or",,
42,DBQ073E,.,Missing,,
43,DBQ073U,30,Another Type?,,
44,DBQ073U,.,Missing,,
45,DBD085,,,,
46,DBQ700,1,Excellent,,
47,DBQ700,2,Very Good,,
48,DBQ700,3,Good,,
49,DBQ700,4,Fair,,
50,DBQ700,5,Poor,,
51,DBQ700,7,Refused,,
52,DBQ700,9,Don'T Know,,
53,DBQ700,.,Missing,,
54,DBQ197,0,Never,,
