,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,OHQ835,1,Yes,,
2,OHQ835,2,No,,
3,OHQ835,7,Refused,,
4,OHQ835,9,Don'T Know,,
5,OHQ835,.,Missing,,
6,OHQ845,1,Excellent,,
7,OHQ845,2,Very Good,,
8,OHQ845,3,Good,,
9,OHQ845,4,Fair,,
10,OHQ845,5,Poor,,
11,OHQ845,7,Refused,,
12,OHQ845,9,Don'T Know,,
13,OHQ845,.,Missing,,
14,OHQ850,1,Yes,,
15,OHQ850,2,No,,
16,OHQ850,7,Refused,,
17,OHQ850,9,Don'T Know,,
18,OHQ850,.,Missing,,
19,OHQ855,1,Yes,,
20,OHQ855,2,No,,
21,OHQ855,7,Refused,,
22,OHQ855,9,Don'T Know,,
23,OHQ855,.,Missing,,
24,OHQ860,1,Yes,,
25,OHQ860,2,No,,
26,OHQ860,7,Refused,,
27,OHQ860,9,Don'T Know,,
28,OHQ860,.,Missing,,
29,OHQ865,1,Yes,,
30,OHQ865,2,No,,
31,OHQ865,7,Refused,,
32,OHQ865,9,Don'T Know,,
33,OHQ865,.,Missing,,
34,OHQ870,0 To 7,Range Of Values,,
35,OHQ870,77,Refused,,
36,OHQ870,99,Don'T Know,,
37,OHQ870,.,Missing,,
38,OHQ875,0 To 7,Range Of Values,,
39,OHQ875,77,Refused,,
40,OHQ875,99,Don'T Know,,
41,OHQ875,.,Missing,,
