,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,RXDUSE,1,Yes,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
2,RXDUSE,2,No,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
3,RXDUSE,7,Refused,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
4,RXDUSE,9,Don'T Know,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
5,RXDUSE,.,Missing,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,Both males and females 0 YEARS - 150 YEARS,nan,,
6,RXDDRUG,Generic Drug Name,Value Was Recorded,Generic drug name,Both males and females 0 YEARS - 150 YEARS,nan,,
7,RXDDRUG,55555,Unknown,Generic drug name,Both males and females 0 YEARS - 150 YEARS,nan,,
8,RXDDRUG,77777,Refused,Generic drug name,Both males and females 0 YEARS - 150 YEARS,nan,,
9,RXDDRUG,99999,Don'T Know,Generic drug name,Both males and females 0 YEARS - 150 YEARS,nan,,
10,RXDDRUG,< Blank >,Missing,Generic drug name,Both males and females 0 YEARS - 150 YEARS,nan,,
11,RXDDRGID,Generic Drug Code,Value Was Recorded,Generic drug code,Both males and females 0 YEARS - 150 YEARS,nan,,
12,RXDDRGID,< Blank >,Missing,Generic drug code,Both males and females 0 YEARS - 150 YEARS,nan,,
13,RXQSEEN,1,Yes,Was prescription container seen by interviewer?,Both males and females 0 YEARS - 150 YEARS,nan,,
14,RXQSEEN,2,No,Was prescription container seen by interviewer?,Both males and females 0 YEARS - 150 YEARS,nan,,
15,RXQSEEN,.,Missing,Was prescription container seen by interviewer?,Both males and females 0 YEARS - 150 YEARS,nan,,
16,RXDDAYS,1 To 27010,Range Of Values,For how long have you been using or taking {PRODUCT NAME}?,Both males and females 0 YEARS - 150 YEARS,nan,,
17,RXDDAYS,77777,Refused,For how long have you been using or taking {PRODUCT NAME}?,Both males and females 0 YEARS - 150 YEARS,nan,,
18,RXDDAYS,99999,Don'T Know,For how long have you been using or taking {PRODUCT NAME}?,Both males and females 0 YEARS - 150 YEARS,nan,,
19,RXDDAYS,.,Missing,For how long have you been using or taking {PRODUCT NAME}?,Both males and females 0 YEARS - 150 YEARS,nan,,
20,RXDCOUNT,1 To 20,Range Of Values,The number of prescription medicines reported,Both males and females 0 YEARS - 150 YEARS,nan,,
21,RXDCOUNT,.,Missing,The number of prescription medicines reported,Both males and females 0 YEARS - 150 YEARS,nan,,
