,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,CKQ010,1,Yes,,
2,CKQ010,2,No,,
3,CKQ010,7,Refused,,
4,CKQ010,9,Don'T Know,,
5,CKQ010,.,Missing,,
6,CKQ020,1,Yes,,
7,CKQ020,2,No,,
8,CKQ020,7,Refused,,
9,CKQ020,9,Don'T Know,,
10,CKQ020,.,Missing,,
11,CKQ030,1,Yes,,
12,CKQ030,2,No,,
13,CKQ030,7,Refused,,
14,CKQ030,9,Don'T Know,,
15,CKQ030,.,Missing,,
16,CKQ040,1,Yes,,
17,CKQ040,2,No,,
18,CKQ040,7,Refused,,
19,CKQ040,9,Don'T Know,,
20,CKQ040,.,Missing,,
21,CKD060,1,Yes,,
22,CKD060,2,No,,
23,CKD060,7,Refused,,
24,CKD060,9,Don'T Know,,
25,CKD060,.,Missing,,
26,CKQ070Q,1 To 200,Range Of Values,,
27,CKQ070Q,77777,Refused,,
28,CKQ070Q,99999,Don'T Know,,
29,CKQ070Q,.,Missing,,
30,CKQ070U,1,Days,,
31,CKQ070U,2,Weeks,,
32,CKQ070U,3,Months,,
33,CKQ070U,4,Years,,
34,CKQ070U,7,Refused,,
35,CKQ070U,9,Don'T Know,,
36,CKQ070U,.,Missing,,
