,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,MCQ010,1,Yes,,
2,MCQ010,2,No,,
3,MCQ010,7,Refused,,
4,MCQ010,9,Don'T Know,,
5,MCQ010,.,Missing,,
6,MCQ025,1 To 79,Range Of Values,,
7,MCQ025,80,80 Years Or Older,,
8,MCQ025,77777,Refused,,
9,MCQ025,99999,Don'T Know,,
10,MCQ025,.,Missing,,
11,MCQ035,1,Yes,,
12,MCQ035,2,No,,
13,MCQ035,7,Refused,,
14,MCQ035,9,Don'T Know,,
15,MCQ035,.,Missing,,
16,MCQ040,1,Yes,,
17,MCQ040,2,No,,
18,MCQ040,7,Refused,,
19,MCQ040,9,Don'T Know,,
20,MCQ040,.,Missing,,
21,MCQ050,1,Yes,,
22,MCQ050,2,No,,
23,MCQ050,7,Refused,,
24,MCQ050,9,Don'T Know,,
25,MCQ050,.,Missing,,
26,MCQ051,1,Yes,,
27,MCQ051,2,No,,
28,MCQ051,7,Refused,,
29,MCQ051,9,Don'T Know,,
30,MCQ051,.,Missing,,
31,MCQ053,1,Yes,,
32,MCQ053,2,No,,
33,MCQ053,7,Refused,,
34,MCQ053,9,Don'T Know,,
35,MCQ053,.,Missing,,
36,MCQ070,1,Yes,,
37,MCQ070,2,No,,
38,MCQ070,7,Refused,,
39,MCQ070,9,Don'T Know,,
40,MCQ070,.,Missing,,
41,MCQ075,1,"Little Or No Psoriasis,",,
42,MCQ075,2,"Only A Few Patches (That Could Be Covered By One Or Two Palms Of {Your/His/Her} Hand),",,
43,MCQ075,3,"Scattered Patches (That Could Be Covered Between Three And Ten Palms Of {Your/ His/Her} Hand), Or",,
44,MCQ075,4,"Extensive Psoriasis (Covering Large Areas Of The Body, That Would Be More Than Ten Palms Of {Your/His/Her} Hand)?",,
45,MCQ075,7,Refused,,
46,MCQ075,9,Don'T Know,,
47,MCQ075,.,Missing,,
48,MCQ080,1,Yes,,
49,MCQ080,2,No,,
50,MCQ080,7,Refused,,
51,MCQ080,9,Don'T Know,,
52,MCQ080,.,Missing,,
53,MCQ082,1,Yes,,
54,MCQ082,2,No,,
