,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,OHQ030,1,6 Months Or Less,,
2,OHQ030,2,"More Than 6 Months, But Not More Than 1 Year Ago",,
3,OHQ030,3,"More Than 1 Year, But Not More Than 2 Years Ago",,
4,OHQ030,4,"More Than 2 Years, But Not More Than 3 Years Ago",,
5,OHQ030,5,"More Than 3 Years, But Not More Than 5 Years Ago",,
6,OHQ030,6,More Than 5 Years Ago,,
7,OHQ030,7,Never Have Been,,
8,OHQ030,77,Refused,,
9,OHQ030,99,Don'T Know,,
10,OHQ030,.,Missing,,
11,OHQ033,1,"Went In On Own For Check-Up, Examination, Or Cleaning",,
12,OHQ033,2,"Was Called In By The Dentist For Check-Up, Examination, Or Cleaning",,
13,OHQ033,3,"Something Was Wrong, Bothering Or Hurting {Me/Sp}",,
14,OHQ033,4,Went For Treatment Of A Condition That Dentist Discovered At Earlier Checkup Or Examination,,
15,OHQ033,5,Other,,
16,OHQ033,7,Refused,,
17,OHQ033,9,Don'T Know,,
18,OHQ033,.,Missing,,
19,OHQ770,1,Yes,,
20,OHQ770,2,No,,
21,OHQ770,7,Refused,,
22,OHQ770,9,Don'T Know,,
23,OHQ770,.,Missing,,
24,OHQ780A,10,Could Not Afford The Cost,,
25,OHQ780A,77,Refused,,
26,OHQ780A,99,Don'T Know,,
27,OHQ780A,.,Missing,,
28,OHQ780B,11,Did Not Want To Spend The Money,,
29,OHQ780B,.,Missing,,
30,OHQ780C,12,Insurance Did Not Cover Recommended Procedure,,
31,OHQ780C,.,Missing,,
32,OHQ780D,13,Dental Office Is Too Far Away,,
33,OHQ780D,.,Missing,,
34,OHQ780E,14,Dental Office Not Open At Convenient Time,,
35,OHQ780E,.,Missing,,
36,OHQ780F,15,Another Dentist Recommended Not Doing It,,
37,OHQ780F,.,Missing,,
38,OHQ780G,16,Afraid Or Do Not Like Dentists,,
39,OHQ780G,.,Missing,,
40,OHQ780H,17,Unable To Take Time Off From Work,,
41,OHQ780H,.,Missing,,
42,OHQ780I,18,Too Busy,,
43,OHQ780I,.,Missing,,
44,OHQ780J,19,I Did Not Think Anything Serious Was Wrong - Expected Dental Problems To Go Away,,
45,OHQ780J,.,Missing,,
46,OHQ780K,20,Other,,
47,OHQ780K,.,Missing,,
48,OHQ605,,,,
49,OHQ610,1,Yes,,
50,OHQ610,2,No,,
51,OHQ610,7,Refused,,
52,OHQ610,9,Don'T Know,,
53,OHQ610,.,Missing,,
54,OHQ612,1,Yes,,
55,OHQ612,2,No,,
56,OHQ612,7,Refused,,
57,OHQ612,9,Don'T Know,,
58,OHQ612,.,Missing,,
59,OHQ614,1,Yes,,
60,OHQ614,2,No,,
61,OHQ614,7,Refused,,
62,OHQ614,9,Don'T Know,,
63,OHQ614,.,Missing,,
64,OHQ616,,,,
65,OHQ620,1,Very Often,,
66,OHQ620,2,Fairly Often,,
67,OHQ620,3,Occasionally,,
68,OHQ620,4,"Hardly Ever, Or",,
69,OHQ620,5,Never?,,
70,OHQ620,7,Refused,,
71,OHQ620,9,Don'T Know,,
72,OHQ620,.,Missing,,
73,OHQ640,1,Very Often,,
74,OHQ640,2,Fairly Often,,
75,OHQ640,3,Occasionally,,
76,OHQ640,4,"Hardly Ever, Or",,
77,OHQ640,5,Never?,,
78,OHQ640,7,Refused,,
79,OHQ640,9,Don'T Know,,
80,OHQ640,.,Missing,,
81,OHQ680,1,Very Often,,
82,OHQ680,2,Fairly Often,,
83,OHQ680,3,Occasionally,,
84,OHQ680,4,"Hardly Ever, Or",,
85,OHQ680,5,Never?,,
86,OHQ680,7,Refused,,
87,OHQ680,9,Don'T Know,,
88,OHQ680,.,Missing,,
89,OHQ835,1,Yes,,
90,OHQ835,2,No,,
91,OHQ835,7,Refused,,
92,OHQ835,9,Don'T Know,,
93,OHQ835,.,Missing,,
94,OHQ845,1,Excellent,,
95,OHQ845,2,Very Good,,
96,OHQ845,3,Good,,
97,OHQ845,4,Fair,,
98,OHQ845,5,Poor,,
99,OHQ845,7,Refused,,
100,OHQ845,9,Don'T Know,,
101,OHQ845,.,Missing,,
102,OHQ847,,,,
103,OHQ850,1,Yes,,
104,OHQ850,2,No,,
105,OHQ850,7,Refused,,
106,OHQ850,9,Don'T Know,,
107,OHQ850,.,Missing,,
108,OHQ855,1,Yes,,
109,OHQ855,2,No,,
110,OHQ855,7,Refused,,
111,OHQ855,9,Don'T Know,,
112,OHQ855,.,Missing,,
113,OHQ860,1,Yes,,
114,OHQ860,2,No,,
115,OHQ860,7,Refused,,
116,OHQ860,9,Don'T Know,,
117,OHQ860,.,Missing,,
118,OHQ865,1,Yes,,
119,OHQ865,2,No,,
120,OHQ865,7,Refused,,
121,OHQ865,9,Don'T Know,,
122,OHQ865,.,Missing,,
123,OHQ870,0 To 7,Range Of Values,,
124,OHQ870,77,Refused,,
125,OHQ870,99,Don'T Know,,
126,OHQ870,.,Missing,,
127,OHQ875,0 To 7,Range Of Values,,
128,OHQ875,77,Refused,,
129,OHQ875,99,Don'T Know,,
130,OHQ875,.,Missing,,
131,OHQ880,1,Yes,,
132,OHQ880,2,No,,
133,OHQ880,7,Refused,,
134,OHQ880,9,Don'T Know,,
135,OHQ880,.,Missing,,
136,OHQ885,1,Yes,,
137,OHQ885,2,No,,
138,OHQ885,7,Refused,,
139,OHQ885,9,Don'T Know,,
140,OHQ885,.,Missing,,
141,OHQ890,,,,
142,OHQ895,1,Within Past Year,,
143,OHQ895,2,Between 1 And 3 Years Ago,,
144,OHQ895,3,Over 3 Years Ago,,
145,OHQ895,7,Refused,,
146,OHQ895,9,Don'T Know,,
147,OHQ895,.,Missing,,
148,OHQ900,1,Doctor/Physician,,
149,OHQ900,2,Nurse/Nurse Practitioner,,
150,OHQ900,3,Dentist (Include Oral Surgeons),,
151,OHQ900,4,Dental Hygienist,,
152,OHQ900,5,Other,,
153,OHQ900,7,Refused,,
154,OHQ900,9,Don'T Know,,
155,OHQ900,.,Missing,,
