,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 16 YEARS - 150 YEARS,nan,,
1,SLD010H,2 To 11,Range Of Values,The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,Both males and females 16 YEARS - 150 YEARS,nan,,
2,SLD010H,12,12 Hours Or More,The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,Both males and females 16 YEARS - 150 YEARS,nan,,
3,SLD010H,77,Refused,The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,Both males and females 16 YEARS - 150 YEARS,nan,,
4,SLD010H,99,Don'T Know,The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,Both males and females 16 YEARS - 150 YEARS,nan,,
5,SLD010H,.,Missing,The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,Both males and females 16 YEARS - 150 YEARS,nan,,
6,SLQ050,1,Yes,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS - 150 YEARS,nan,,
7,SLQ050,2,No,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS - 150 YEARS,nan,,
8,SLQ050,7,Refused,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS - 150 YEARS,nan,,
9,SLQ050,9,Don'T Know,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS - 150 YEARS,nan,,
10,SLQ050,.,Missing,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS - 150 YEARS,nan,,
11,SLQ060,1,Yes,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,Both males and females 16 YEARS - 150 YEARS,nan,,
12,SLQ060,2,No,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,Both males and females 16 YEARS - 150 YEARS,nan,,
13,SLQ060,7,Refused,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,Both males and females 16 YEARS - 150 YEARS,nan,,
14,SLQ060,9,Don'T Know,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,Both males and females 16 YEARS - 150 YEARS,nan,,
15,SLQ060,.,Missing,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,Both males and females 16 YEARS - 150 YEARS,nan,,
