,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,FSD032A,1,Often True,,
2,FSD032A,2,Sometimes True,,
3,FSD032A,3,Never True,,
4,FSD032A,7,Refused,,
5,FSD032A,9,Don'T Know,,
6,FSD032A,.,Missing,,
7,FSD032B,1,Often True,,
8,FSD032B,2,Sometimes True,,
9,FSD032B,3,Never True,,
10,FSD032B,7,Refused,,
11,FSD032B,9,Don'T Know,,
12,FSD032B,.,Missing,,
13,FSD032C,1,Often True,,
14,FSD032C,2,Sometimes True,,
15,FSD032C,3,Never True,,
16,FSD032C,7,Refused,,
17,FSD032C,9,Don'T Know,,
18,FSD032C,.,Missing,,
19,FSQBOX1,,,,
20,FSD041,1,Yes,,
21,FSD041,2,No,,
22,FSD041,7,Refused,,
23,FSD041,9,Don'T Know,,
24,FSD041,.,Missing,,
25,FSD052,1,"Almost Every Month,",,
26,FSD052,2,"Some Months But Not Every Month, Or",,
27,FSD052,3,Only 1 Or 2 Months?,,
28,FSD052,7,Refused,,
29,FSD052,9,Don'T Know,,
30,FSD052,.,Missing,,
31,FSD061,1,Yes,,
32,FSD061,2,No,,
33,FSD061,7,Refused,,
34,FSD061,9,Don'T Know,,
35,FSD061,.,Missing,,
36,FSD071,1,Yes,,
37,FSD071,2,No,,
38,FSD071,7,Refused,,
39,FSD071,9,Don'T Know,,
40,FSD071,.,Missing,,
41,FSD081,1,Yes,,
42,FSD081,2,No,,
43,FSD081,7,Refused,,
44,FSD081,9,Don'T Know,,
45,FSD081,.,Missing,,
46,FSQBOX2,,,,
47,FSD092,1,Yes,,
48,FSD092,2,No,,
49,FSD092,7,Refused,,
50,FSD092,9,Don'T Know,,
51,FSD092,.,Missing,,
52,FSD102,1,"Almost Every Month,",,
53,FSD102,2,"Some Months But Not Every Month, Or",,
54,FSD102,3,Only 1 Or 2 Months?,,
55,FSD102,7,Refused,,
56,FSD102,9,Don'T Know,,
57,FSD102,.,Missing,,
58,FSQBOX3,,,,
59,FSD032D,1,Often True,,
60,FSD032D,2,Sometimes True,,
61,FSD032D,3,Never True,,
62,FSD032D,7,Refused,,
63,FSD032D,9,Don'T Know,,
64,FSD032D,.,Missing,,
65,FSD032E,1,Often True,,
66,FSD032E,2,Sometimes True,,
67,FSD032E,3,Never True,,
68,FSD032E,7,Refused,,
69,FSD032E,9,Don'T Know,,
70,FSD032E,.,Missing,,
71,FSD032F,1,Often True,,
72,FSD032F,2,Sometimes True,,
73,FSD032F,3,Never True,,
74,FSD032F,7,Refused,,
75,FSD032F,9,Don'T Know,,
76,FSD032F,.,Missing,,
77,FSQBOX4,,,,
78,FSD111,1,Yes,,
79,FSD111,2,No,,
80,FSD111,7,Refused,,
81,FSD111,9,Don'T Know,,
82,FSD111,.,Missing,,
83,FSD122,1,Yes,,
84,FSD122,2,No,,
85,FSD122,7,Refused,,
86,FSD122,9,Don'T Know,,
87,FSD122,.,Missing,,
88,FSD132,1,"Almost Every Month,",,
89,FSD132,2,"Some Months But Not Every Month, Or",,
90,FSD132,3,Only 1 Or 2 Months?,,
91,FSD132,7,Refused,,
92,FSD132,9,Don'T Know,,
93,FSD132,.,Missing,,
94,FSD141,1,Yes,,
95,FSD141,2,No,,
96,FSD141,7,Refused,,
97,FSD141,9,Don'T Know,,
98,FSD141,.,Missing,,
99,FSD146,1,Yes,,
100,FSD146,2,No,,
101,FSD146,7,Refused,,
102,FSD146,9,Don'T Know,,
103,FSD146,.,Missing,,
104,FSDHH,1,Hh Full Food Security: 0,,
105,FSDHH,2,Hh Marginal Food Security: 1-2,,
106,FSDHH,3,Hh Low Food Security: 3-5 (Hh W/O Child) / 3-7 (Hh W/ Child),,
107,FSDHH,4,Hh Very Low Food Security: 6-10 (Hh W/O Child) / 8-18 (Hh W/ Child),,
108,FSDHH,.,Missing,,
109,FSDAD,1,Ad Full Food Security: 0,,
110,FSDAD,2,Ad Marginal Food Security: 1-2,,
111,FSDAD,3,Ad Low Food Security: 3-5,,
112,FSDAD,4,Ad Very Low Food Security: 6-10,,
113,FSDAD,.,Missing,,
114,FSDCH,1,Ch Full Or Marginal Food Security: 0,,
115,FSDCH,2,Ch Marginal Food Security: 1,,
116,FSDCH,3,Ch Low Food Security: 2-4,,
117,FSDCH,4,Ch Very Low Food Security: 5-8,,
118,FSDCH,.,Missing,,
119,FSD151,1,Yes,,
120,FSD151,2,No,,
121,FSD151,7,Refused,,
122,FSD151,9,Don'T Know,,
123,FSD151,.,Missing,,
124,FSQBOX5,,,,
125,FSQ165,1,Yes,,
126,FSQ165,2,No,,
127,FSQ165,7,Refused,,
128,FSQ165,9,Don'T Know,,
129,FSQ165,.,Missing,,
130,FSQ012,1,Yes,,
131,FSQ012,2,No,,
132,FSQ012,7,Refused,,
133,FSQ012,9,Don'T Know,,
134,FSQ012,.,Missing,,
135,FSD012N,1 To 6,Range Of Values,,
136,FSD012N,7,7 Or More,,
137,FSD012N,77,Refused,,
138,FSD012N,99,Don'T Know,,
139,FSD012N,.,Missing,,
140,FSD230,1,Yes,,
141,FSD230,2,No,,
142,FSD230,7,Refused,,
143,FSD230,9,Don'T Know,,
144,FSD230,.,Missing,,
145,FSD225,0 To 386,Range Of Values,,
146,FSD225,55555,"Current Hh Fs Benefits Recipient, Last Received Date Unknown",,
147,FSD225,66666,"Non-Current Hh Fs Benefits Recipient, Last Received Date Unknown",,
148,FSD225,77777,Refused,,
149,FSD225,99999,Don'T Know,,
150,FSD225,.,Missing,,
151,FSQ235,10 To 1397,Range Of Values,,
152,FSQ235,77777,Refused,,
153,FSQ235,99999,Don'T Know,,
154,FSQ235,.,Missing,,
155,FSQBOX7,,,,
156,FSQ162,1,Yes,,
157,FSQ162,2,No,,
158,FSQ162,7,Refused,,
159,FSQ162,9,Don'T Know,,
160,FSQ162,.,Missing,,
161,FSQBOX8,,,,
162,FSD650ZC,1,Yes,,
163,FSD650ZC,2,No,,
164,FSD650ZC,7,Refused,,
165,FSD650ZC,9,Don'T Know,,
166,FSD650ZC,.,Missing,,
167,FSD660ZC,1,Yes,,
168,FSD660ZC,2,No,,
169,FSD660ZC,7,Refused,,
170,FSD660ZC,9,Don'T Know,,
171,FSD660ZC,.,Missing,,
172,FSD675,1,Yes,,
173,FSD675,2,No,,
174,FSD675,7,Refused,,
175,FSD675,9,Don'T Know,,
176,FSD675,.,Missing,,
177,FSD680,1,Yes,,
178,FSD680,2,No,,
179,FSD680,7,Refused,,
180,FSD680,9,Don'T Know,,
181,FSD680,.,Missing,,
182,FSD670ZC,0 To 72,Range Of Values,,
183,FSD670ZC,777,Refused,,
184,FSD670ZC,999,Don'T Know,,
185,FSD670ZC,.,Missing,,
186,FSQ690,1,Yes,,
187,FSQ690,2,No,,
188,FSQ690,7,Refused,,
189,FSQ690,9,Don'T Know,,
190,FSQ690,.,Missing,,
191,FSQ695,1 To 9,Range Of Values,,
192,FSQ695,77,Refused,,
193,FSQ695,99,Don'T Know,,
194,FSQ695,.,Missing,,
195,FSQBOX9,,,,
196,FSD650ZW,1,Yes,,
197,FSD650ZW,2,No,,
198,FSD650ZW,7,Refused,,
199,FSD650ZW,9,Don'T Know,,
200,FSD650ZW,.,Missing,,
201,FSQBOX10,,,,
